Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
7.69931269,-0.185767815,-0.00543885259,2.29681349,-0.2011206,-0.445999265,1.9953301,-0.16893743,-0.836774647,2.02025437,-0.0136293108,0.0104887923,2.315872,0.06548165,-0.4517454,2.06644034,0.154930338,-0.8627158,2.01624131,0.00174518616,0.99995774,0.00902403053,0.935046256,0.9664093380348642
7.73337,-0.188297689,-0.0363994054,2.29274344,-0.207391977,-0.4933095,2.02117872,-0.208007813,-0.844726563,2.00585938,-0.0162710734,-0.0250374265,2.3065877,0.06459379,-0.4785289,2.04679942,0.15594624,-0.8642552,2.01375365,0.00174518616,0.99995774,0.00902403053,0.935046256,0.9307962276968952
7.76745,-0.181557208,-0.0664342344,2.291503,-0.213561788,-0.5228649,2.02138233,-0.208073139,-0.8448427,2.00597548,-0.0126856919,-0.0485688,2.30342054,0.06058025,-0.484497219,2.04529476,0.15479289,-0.864255667,2.01525927,0.00174518616,0.99995774,0.00902403053,0.935046256,0.9072435247782442
7.800999,-0.1779539,-0.06924063,2.29705286,-0.217036635,-0.519418359,2.01641583,-0.176303238,-0.8509245,2.03104734,-0.0121279219,-0.0492833741,2.30439281,0.0578732565,-0.5230352,2.08035564,0.154085249,-0.864999652,2.01472,0.00174518616,0.99995774,0.00902403053,0.935046256,0.9065387280689048
7.83155155,-0.180697262,-0.208065227,2.27695632,-0.258868963,-0.6119454,1.9684484,-0.1918096,-0.859454036,2.05474043,-0.0237979982,-0.181379721,2.28619957,0.06181794,-0.5609658,2.06990886,0.15385291,-0.8643592,2.014346,0.00174518616,0.99995774,0.00902403053,0.935046256,0.7742634181450395
7.867142,-0.1441361,-0.337233484,2.240554,-0.270902455,-0.641165733,2.01913118,-0.201849669,-0.8804491,2.07425046,-0.002839189,-0.333021373,2.23374915,0.05802684,-0.575423539,2.078341,0.189027488,-0.8613908,2.01871943,0.00174518616,0.99995774,0.00902403053,0.935046256,0.6221914343568504
7.899696,-0.192287713,-0.174803481,2.29496527,-0.205240771,-0.574664354,1.99229383,-0.231488526,-0.8489321,2.00262928,-0.03269408,-0.125600591,2.317184,0.04138078,-0.52127,2.11994123,0.188863292,-0.85517,2.015336,0.00174518616,0.99995774,0.00902403053,0.935046256,0.8303042711467958
7.93228436,-0.15291068,-0.08288785,2.31090784,-0.2191065,-0.5017226,1.98559833,-0.2212412,-0.847923934,1.99503815,0.0208351929,-0.08171071,2.30570149,0.0858153254,-0.473851085,2.082992,0.183853224,-0.8578112,2.02396035,0.00174518616,0.99995774,0.00902403053,0.935046256,0.8741820982505079
7.96690559,-0.173464745,-0.1191462,2.30591249,-0.23466289,-0.52283895,2.041434,-0.219435483,-0.8473925,1.99543679,-0.0167096965,-0.106814131,2.31366277,0.04755576,-0.5138895,2.01339173,0.193911374,-0.8697079,1.99065828,0.00174518616,0.99995774,0.00902403053,0.935046256,0.8490860576389506
7.99946976,-0.176485211,-0.167922735,2.27559924,-0.230818421,-0.485680938,1.95752013,-0.219507709,-0.8476875,1.995333,-0.0248718373,-0.155467138,2.29662943,0.0307555459,-0.4059348,1.98250616,0.167347,-0.8608844,2.017324,0.00174518616,0.99995774,0.00902403053,0.935046256,0.8002671519176445
8.033536,-0.185359374,-0.0752672,2.29526,-0.217207938,-0.482985616,1.97420955,-0.219486132,-0.848611832,1.995873,-0.0272530988,-0.06192671,2.30590415,0.0270850342,-0.388560623,2.000766,0.142329812,-0.865735531,2.01611042,0.00174518616,0.99995774,0.00902403053,0.935046256,0.893883168355795
