Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
4.34302855,-0.228328317,0.0915075541,2.28435469,-0.246613652,-0.315454,2.026046,-0.2787032,-0.8528445,2.02585053,-0.0446361154,0.115531668,2.31596279,-0.0120158661,-0.27425918,2.0302968,-0.0414789766,-0.8313936,2.04704332,-0.005080462,0.999938,0.009911442,0.940405965,1.0791117451397183
4.3786087,-0.21083653,0.07873861,2.29492474,-0.243462354,-0.320735723,2.02588582,-0.2750705,-0.850599468,2.02514052,-0.02690272,0.100190893,2.31978917,-0.004604228,-0.288099676,2.031215,-0.03195019,-0.838809,2.0486052,-0.005080462,0.999938,0.009911442,0.940405965,1.0637197527670201
4.41015959,-0.231710076,-0.0342993,2.28716779,-0.252118647,-0.433389634,2.01848841,-0.273840427,-0.8503486,2.025846,-0.0494556241,-0.00199659565,2.31464553,0.00367508363,-0.359078854,1.99007428,-0.0288933218,-0.838491559,2.04937553,-0.005080462,0.999938,0.009911442,0.940405965,0.9616022006597444
4.4427166,-0.229016691,-0.04866503,2.28349614,-0.24749589,-0.4416966,2.00502515,-0.271457851,-0.8490313,2.026197,-0.04632172,-0.0145064406,2.31123877,0.0174321048,-0.335944444,1.95056665,-0.0268196836,-0.8372528,2.04844522,-0.005080462,0.999938,0.009911442,0.940405965,0.9490434440594373
4.478288,-0.229123816,-0.048582375,2.2836504,-0.24108021,-0.4364582,1.99671745,-0.269450217,-0.848853,2.02603483,-0.0466117859,-0.0143109784,2.311574,0.0006843972,-0.354494572,1.967084,-0.0265055969,-0.836094,2.04716444,-0.005080462,0.999938,0.009911442,0.940405965,0.9492436904170966
4.510832,-0.228856549,-0.0810319558,2.27736616,-0.2412627,-0.501185238,2.04960084,-0.2672086,-0.8487005,2.02547574,-0.0471910946,-0.04435902,2.30772877,0.0188348852,-0.4372155,2.036987,0.113830566,-0.8120117,2.03515625,-0.005080462,0.999938,0.009911442,0.940405965,0.9191623439538001
4.543387,-0.226806521,-0.104174033,2.285322,-0.241033763,-0.5167705,2.04283786,-0.265882045,-0.850135,2.02545881,-0.04644563,-0.0618551038,2.31184459,0.0110244174,-0.386101,1.95351243,-0.03572616,-0.8271656,2.043991,-0.005080462,0.999938,0.009911442,0.940405965,0.901704351768232
4.576965,-0.228232533,-0.19001393,2.2727704,-0.252607852,-0.5508626,2.0195353,-0.2628364,-0.8533107,2.02543879,-0.0499332771,-0.160386443,2.30081487,0.0120132379,-0.4568621,1.93935335,-0.03882888,-0.8334883,2.04123616,-0.005080462,0.999938,0.009911442,0.940405965,0.8030875224850997
4.61051369,-0.213277936,-0.284539968,2.23913741,-0.264186859,-0.6192022,2.00559568,-0.268172979,-0.867440462,2.06165338,-0.047676,-0.2582169,2.266268,0.0413591675,-0.4924911,2.001814,0.0826490149,-0.801284134,2.03350019,-0.005080462,0.999938,0.009911442,0.940405965,0.7049092561986301
4.64307642,-0.274784744,-0.06683099,2.30324531,-0.244429573,-0.427737474,1.98133969,-0.2610901,-0.852220833,2.02472138,-0.09937842,-0.0422098562,2.31949878,-0.000580265652,-0.252699733,1.88784981,0.101534531,-0.7781807,2.069736,-0.005080462,0.999938,0.009911442,0.940405965,0.9216931679353538
4.67767429,-0.259466261,-0.06557524,2.30048823,-0.2412064,-0.4589771,2.02307487,-0.265630424,-0.8414041,2.05008817,-0.0757190362,-0.0402711146,2.32186627,0.00416429574,-0.399155259,2.006413,0.08178711,-0.806152344,2.03515625,-0.005080462,0.999938,0.009911442,0.940405965,0.9235350539253163
4.71022844,-0.235471442,-0.09667918,2.29229116,-0.237945,-0.4327453,1.96947551,-0.2585643,-0.8546925,2.02564716,-0.0637611747,-0.0552058481,2.324447,-0.0007476661,-0.358882844,1.98768961,0.1177321,-0.816301465,2.03853917,-0.005080462,0.999938,0.009911442,0.940405965,0.9085660740599082
4.74378443,-0.251406,-0.07734964,2.29019523,-0.238143265,-0.4018403,1.974975,-0.258905649,-0.8547652,2.02616024,-0.0699718,-0.0474691875,2.32466865,-0.0007599684,-0.3571635,1.98650479,0.120224006,-0.818673551,2.03763676,-0.005080462,0.999938,0.009911442,0.940405965,0.9163360045033587
4.77786,-0.247555584,-0.0219243839,2.29398227,-0.245522782,-0.331574321,2.002128,-0.255888164,-0.8578848,2.02709484,-0.07869619,-0.00925876,2.32123446,-0.00101843255,-0.353844762,1.98781943,0.12029694,-0.818238437,2.03711987,-0.005080462,0.999938,0.009911442,0.940405965,0.954554348127292
4.810402,-0.247393042,0.03202058,2.289282,-0.251216263,-0.314156651,2.01849341,-0.2565124,-0.858812,2.026131,-0.08525455,0.05073035,2.31504822,0.00148742774,-0.279206455,2.00653124,0.10321255,-0.813302338,2.03675151,-0.005080462,0.999938,0.009911442,0.940405965,1.0145117421947563
4.843952,-0.249767438,0.127294078,2.29388642,-0.257725179,-0.292204946,2.06379747,-0.270590425,-0.8672459,2.01990628,-0.08955345,0.151512355,2.3195498,-0.00102615193,-0.22619991,2.02848244,0.103199527,-0.814197659,2.02207565,-0.005080462,0.999938,0.009911442,0.940405965,1.1153539536548462
4.87802649,-0.241066352,0.201759189,2.28279161,-0.2747357,-0.25098297,2.14064813,-0.2699772,-0.869231343,2.01443,-0.08469779,0.227787226,2.31371856,0.0143455584,-0.145977631,2.01961637,0.0536140539,-0.7769557,1.96930444,-0.005080462,0.999938,0.009911442,0.940405965,1.1915416286532525
4.91157246,-0.257316738,0.305801779,2.29707313,-0.2856152,-0.155955017,2.19202137,-0.320068359,-0.891601563,1.99609375,-0.09356362,0.326348066,2.32675982,0.03371774,-0.003378179,1.98975134,0.0287628174,-0.615722656,1.99609375,-0.005080462,0.999938,0.009911442,0.940405965,1.2902706555374543
4.94311571,-0.218164846,0.372602522,2.30305624,-0.268947423,-0.08790184,2.197198,-0.31948328,-0.871047,1.99448788,-0.0530964322,0.365047246,2.322331,0.02839022,0.008168114,1.99968481,0.004310608,-0.5317383,1.94726563,-0.005080462,0.999938,0.009911442,0.940405965,1.328717947193534
4.978178,-0.255834222,0.473466128,2.319108,-0.2866574,0.011684523,2.20253348,-0.380899757,-0.478807151,2.134735,-0.0841417,0.478168875,2.344328,0.06424129,0.182145327,1.983485,-0.00368571375,-0.449947864,1.932296,-0.005080462,0.999938,0.009911442,0.940405965,1.4422083060163247
