Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.264822,-0.1494753,-0.03642766,2.51884246,-0.180795729,-0.513075,2.19703674,-0.179733366,-0.9133398,2.24059272,0.04599244,-0.0330421031,2.52415323,0.08453081,-0.464432329,2.17717385,0.190837175,-0.904863834,2.22172546,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9269309052189756
5.29633951,-0.155097529,-0.0285061952,2.521862,-0.1805833,-0.510284364,2.19815731,-0.174248368,-0.910580635,2.24270439,0.0294430852,-0.00286850519,2.5344708,0.08465261,-0.478643149,2.2043376,0.12432614,-0.900832534,2.23365045,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9552790071986562
5.33133936,-0.1750923,-0.089169234,2.53122067,-0.19918628,-0.5592701,2.23588157,-0.1596026,-0.9164833,2.24139237,0.0270802341,-0.0548231825,2.56226683,0.0845716149,-0.502842247,2.19318318,0.137354538,-0.9212663,2.22118449,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8995134041865918
5.36533928,-0.173985392,-0.104299858,2.52779055,-0.19913128,-0.566269457,2.23807383,-0.1518426,-0.9168196,2.23957968,0.0184130017,-0.0716708452,2.5544765,0.07776861,-0.545614541,2.2238853,0.1962919,-0.9120395,2.22468352,-0.017081555,0.986278832,-0.164202124,1.3747766,0.884324150027618
5.397857,-0.221235752,-0.17512244,2.49727821,-0.194511935,-0.6118756,2.25901747,-0.149089038,-0.918236256,2.24195027,0.00327994861,-0.126267657,2.579228,0.0808536261,-0.5726417,2.21333671,0.204049841,-0.9188926,2.21700764,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8266707189456147
5.43085337,-0.232288867,-0.184713632,2.4907043,-0.220327035,-0.757117033,2.350155,-0.135767773,-0.9180934,2.23686147,-0.005453539,-0.134963125,2.580946,0.0494417176,-0.59288156,2.2266748,0.14224121,-0.9289103,2.217199,-0.017081555,0.986278832,-0.164202124,1.3747766,0.817961645447054
5.46385336,-0.194099575,-0.364728928,2.54530144,-0.2111892,-0.677402139,2.32520175,-0.132909834,-0.914667,2.24086976,-0.0258676652,-0.340683758,2.59430051,-0.0047866893,-0.6053011,2.2422564,0.125640556,-0.943261445,2.1935,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6132196111979618
5.497376,-0.185677335,-0.3578456,2.55103946,-0.207744539,-0.6481884,2.2232244,-0.170043945,-0.949707031,2.2265625,-0.006898394,-0.333419561,2.59671116,0.09442334,-0.696473539,2.26066828,0.08874512,-0.89453125,2.23828125,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6196642762650607
5.53037643,-0.192264155,-0.335522443,2.479764,-0.156847358,-0.456414253,2.050466,-0.179106474,-0.9337861,2.230054,-0.02489788,-0.308243662,2.54481244,0.04676817,-0.471760124,2.13618445,0.0931734443,-0.915650249,2.21840572,-0.017081555,0.986278832,-0.164202124,1.3747766,0.6533240709255763
5.56537533,-0.133340821,-0.249404937,2.50277448,-0.172524109,-0.459783077,2.113074,-0.200827047,-0.933974862,2.24567342,0.0100754043,-0.227710441,2.50507545,0.04815302,-0.4409164,2.116567,0.0614583,-0.9470792,2.23586369,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7386797799528694
5.59689045,-0.146142587,-0.242825642,2.49559712,-0.171118677,-0.472822636,2.11682534,-0.166293219,-0.923554659,2.23669434,-0.00135702523,-0.252077639,2.4948442,0.052639544,-0.448151439,2.09875035,0.0880122557,-0.912425935,2.22255778,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7165222055958341
5.62989044,-0.161314875,-0.256052226,2.44856668,-0.166106746,-0.4606952,2.05333638,-0.170170352,-0.9395069,2.23624659,-0.0075030257,-0.254583359,2.47588778,0.0596073531,-0.4516474,2.08247471,0.0834202841,-0.903928638,2.22490263,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7172685346541922
5.66389036,-0.143690735,-0.18307972,2.44020772,-0.2046251,-0.4162175,2.06753635,-0.1887517,-0.9447684,2.22245455,0.00265111937,-0.1972609,2.43070078,0.08541264,-0.411803454,2.05020022,0.0836299658,-0.8937297,2.22759271,-0.017081555,0.986278832,-0.164202124,1.3747766,0.7810508137114274
5.696408,-0.127515823,-0.08029747,2.45095849,-0.2029195,-0.376464427,2.133795,-0.209420413,-0.935691059,2.21628761,0.023111172,-0.0740386844,2.44448042,0.08517105,-0.329950333,2.08736014,0.11423929,-0.8645372,2.13004017,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8999701378574998
5.7314086,-0.107689261,-0.01397927,2.44280887,-0.1966712,-0.3822036,2.23512149,-0.231169969,-0.886282265,2.24822044,0.0436887,-0.008924237,2.42493176,0.0925067,-0.271638125,2.07031131,0.089809604,-0.802567959,2.11725664,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9670495725753061
5.76440763,-0.1866371,0.1574392,2.47315884,-0.1501227,-0.228528887,2.279031,-0.219486669,-0.7818175,2.26918983,-0.0024245528,0.189885676,2.48623061,0.09881877,-0.136442542,2.047014,0.0600508973,-0.665136039,2.14973736,-0.017081555,0.986278832,-0.164202124,1.3747766,1.1538538612440616
5.79692268,-0.182632938,0.2520063,2.45514655,-0.2160568,-0.304778934,2.3285315,-0.321848452,-0.850499153,2.2647965,-0.0120284809,0.294026136,2.459116,0.04981435,-0.1733593,2.111251,-0.00154781342,-0.6196289,2.15625,-0.017081555,0.986278832,-0.164202124,1.3747766,1.2611817163126742
5.82992268,-0.194035769,0.328430235,2.45528722,-0.215563446,-0.220430285,2.28016353,-0.289258838,-0.785374761,2.243352,-0.01284808,0.380512416,2.459571,0.04317645,-0.106795557,2.14022827,-0.0367952,-0.452637166,2.16473937,-0.017081555,0.986278832,-0.164202124,1.3747766,1.346420589400942
5.863923,-0.161940485,0.4030913,2.46485472,-0.2043144,-0.132276475,2.24598,-0.299150378,-0.699447,2.24458981,0.02326899,0.426939368,2.47326779,0.04471585,-0.0649635,2.156694,-0.06517261,-0.40739572,2.16932,-0.017081555,0.986278832,-0.164202124,1.3747766,1.3893445305599346
5.89743853,-0.164245814,0.435982466,2.45246363,-0.213338524,-0.08451341,2.19579053,-0.277902216,-0.6339411,2.23612142,0.01669432,0.4548468,2.46207166,0.0329899639,-0.06160696,2.19091678,-0.0435442477,-0.422131538,2.13476563,-0.017081555,0.986278832,-0.164202124,1.3747766,1.4188197731518388
5.93143749,-0.1411641,0.462440252,2.45669675,-0.2079147,-0.0289139,2.14591455,-0.266838133,-0.5770029,2.214899,0.03466964,0.4665118,2.46060681,0.112354316,0.017721178,2.0890193,-0.0189608,-0.382343531,2.16550779,-0.017081555,0.986278832,-0.164202124,1.3747766,1.4302582004967062
5.965438,-0.132169291,0.463270932,2.46108174,-0.206206843,-0.00302447332,2.11269426,-0.267415971,-0.553796768,2.209616,0.0537851974,0.4637121,2.46535182,0.127697334,0.0301371962,2.08321929,0.0472293124,-0.494861484,2.20106268,-0.017081555,0.986278832,-0.164202124,1.3747766,1.426391251584842
5.996951,-0.0916700661,0.411323667,2.474512,-0.207664743,-0.0241563916,2.09775877,-0.2590353,-0.572964847,2.19676948,0.08840168,0.391804934,2.467607,0.136931434,-0.03340676,2.10078359,0.06439532,-0.563148,2.22783136,-0.017081555,0.986278832,-0.164202124,1.3747766,1.3545091290434057
6.029951,-0.08685923,0.333083123,2.465021,-0.231519863,-0.108865313,2.10837746,-0.235576451,-0.6577399,2.179738,0.0846204162,0.302065,2.45271635,0.131369591,-0.104770385,2.1339426,0.08921054,-0.6401656,2.22325873,-0.017081555,0.986278832,-0.164202124,1.3747766,1.2685102001918513
6.063951,-0.0938524157,0.241956264,2.43521786,-0.2361581,-0.186899051,2.09451079,-0.225571588,-0.7525537,2.16857743,0.07011677,0.209234118,2.42122078,0.114358574,-0.200130627,2.1728754,0.08918896,-0.7345577,2.21340346,-0.017081555,0.986278832,-0.164202124,1.3747766,1.1823724528582051
6.09746933,-0.131001681,0.122611023,2.40944958,-0.230030954,-0.150659248,2.07464576,-0.2750577,-0.688167453,2.064444,0.04696415,0.09105931,2.399229,0.0873762146,-0.284201324,2.18372083,0.09485908,-0.8115542,2.19501567,-0.017081555,0.986278832,-0.164202124,1.3747766,1.0698257238886062
6.13046837,-0.166028023,0.03981921,2.26248837,-0.226528391,-0.366248,2.11743379,-0.2541504,-0.91796875,2.10351563,-0.0154094379,-0.007375677,2.2362504,0.0730288252,-0.4099471,2.23041487,0.0874023438,-0.930664063,2.2890625,-0.017081555,0.986278832,-0.164202124,1.3747766,1.0005682518244505
6.165469,-0.16099523,0.008125702,2.26369071,-0.215037376,-0.3894809,2.11690068,-0.221313477,-0.9428711,2.15625,-0.0168722291,-0.0297660641,2.24123931,0.08786158,-0.42990762,2.20821428,0.09688407,-0.952882648,2.28786635,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9776908847064023
6.19698572,-0.1587288,-0.06878896,2.266277,-0.206120148,-0.460860759,2.102066,-0.203081042,-0.9809622,2.14341545,0.004140485,-0.100473173,2.26610541,0.107919455,-0.498256743,2.18830466,0.08877576,-0.994451046,2.205576,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9035119655692744
6.22998571,-0.15958558,-0.0884453654,2.27149963,-0.200627029,-0.4766433,2.09438133,-0.171914041,-0.979555,2.15978479,0.00459540542,-0.121173121,2.26552582,0.11529249,-0.516395152,2.18446827,0.00651554763,-0.895590246,2.3169477,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8831834447176934
6.263984,-0.162328124,-0.101636358,2.28434134,-0.194312453,-0.4854448,2.09361315,-0.2024249,-0.9909855,2.12915087,0.00181656319,-0.133499727,2.270579,0.124686666,-0.523726344,2.17832184,0.0834967941,-1.00736606,2.21954226,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8702436985401124
6.29750252,-0.143101558,-0.111713246,2.34301972,-0.188153788,-0.466903716,2.096718,-0.2031639,-0.9737621,2.14223385,0.013550262,-0.139725417,2.32528281,0.1226749,-0.5196328,2.165969,0.0861907452,-1.00854993,2.21114635,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8549205210586106
6.33150148,-0.148747966,-0.117751248,2.32845521,-0.169696555,-0.4485466,2.04198027,-0.239116892,-0.9500689,2.03970718,0.0153557155,-0.146910816,2.2896657,0.175453633,-0.510494,2.13718486,0.154267952,-1.00587165,2.15808153,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8536512793176002
6.363501,-0.10187263,-0.0151111735,2.47368288,-0.163183182,-0.437906146,2.13876247,-0.201780558,-0.9441664,2.15871382,0.0667041242,-0.0341028124,2.46379948,0.09903667,-0.434886575,2.20142579,0.08153515,-0.9417383,2.31210971,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9354411760389065
6.39801931,-0.144194454,-0.09909382,2.3380208,-0.154534817,-0.43166998,2.05277729,-0.20744589,-0.93986547,2.03604,0.02296348,-0.118746765,2.30748582,0.1630949,-0.486600876,2.14134049,0.08581543,-0.8300781,2.3046875,-0.017081555,0.986278832,-0.164202124,1.3747766,0.8783728320040372
6.430024,-0.127838284,-0.08012412,2.34633827,-0.156622782,-0.462613285,2.15097356,-0.195083246,-0.9454905,2.166358,0.0452419445,-0.08044542,2.33574343,0.09775065,-0.482099175,2.21279478,0.06320613,-0.9175441,2.318088,-0.017081555,0.986278832,-0.164202124,1.3747766,0.911128126573404
6.4640193,-0.137142822,-0.07389017,2.32161331,-0.145960614,-0.437709,2.084056,-0.194679186,-0.9473813,2.061731,0.0289285723,-0.08296846,2.30939317,0.13604787,-0.4744934,2.19061756,0.139437854,-0.975464463,2.20329738,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9132451319990255
6.496536,-0.118301839,-0.029480882,2.329946,-0.152128637,-0.440510541,2.170052,-0.157738626,-0.9391975,2.20233965,0.0448944345,-0.029432198,2.33764076,0.09011362,-0.437518924,2.24377871,0.0640760362,-0.9193673,2.33020377,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9611357766917076
6.53153563,-0.124818,-0.0498937033,2.2996428,-0.156521738,-0.4346383,2.10873771,-0.190956235,-0.9446275,2.081738,0.0404644161,-0.0354691222,2.31602263,0.113852359,-0.4404004,2.23174357,0.03400758,-0.9051151,2.37272549,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9588071006686795
6.565536,-0.114879228,-0.009543424,2.2754035,-0.1503678,-0.435979128,2.17789578,-0.188787922,-0.9475833,2.16788769,0.0471545868,-0.0148777869,2.296742,0.0898591354,-0.426135451,2.2651453,0.0719166845,-0.9293798,2.31524324,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9821675400754556
6.598052,-0.11498522,-0.00764249265,2.2734704,-0.15071094,-0.434969336,2.1778996,-0.186344549,-0.9389975,2.176415,0.0471481755,-0.009998792,2.29355121,0.08934793,-0.421261162,2.26563239,0.123007752,-0.9337402,2.33914471,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9875036333395723
6.630051,-0.114916794,-0.004108859,2.26864672,-0.15112935,-0.434363931,2.17878652,-0.184303954,-0.937924743,2.17750359,0.04645082,-0.006306449,2.29043818,0.08908245,-0.417276561,2.26849866,0.057761535,-0.9011595,2.32893348,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9916683910281195
6.66405058,-0.114388257,-0.00305155688,2.265708,-0.152702972,-0.427845746,2.18405,-0.183175743,-0.9389924,2.17923975,0.046489574,-0.005003229,2.28758574,0.0887619555,-0.4156474,2.271292,0.137849391,-0.904410541,2.3602984,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9934214440104189
6.69757128,-0.113802128,-0.00332270283,2.26271868,-0.154068917,-0.423506141,2.18720365,-0.1832329,-0.939045131,2.17937326,0.0464402325,-0.00497022364,2.283885,0.08856438,-0.415202141,2.27279615,0.0690647438,-0.9061859,2.33851624,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9940625086797401
6.730571,-0.113417685,-0.004555615,2.260085,-0.155238256,-0.422321916,2.1890552,-0.179387808,-0.94073,2.1800344,0.0464758761,-0.0057766214,2.28165555,0.086245805,-0.41521138,2.28042555,0.07093242,-0.8987994,2.34158182,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9936326472271867
6.763571,-0.113100134,-0.00655751629,2.25874376,-0.15689145,-0.4223393,2.19161,-0.179493323,-0.940232,2.18077254,0.04643553,-0.008495687,2.27961826,0.08270988,-0.416832536,2.28895569,0.129910916,-0.909152,2.364167,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9912861069628391
6.798085,-0.112924844,-0.0100813452,2.2590158,-0.160123348,-0.420975149,2.19752812,-0.179569945,-0.940308869,2.180957,0.0461311266,-0.0117923925,2.279327,0.0815096647,-0.419897825,2.29304528,0.07597174,-0.910927236,2.34823418,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9880876613892644
6.830085,-0.113539279,-0.0134933852,2.25943184,-0.160749391,-0.4244144,2.20117855,-0.182798311,-0.9403399,2.18163443,0.0448175557,-0.0163199,2.279384,0.08110886,-0.423421651,2.29567742,0.07434932,-0.903954268,2.34879422,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9836353550074438
6.865085,-0.114278682,-0.016967712,2.259995,-0.160814479,-0.428003252,2.20703769,-0.183416232,-0.939922452,2.18302226,0.0437802933,-0.0195618514,2.281113,0.0796955153,-0.425528228,2.30381012,0.07648377,-0.8975272,2.35211921,-0.017081555,0.986278832,-0.164202124,1.3747766,0.9801716996387768
6.897602,-0.114283271,-0.0177871287,2.26069236,-0.159940332,-0.428939134,2.211065,-0.1837087,-0.940236866,2.18354154,0.0434552543,-0.0206119586,2.28254843,0.07750967,-0.42506814,2.31388521,0.0763630942,-0.8973467,2.35220981,-0.017081555,0.986278832,-0.164202124,1.3747766,0.978905852685383
