Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
4.543387,-0.13872014,-0.0841344148,2.333109,-0.1287818,0.008752087,2.05698633,-0.116274364,0.09717168,1.7694422,-0.0950599462,0.179427475,1.68304849,-0.258094251,0.0782311857,1.86350524,-0.2615135,-0.153917611,1.85348451,-0.0548484176,-0.226732,1.769018,-0.0377478823,-0.247461751,1.7908082,0.055507496,0.09425604,1.8899312,0.0726110041,-0.136462972,1.8944633,0.0199763458,-0.283086568,1.7157563,-0.06744331,-0.321297884,1.79410791,-0.226806521,-0.104174033,2.285322,-0.241033763,-0.5167705,2.04283786,-0.307354152,-0.8666976,2.18251,-0.265882045,-0.850135,2.02545881,-0.04644563,-0.0618551038,2.31184459,0.0110244174,-0.386101,1.95351243,0.053334754,-0.7386009,2.117943,-0.03572616,-0.8271656,2.043991,-0.119541049,0.07515203,1.84370971,0.0468437523,-0.249761522,1.74350321,-0.05303487,-0.311063856,1.77840006,-0.0677932352,-0.326474458,1.78346145,-0.06820192,-0.3162966,1.77090931,-0.005080462,0.999938,0.009911442,0.940405965
4.576965,-0.141173273,-0.177845463,2.32134557,-0.124934681,-0.04711036,2.04689455,-0.113063209,0.091099,1.7660625,-0.09479395,0.171117738,1.67966557,-0.26132223,0.0665815,1.86597788,-0.2690503,-0.165370822,1.85335016,-0.04990782,-0.243389457,1.779994,0.0155595988,-0.246067017,1.76037467,0.05539137,0.08865265,1.88847744,0.0777956247,-0.141218066,1.89614308,0.116236478,-0.297140837,1.72215354,0.07164361,-0.275608778,1.7575047,-0.228232533,-0.19001393,2.2727704,-0.252607852,-0.5508626,2.0195353,-0.296667665,-0.899035633,2.170221,-0.2628364,-0.8533107,2.02543879,-0.0499332771,-0.160386443,2.30081487,0.0120132379,-0.4568621,1.93935335,0.05923332,-0.7761611,2.14100575,-0.03882888,-0.8334883,2.04123616,-0.115644448,0.061383158,1.8387152,0.0901563242,-0.275140077,1.74804568,-0.004793532,-0.281693965,1.7918123,0.0454602838,-0.283618867,1.744074,0.0363279134,-0.243608,1.72223806,-0.005080462,0.999938,0.009911442,0.940405965
4.61051369,-0.1324595,-0.2755212,2.28710651,-0.119750865,-0.093433,2.02990341,-0.1113912,0.08929575,1.76456416,-0.09557022,0.168897867,1.678216,-0.264819443,0.06205555,1.87022448,-0.2903137,-0.16839686,1.87311983,-0.0441350974,-0.2487932,1.7715615,0.0138136074,-0.2696703,1.76734936,0.0577899925,0.08045687,1.88850355,0.100441888,-0.145588532,1.90237772,0.0533535555,-0.286501974,1.7173928,0.0322184525,-0.3090289,1.7777487,-0.213277936,-0.284539968,2.23913741,-0.264186859,-0.6192022,2.00559568,-0.2982668,-0.929219961,2.220832,-0.268172979,-0.867440462,2.06165338,-0.047676,-0.2582169,2.266268,0.0413591675,-0.4924911,2.001814,0.06048972,-0.8386326,2.16242838,0.0826490149,-0.801284134,2.03350019,-0.112755306,0.0509953238,1.83431506,0.08987056,-0.266063929,1.75806856,-0.008757529,-0.343541861,1.793427,-0.00498047564,-0.3997293,1.76736474,0.0288632,-0.302158237,1.73172748,-0.005080462,0.999938,0.009911442,0.940405965
4.64307642,-0.189880222,-0.05533618,2.345962,-0.156463534,0.0174769945,2.06080151,-0.113742389,0.08918005,1.76447546,-0.09594077,0.166281626,1.67768049,-0.265729576,0.06718907,1.870614,-0.3424255,-0.148355633,1.88675833,-0.139207721,-0.2215455,1.75555027,-0.0345634632,-0.24462992,1.73155212,0.05447418,0.088109605,1.88771892,0.1397319,-0.121893592,1.91970193,0.118029289,-0.339711934,1.83952951,0.06295552,-0.388413042,1.81139207,-0.274784744,-0.06683099,2.30324531,-0.244429573,-0.427737474,1.98133969,-0.286918223,-0.7739577,2.13835335,-0.2610901,-0.852220833,2.02472138,-0.09937842,-0.0422098562,2.31949878,-0.000580265652,-0.252699733,1.88784981,0.03607086,-0.686268151,2.17064285,0.101534531,-0.7781807,2.069736,-0.122642606,0.0619389042,1.8376776,0.0317465775,-0.2546827,1.73475242,-0.0600297041,-0.256492734,1.69872451,0.0454453044,-0.47753194,1.77204931,0.01978133,-0.388515353,1.8624,-0.005080462,0.999938,0.009911442,0.940405965
4.67767429,-0.170528352,-0.0537504181,2.34552455,-0.152004331,0.0213375948,2.05915928,-0.120822519,0.09875109,1.75990486,-0.09670349,0.172804624,1.6751709,-0.271924734,0.07835509,1.87398815,-0.391319335,-0.116615221,1.88781607,-0.193310887,-0.219646171,1.73985982,-0.105858952,-0.240329817,1.7059052,0.04813402,0.09221974,1.89525974,0.182848752,-0.08276691,1.94761026,0.195430711,-0.33527115,1.85004449,0.1861216,-0.4013155,1.82554543,-0.259466261,-0.06557524,2.30048823,-0.2412064,-0.4589771,2.02307487,-0.305199832,-0.789964437,2.2013042,-0.265630424,-0.8414041,2.05008817,-0.0757190362,-0.0402711146,2.32186627,0.00416429574,-0.399155259,2.006413,0.05060054,-0.7416349,2.170583,0.08178711,-0.806152344,2.03515625,-0.127870336,0.07694258,1.83489418,-0.0392348319,-0.250755548,1.69285274,-0.088237226,-0.298001379,1.72,0.182783455,-0.4698609,1.79540539,0.207604572,-0.417545885,1.822182,-0.005080462,0.999938,0.009911442,0.940405965
4.71022844,-0.152651921,-0.0761290938,2.343857,-0.144899756,0.0282035358,2.06032634,-0.124181569,0.1555749,1.76876569,-0.104420558,0.2096611,1.67536449,-0.2853161,0.106751747,1.87880707,-0.439986348,-0.06333773,1.87715828,-0.2678582,-0.190072969,1.70558643,-0.200922117,-0.227942348,1.67069757,0.0547624044,0.13760139,1.91668069,0.215203255,-0.00206344621,1.99023736,0.301060081,-0.236476645,1.91502857,0.321248174,-0.309786052,1.89468479,-0.235471442,-0.09667918,2.29229116,-0.237945,-0.4327453,1.96947551,-0.284895629,-0.7838612,2.11498737,-0.2585643,-0.8546925,2.02564716,-0.0637611747,-0.0552058481,2.324447,-0.0007476661,-0.358882844,1.98768961,0.0556270741,-0.7495522,2.115843,0.1177321,-0.816301465,2.03853917,-0.127255887,0.1251437,1.84400225,-0.146593571,-0.257453442,1.6305784,-0.166249335,-0.298624635,1.72633338,0.355403155,-0.3762097,1.870647,0.3366462,-0.323208869,1.88004148,-0.005080462,0.999938,0.009911442,0.940405965
4.74378443,-0.162441611,-0.06411022,2.342705,-0.147280917,0.07097693,2.063492,-0.123674832,0.197096914,1.773709,-0.11713089,0.265514046,1.67980933,-0.285428852,0.158265024,1.87710845,-0.466661453,0.0187719334,1.83227313,-0.372959524,-0.1307508,1.67352724,-0.2968392,-0.181624889,1.62875068,0.0482645631,0.18193309,1.925902,0.239712432,0.108998515,2.014862,0.410509348,-0.131446913,1.99552464,0.435594976,-0.185391381,1.98784447,-0.251406,-0.07734964,2.29019523,-0.238143265,-0.4018403,1.974975,-0.282112837,-0.7718229,2.10996127,-0.258905649,-0.8547652,2.02616024,-0.0699718,-0.0474691875,2.32466865,-0.0007599684,-0.3571635,1.98650479,0.0557401069,-0.75008285,2.116307,0.120224006,-0.818673551,2.03763676,-0.129457921,0.165505782,1.84830332,-0.2433703,-0.218773127,1.58959341,-0.301263541,-0.260332733,1.68257153,0.469554156,-0.227915257,1.96634388,0.459822565,-0.205536678,1.9879334,-0.005080462,0.999938,0.009911442,0.940405965
4.77786,-0.166121691,-0.0142667945,2.341994,-0.135479286,0.131789878,2.06896472,-0.104231909,0.2725595,1.78428066,-0.119812116,0.3306463,1.68693388,-0.285136461,0.215419725,1.88185048,-0.489924759,0.145073161,1.78825,-0.412804455,-0.0438975953,1.60469079,-0.372345239,-0.09317505,1.57463443,0.0402934924,0.25228864,1.933085,0.23364383,0.254589468,2.04019022,0.418182015,0.124073446,2.06880116,0.4857939,0.04266559,2.08525443,-0.247555584,-0.0219243839,2.29398227,-0.245522782,-0.331574321,2.002128,-0.288456857,-0.7676086,2.112982,-0.255888164,-0.8578848,2.02709484,-0.07869619,-0.00925876,2.32123446,-0.00101843255,-0.353844762,1.98781943,0.0548096672,-0.7489862,2.116565,0.12029694,-0.818238437,2.03711987,-0.11213918,0.238119259,1.85765052,-0.321395636,-0.137493089,1.54926658,-0.404317141,-0.161833152,1.61966658,0.5434558,0.000800006732,2.100023,0.551983356,0.014372671,2.096,-0.005080462,0.999938,0.009911442,0.940405965
4.810402,-0.16881451,0.0419985652,2.33677483,-0.155054018,0.1942437,2.0676713,-0.140295327,0.341794252,1.78699648,-0.117087036,0.404636145,1.69187844,-0.283869147,0.287881434,1.875743,-0.487378836,0.2564495,1.75800693,-0.4474287,0.07917284,1.53319228,-0.414460838,0.0342862122,1.50597155,0.0403102525,0.3420264,1.9464184,0.22944665,0.4157325,2.09156132,0.4629303,0.283628047,2.14866734,0.508727431,0.25033614,2.15474939,-0.247393042,0.03202058,2.289282,-0.251216263,-0.314156651,2.01849341,-0.2960551,-0.7713186,2.11318231,-0.2565124,-0.858812,2.026131,-0.08525455,0.05073035,2.31504822,0.00148742774,-0.279206455,2.00653124,0.05345112,-0.7473271,2.11448956,0.10321255,-0.813302338,2.03675151,-0.144171849,0.30578357,1.8593322,-0.354232728,-0.011983349,1.47270036,-0.438618571,0.00189131347,1.48771417,0.566553652,0.217884272,2.16620731,0.495093077,0.2309649,2.1765,-0.005080462,0.999938,0.009911442,0.940405965
4.843952,-0.172191381,0.141492546,2.34126687,-0.15269132,0.28486836,2.071426,-0.132345378,0.422988325,1.79021859,-0.112475716,0.4875788,1.6935991,-0.274298519,0.366817862,1.87445676,-0.473082453,0.360473633,1.744113,-0.434493363,0.235784948,1.53788674,-0.428789675,0.184246227,1.44889414,0.0407945365,0.441570342,1.95863867,0.221766412,0.592534065,2.12419748,0.444309831,0.464035,2.18555069,0.4803721,0.439991742,2.198913,-0.249767438,0.127294078,2.29388642,-0.257725179,-0.292204946,2.06379747,-0.339536,-0.795059562,2.09570551,-0.270590425,-0.8672459,2.01990628,-0.08955345,0.151512355,2.3195498,-0.00102615193,-0.22619991,2.02848244,0.03524165,-0.7178643,2.09087634,0.103199527,-0.814197659,2.02207565,-0.137590244,0.389433473,1.862649,-0.407688051,0.137133688,1.39845085,-0.4550057,0.184431672,1.42466688,0.5339351,0.404367536,2.23189259,0.466034144,0.411300749,2.22758317,-0.005080462,0.999938,0.009911442,0.940405965
