Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
7.4827075,-0.0812309757,-0.06496885,2.30693841,-0.09703801,0.116145596,2.05690646,-0.111645669,0.292233467,1.79440522,-0.0965805352,0.367739558,1.7124666,-0.236766413,0.235635966,1.863986,-0.402623177,0.185967639,1.70662558,-0.3724481,0.007632768,1.47888172,-0.340943515,-0.0563032962,1.42948425,0.0825065151,0.301164478,1.933476,0.268146366,0.350530058,2.026779,0.499270946,0.18630065,2.02276349,0.5442258,0.149849311,2.02247524,-0.149386168,-0.0745099038,2.263858,-0.18878746,-0.3464038,1.94997787,-0.275173545,-0.744597435,2.09052134,-0.264217049,-0.8382743,2.01385117,-0.0105201853,-0.0533775836,2.27716684,0.036455024,-0.267678678,1.96194315,0.064008,-0.7489091,2.104711,0.07578184,-0.8090538,2.029038,-0.108214922,0.249134868,1.86234248,-0.311311156,-0.113907166,1.37862182,-0.3378347,-0.122916013,1.40922225,0.5962597,0.122093059,2.01191187,0.5541276,0.162686229,1.982421,-0.0107871387,0.9999018,0.008954265,0.9458574
7.516768,-0.07920924,0.00681248633,2.31021237,-0.0936603844,0.186850354,2.05794382,-0.106972665,0.361246943,1.79334772,-0.08882121,0.438436627,1.71099758,-0.218816027,0.302976042,1.85302758,-0.390916318,0.288893968,1.69545174,-0.38609767,0.129616946,1.42937016,-0.367077827,0.0658555552,1.36879551,0.07469229,0.376785278,1.9536643,0.26733458,0.5182865,2.08108926,0.464188546,0.387934268,2.11833835,0.5090528,0.353903,2.12303448,-0.146167636,-0.006845473,2.2635107,-0.185749933,-0.250049919,1.99599922,-0.288258731,-0.7318976,2.088986,-0.295137435,-0.8222283,2.005416,-0.009771253,0.0202517323,2.28403234,0.0451444238,-0.2573166,1.95181775,0.0390262045,-0.720216453,2.06088138,0.08404222,-0.807541251,1.9931457,-0.103853628,0.3186789,1.86177564,-0.3399155,0.01315903,1.30510807,-0.378989577,0.0113756526,1.35370588,0.563667834,0.315749228,2.14029455,0.523692846,0.367448866,2.07955575,-0.0107871387,0.9999018,0.008954265,0.9458574
7.549824,-0.0649538338,0.047700014,2.29478669,-0.0879166648,0.240454867,2.049565,-0.110546425,0.4239492,1.79315448,-0.07186997,0.504506,1.71537256,-0.207230031,0.380047321,1.84974778,-0.378194332,0.387536,1.69077945,-0.3900227,0.239205077,1.41869223,-0.387985736,0.177364573,1.351921,0.07053009,0.466438979,1.95904374,0.219483674,0.6608513,2.11056828,0.401037067,0.5642158,2.1853826,0.4421728,0.5319502,2.20712066,-0.1301708,0.03263432,2.24800086,-0.210680649,-0.367371529,2.00583982,-0.323560655,-0.7292291,2.090814,-0.334677875,-0.8196829,2.00874281,0.00233253115,0.0613348521,2.26866317,0.07513062,-0.190848038,1.935755,0.02382183,-0.6490712,2.0162425,0.0603576973,-0.716253042,1.93324065,-0.105126478,0.379235536,1.85950339,-0.3645356,0.11782869,1.293376,-0.4205121,0.1580228,1.33095551,0.5035827,0.511533856,2.25085282,0.459494561,0.5602063,2.18651724,-0.0107871387,0.9999018,0.008954265,0.9458574
7.5833683,-0.109354571,0.200518876,2.334234,-0.09755473,0.3372426,2.080978,-0.08520061,0.4680992,1.81593251,-0.0436222665,0.554200053,1.717005,-0.1861764,0.448681355,1.86603236,-0.362435371,0.46384275,1.71436572,-0.450465441,0.392265946,1.51266158,-0.4113299,0.278577447,1.36984658,0.07334413,0.499444783,1.959625,0.144834623,0.7426588,2.09667635,0.330923319,0.6813272,2.24593854,0.368361443,0.656744,2.27419472,-0.188255489,0.182421088,2.280799,-0.191066936,-0.232744068,2.04853082,-0.324870557,-0.703967035,2.083899,-0.292563468,-0.780697942,2.01315355,-0.0270927157,0.212372661,2.31506133,0.08463882,-0.08011442,1.94692326,0.000970707159,-0.593620658,1.99694991,0.0243260656,-0.661802053,1.9414736,-0.08839322,0.436452031,1.88440788,-0.408206552,0.216476664,1.33108783,-0.41100198,0.219442084,1.39025,0.4040793,0.605755746,2.31158376,0.409331441,0.6813354,2.2770834,-0.0107871387,0.9999018,0.008954265,0.9458574
7.61592436,-0.08842763,0.3246786,2.334157,-0.0587810241,0.413979,2.06115961,-0.02927267,0.497871846,1.77660036,-0.01619039,0.592074156,1.71632314,-0.147000089,0.504645944,1.85890472,-0.386767536,0.5029105,1.71131635,-0.461524218,0.400797337,1.442573,-0.441631,0.342785984,1.404763,0.1297266,0.537028968,1.9203614,0.153614774,0.7625596,2.09343123,0.312941819,0.713640451,2.324077,0.326568425,0.6962439,2.34654236,-0.1661248,0.309346735,2.28523064,-0.242160365,-0.135548785,2.15557814,-0.4405818,-0.803764045,2.04414082,-0.388920158,-0.889219165,1.97382379,-0.008025248,0.3299644,2.310884,0.103835955,0.0437078476,1.93704915,-0.0199995954,-0.478748083,1.99548757,-0.0297241211,-0.54296875,1.90917969,-0.0366261862,0.4779083,1.84993708,-0.443398684,0.284249216,1.37577736,-0.480586469,0.34388122,1.405579,0.357744664,0.6652547,2.40721345,0.346693724,0.6924765,2.319037,-0.0107871387,0.9999018,0.008954265,0.9458574
7.65150261,-0.112102665,0.3478883,2.32990623,-0.07797372,0.457150757,2.0670228,-0.0397699438,0.5583515,1.79432368,0.009330553,0.614921749,1.71271813,-0.131170079,0.529242158,1.858022,-0.348340422,0.544903934,1.77753139,-0.496663034,0.49109605,1.61044681,-0.521931469,0.440233827,1.50949228,0.117941871,0.560505867,1.96327472,0.2019727,0.75746274,2.15038085,0.319641829,0.6767436,2.40138,0.326611847,0.6654399,2.41404629,-0.190941751,0.3377779,2.27407384,-0.257379383,-0.108322494,2.14066982,-0.4286052,-0.7500591,2.09143472,-0.3981687,-0.827550232,1.991179,-0.0306534451,0.348592639,2.31261659,0.08561224,0.06471251,1.9381448,-0.04746114,-0.357573718,1.99883461,-0.04977417,-0.427978516,1.91992188,-0.0495115966,0.534682453,1.86473155,-0.5256337,0.3806396,1.442507,-0.555025458,0.4497046,1.5044446,0.339599162,0.6363283,2.4249382,0.3499976,0.6442566,2.3933847,-0.0107871387,0.9999018,0.008954265,0.9458574
7.683049,-0.1444703,0.460488081,2.332108,-0.07018574,0.5077544,2.06728339,-0.00325335073,0.551994264,1.79153442,0.0391190052,0.6219394,1.7093538,-0.129048258,0.5359531,1.86175907,-0.3932398,0.566106141,1.79880464,-0.5652929,0.5167251,1.65689075,-0.5963037,0.447856039,1.56097043,0.139615238,0.5730984,1.96521008,0.265866518,0.682446957,2.19320035,0.359564424,0.5934415,2.419112,0.363579273,0.5962019,2.41783214,-0.2187997,0.446370035,2.27544475,-0.2765918,-0.00468942,2.15317082,-0.343467683,-0.391614348,2.17908978,-0.3222863,-0.482876,2.13275528,-0.06576065,0.460500836,2.31734467,0.03961006,0.155314922,1.95667946,-0.0640100762,-0.317440271,1.9618156,-0.0595109127,-0.391352862,1.89850271,-0.0259749461,0.5391121,1.86306775,-0.6002635,0.396474123,1.51460218,-0.6241009,0.396070242,1.54775,0.366569549,0.5563197,2.448857,0.389836222,0.578284144,2.3915,-0.0107871387,0.9999018,0.008954265,0.9458574
7.7181015,-0.08913983,0.507079661,2.33936143,-0.0392071046,0.5280867,2.06693578,0.009366861,0.5519267,1.78719985,0.05901714,0.619867,1.70283711,-0.1276748,0.5480934,1.86554039,-0.36072886,0.59715414,1.850631,-0.563598633,0.559645653,1.7583971,-0.6290252,0.5066075,1.69579875,0.152531669,0.565732241,1.966769,0.31858328,0.630722165,2.18784332,0.429537,0.548072457,2.3497982,0.425137758,0.4868126,2.39643335,-0.172507256,0.4983315,2.28657079,-0.249964446,0.050998617,2.15772533,-0.371784717,-0.321250051,2.19339919,-0.388220638,-0.422624648,2.123433,-0.003096058,0.5003844,2.32089949,0.095574744,0.211815,1.94428229,-0.013725237,-0.2490852,1.99814916,-0.0416194536,-0.331295371,1.90836251,-0.00260024867,0.545098662,1.85831642,-0.6682689,0.440632254,1.643531,-0.6624041,0.515445769,1.6809,0.438898116,0.463993669,2.43074441,0.452666521,0.4804055,2.39233351,-0.0107871387,0.9999018,0.008954265,0.9458574
7.75016451,-0.07346501,0.509363532,2.33898687,-0.0266605355,0.531287849,2.06574059,0.0196373854,0.5523647,1.78344977,0.07171573,0.61746037,1.69867742,-0.125688672,0.5532188,1.86858416,-0.3771804,0.636585057,1.89931941,-0.59254545,0.6037051,1.848773,-0.6311141,0.5652348,1.81754327,0.169966236,0.5533998,1.9570893,0.3728023,0.573465645,2.15496087,0.463104546,0.414278835,2.282479,0.480346829,0.370017529,2.31714916,-0.157744914,0.502278864,2.28812456,-0.239241943,0.05665308,2.15428066,-0.3597068,-0.31758216,2.17761827,-0.357621223,-0.412417531,2.08739185,0.01350144,0.5009209,2.31849575,0.1000786,0.195570379,1.95262563,0.0224932767,-0.323853463,1.97891116,0.0104126483,-0.387534857,1.89707291,0.008055921,0.5470068,1.85567248,-0.687851,0.523067653,1.7838918,-0.6656982,0.565118551,1.79880011,0.469765931,0.305310547,2.37972,0.518561244,0.35744828,2.31575,-0.0107871387,0.9999018,0.008954265,0.9458574
7.78371048,-0.0421093926,0.504273653,2.340841,-0.00187050027,0.530075967,2.06763864,0.0383904,0.5517374,1.78395653,0.08011692,0.613286,1.69701278,-0.124358036,0.5643871,1.87425458,-0.3811912,0.6805946,1.95713544,-0.5974495,0.6341657,1.9325105,-0.643357,0.56313777,1.9115535,0.187335163,0.543218732,1.94688487,0.367710829,0.5343783,2.07248425,0.494646132,0.337740928,2.18285728,0.514178157,0.25156045,2.21404243,-0.127722457,0.5026512,2.29317737,-0.224472836,0.0611316673,2.15506315,-0.3423572,-0.315761149,2.14998269,-0.325101584,-0.4074182,2.05545425,0.0457691178,0.4900811,2.317037,0.109232888,0.176227108,1.95377219,0.0356736034,-0.345000058,2.05261374,0.0547816232,-0.427649468,1.94795108,0.0284460187,0.5468813,1.85683107,-0.6658841,0.511469364,1.905193,-0.651137054,0.584875941,1.89968181,0.5057571,0.169630855,2.23685,0.5577398,0.231764615,2.201208,-0.0107871387,0.9999018,0.008954265,0.9458574
