Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
5.0720067,-0.237122566,-0.0240861718,2.266086,-0.262459427,-0.413732231,1.98198986,-0.273848742,-0.832217455,2.003298,-0.05787405,0.0240306128,2.29647422,-0.00430244952,-0.34136793,1.98116207,0.0147273764,-0.8685542,1.96791983,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9869225856308904
5.103557,-0.244020939,-0.09206923,2.24748015,-0.272707283,-0.482874542,1.96704483,-0.256440878,-0.85865283,1.98096049,-0.05387401,-0.0364395455,2.29311562,0.000536030857,-0.411564469,1.991918,0.095188424,-0.828821838,1.99797261,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9264286996393535
5.138621,-0.237119,-0.0761548951,2.24906659,-0.270958066,-0.470841438,1.97521448,-0.261379063,-0.854730844,1.98595262,-0.0515588932,-0.0221236441,2.28876686,0.0010608756,-0.403263,1.99545217,0.09212362,-0.8230285,2.001998,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9407303142414392
5.171197,-0.237019867,-0.07724027,2.2489574,-0.269884646,-0.497660577,2.02385139,-0.269078463,-0.856426835,2.00067377,-0.0528238676,-0.0240778178,2.28822041,0.00491784047,-0.421029,2.02081966,0.0154296923,-0.840715945,2.01118088,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9387843825073532
5.203759,-0.23097223,-0.0896618143,2.2512877,-0.27462697,-0.519717157,2.05270123,-0.2584114,-0.866317153,2.00386286,-0.0508600138,-0.04938537,2.28545928,0.007469076,-0.442617863,2.01260042,0.0145799294,-0.8528694,1.99895513,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9134653027502564
5.238827,-0.2691366,-0.180848137,2.23455548,-0.3155181,-0.602134168,2.01876974,-0.26278,-0.889240742,2.05814481,-0.08554784,-0.117793709,2.28957033,0.00224816636,-0.4917501,1.99703276,0.0150510781,-0.8692187,1.976854,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8452796439016834
5.27137852,-0.215054169,-0.316029876,2.217892,-0.2965861,-0.607245564,2.00088859,-0.257100433,-0.8912411,2.016664,-0.0501192547,-0.28619954,2.255614,0.03505808,-0.600961,1.99647915,0.135517329,-0.8976969,2.00889945,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.6766569256679321
5.303923,-0.209991351,-0.306835562,2.21053672,-0.248274118,-0.5015469,1.9003334,-0.278076172,-0.8574219,1.96679688,-0.0478715971,-0.283559978,2.24297929,0.0253708158,-0.383180737,1.80214226,0.1026001,-0.855957031,1.96484375,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.6792844486303142
5.33901262,-0.216461942,-0.245522022,2.2244513,-0.246129543,-0.494895518,1.90138257,-0.265722036,-0.860633969,1.96580851,-0.0622520149,-0.212126017,2.27051926,-0.00386796822,-0.353228033,1.88928938,0.07426432,-0.8692707,1.947629,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7508037633903909
5.371081,-0.220477045,-0.236502886,2.22187138,-0.241526812,-0.441077232,1.90219557,-0.264874,-0.8621257,1.9643631,-0.06450666,-0.2040077,2.26151323,-0.007525856,-0.341903925,1.89270115,0.08579633,-0.8746154,1.94134879,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.7589380607818116
5.403641,-0.233080581,-0.189047,2.218287,-0.23523736,-0.356939673,1.88731158,-0.266590774,-0.8630501,1.96270406,-0.07956108,-0.1577298,2.254108,-0.00757223228,-0.337965161,1.89459133,0.086306,-0.873142242,1.93903983,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8053127936817259
5.43872929,-0.206692323,-0.136817873,2.22118068,-0.235665843,-0.3502482,1.9098587,-0.2915191,-0.8653064,1.95795774,-0.0551771224,-0.09919945,2.25509357,-0.00186445867,-0.2846288,1.90520108,0.0771467239,-0.864744,1.93039346,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8636856582202134
5.47129154,-0.195721939,-0.07673923,2.246824,-0.233982846,-0.29171437,1.949372,-0.308120131,-0.873343,1.954397,-0.0408340544,-0.0130723706,2.28275967,0.005850277,-0.259704381,1.9017837,0.0468404666,-0.8393573,1.89034724,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9497138883429627
5.50384235,-0.211817935,-0.004429839,2.23061752,-0.225762814,-0.2533851,1.96058667,-0.364519566,-0.8570207,1.96407318,-0.0633329,0.0490934551,2.26964021,0.0165575426,-0.249849573,1.89500582,0.0379706919,-0.786797762,1.89308834,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0120249648657655
5.53991652,-0.216026247,0.0490601324,2.233797,-0.255319953,-0.3511743,1.9905709,-0.3830442,-0.895777464,1.94895792,-0.066145584,0.08103585,2.269036,0.052281525,-0.109997824,1.87437093,0.01051015,-0.6929573,1.88380146,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0439848254355584
5.57198334,-0.2790106,0.207279,2.25715756,-0.241101608,-0.2371247,2.08318472,-0.415170372,-0.825110555,1.96740961,-0.126787663,0.253592134,2.296187,0.0522347242,0.0204618257,1.9030596,-0.04577384,-0.5553109,1.86768782,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.2169206142552798
5.60354233,-0.304741353,0.207356781,2.19907522,-0.276351482,-0.236720979,2.021055,-0.39520067,-0.8186157,1.9695003,-0.1556964,0.260941327,2.26541567,0.0567317754,0.07922911,1.86137474,-0.07098389,-0.462890625,1.85351563,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.2244605745388106
5.63961458,-0.337437183,0.422991663,2.209694,-0.2672001,-0.0125063006,2.01200747,-0.386093736,-0.6040598,2.051204,-0.178704128,0.4819195,2.27358484,0.0257397313,0.210985765,1.91952181,-0.105369784,-0.38081938,1.88372672,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4455799487232535
5.67068434,-0.330367059,0.4267614,2.21292758,-0.2883261,-0.0106368326,2.0114305,-0.3635254,-0.702148438,1.93261719,-0.1733296,0.48132953,2.27484179,0.0233453549,0.20847252,1.9177326,-0.134983957,-0.3207175,1.96088481,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4449553458352604
5.70423269,-0.304492056,0.451433033,2.22946215,-0.262042373,0.0508052446,1.95524335,-0.345435321,-0.659948468,1.92366993,-0.146418318,0.498710722,2.28311539,0.03853232,0.213039681,1.92996621,-0.09539527,-0.364433467,1.92122734,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4621623306678282
5.73929644,-0.28869167,0.4522102,2.22948384,-0.2578836,0.0454759933,1.96362209,-0.3106973,-0.5506249,1.96303451,-0.127230287,0.500192344,2.28739357,0.0387739949,0.199005589,1.93790722,-0.03948808,-0.400711417,1.9199,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4635202732796821
5.77135468,-0.24543272,0.413664043,2.25750828,-0.233942568,0.018048605,1.97329867,-0.288488418,-0.6979826,1.85713661,-0.07859459,0.43860954,2.29958677,0.05113551,0.1652768,1.91261315,-0.0139174294,-0.4351437,1.94984055,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.4016250637518746
5.803921,-0.230401471,0.3810115,2.26524615,-0.233715028,-0.0145056183,1.98130774,-0.257178366,-0.7178858,1.8605535,-0.0536232,0.370536834,2.29939914,0.0141065735,0.0110511445,1.97537541,0.00316429138,-0.6503906,1.93554688,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.3333939314462637
5.838997,-0.223045722,0.3254004,2.25967431,-0.23403658,-0.07246367,1.98043084,-0.2516234,-0.798676252,1.8087672,-0.0494589545,0.288315654,2.2801218,-0.00517733162,-0.116309553,2.01606154,0.0424016528,-0.7740321,1.94983172,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.2511514472738337
5.871086,-0.215746954,0.246649146,2.23631954,-0.233671159,-0.1436936,1.9471252,-0.2588168,-0.843152761,1.80429947,-0.04842289,0.200076953,2.249398,-0.0129440483,-0.219872564,2.013971,0.0264129639,-0.8540039,1.94824219,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.1629137687773998
5.903658,-0.226118088,0.1562067,2.19515038,-0.233337924,-0.245361552,1.92418647,-0.251314551,-0.8748103,1.81284857,-0.0528859124,0.117137685,2.21302319,-0.0178287253,-0.3148076,2.006688,-0.0248424541,-0.872268558,1.93936944,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0800116929565866
5.939753,-0.222849488,0.083651,2.1749568,-0.217256755,-0.328316778,1.92355716,-0.245156527,-0.882678,1.82278156,-0.04996822,0.0463547781,2.200569,-0.0154507225,-0.366721064,1.9686811,-0.00578969624,-0.879808,1.94678438,-0.00640165,0.9999795,-0.000190254781,0.9629589,1.0092139291577877
5.97130966,-0.227902666,-0.040260762,2.06755877,-0.208189845,-0.463172376,1.87771237,-0.221287429,-0.896630168,1.84249592,-0.0616012625,-0.0744896755,2.09203577,-0.0190509576,-0.420590132,1.95641923,-0.007672619,-0.877009153,1.95614922,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8884670735725272
6.003862,-0.224427357,-0.07057484,2.07346439,-0.20545125,-0.464451939,1.87747383,-0.221782058,-0.8939525,1.842823,-0.05841688,-0.115930445,2.098949,-0.018303059,-0.436147183,1.95067036,0.0344537757,-0.8696556,1.98135364,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8470054533987728
6.038924,-0.220686719,-0.0905796662,2.079531,-0.199952587,-0.4651259,1.87592244,-0.2224847,-0.8934114,1.84317529,-0.0548859164,-0.12728259,2.09974,-0.0177265927,-0.44598943,1.94679368,0.0333962552,-0.869651437,1.9807595,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.835630786733976
6.0709796,-0.220104277,-0.0167973433,2.20592785,-0.19884,-0.4015039,1.91278839,-0.2198822,-0.89275527,1.84491026,-0.0474468,-0.06614578,2.226928,-0.0194190014,-0.4253517,1.95338833,-0.04248047,-0.8691406,1.953125,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.8966945221431522
6.10352659,-0.214427024,-0.000928446359,2.21858954,-0.1980657,-0.385210425,1.92430687,-0.208913669,-0.889175,1.8505547,-0.0413304269,-0.0498302765,2.23659086,-0.0154830106,-0.424144566,1.95369375,0.0538330078,-0.8696289,1.99121094,-0.00640165,0.9999795,-0.000190254781,0.9629589,0.9129686977458109
