Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
5.616886,-0.09312744,0.0504108034,2.29893231,-0.107921563,0.240958288,2.05264425,-0.121509254,0.425419658,1.79477477,-0.07811197,0.488930285,1.69651663,-0.22856532,0.3738792,1.85961652,-0.453583,0.3648661,1.7635206,-0.499798149,0.2338085,1.52093112,-0.486774981,0.176004425,1.44782484,0.0591947436,0.44525966,1.95733953,0.238769621,0.620846331,2.13873267,0.422785282,0.480965376,2.190983,0.441053182,0.459177047,2.19380665,-0.159453154,0.03543258,2.25007439,-0.211265057,-0.220148236,1.99316669,-0.306184351,-0.7058721,2.054049,-0.264347136,-0.7897594,1.96471775,-0.0240378678,0.0638725,2.278885,0.07394161,-0.187901631,1.965448,0.052987434,-0.6806848,2.04021239,0.10259454,-0.792521656,1.98445964,-0.118331321,0.3804026,1.86136591,-0.4690096,0.116774648,1.38423228,-0.5223579,0.1539709,1.43057144,0.4967302,0.423229724,2.23484826,0.4211956,0.419991046,2.20433331,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.64995146,-0.08497652,0.121164024,2.301645,-0.09333042,0.305924356,2.05275083,-0.100741342,0.484194,1.79246259,-0.05418801,0.550056934,1.69455957,-0.207093313,0.443019241,1.858324,-0.467217058,0.434502244,1.74893367,-0.547214866,0.288150072,1.567558,-0.530389667,0.22435388,1.4617188,0.06603411,0.5069917,1.96187019,0.216229126,0.7094153,2.14092875,0.386722565,0.5891263,2.24748564,0.402066469,0.570266068,2.25027823,-0.1509741,0.105454847,2.251453,-0.247052386,-0.323415965,2.06401682,-0.3349231,-0.675267041,2.11760235,-0.351401567,-0.791056633,2.043367,-0.0164693017,0.133243516,2.28300333,0.0909512639,-0.114363715,1.94895566,0.0387321524,-0.553227842,2.04024482,0.06624568,-0.673155665,1.98022914,-0.09905958,0.4407944,1.85962522,-0.510441661,0.186357036,1.4276768,-0.5651657,0.202967823,1.45330763,0.427504659,0.5380703,2.26494932,0.370127976,0.5365715,2.24336839,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.68250847,-0.122904718,0.167427272,2.287248,-0.101808734,0.3473852,2.04731774,-0.08306298,0.5271121,1.79483008,-0.0285293534,0.5879951,1.69757617,-0.184502631,0.491338551,1.85906458,-0.422310323,0.4625777,1.78170717,-0.5614768,0.345866233,1.61662936,-0.579893,0.254704833,1.51634908,0.08354877,0.5637508,1.95660579,0.213864818,0.759829,2.15446734,0.354453623,0.646496832,2.30062628,0.3625255,0.6635163,2.29242849,-0.190464154,0.1643396,2.23780584,-0.22730431,-0.152657434,2.07130075,-0.328233033,-0.6430271,2.078731,-0.284089983,-0.7296436,1.99340415,-0.0505083762,0.16441299,2.26849222,0.113500483,-0.0179250762,1.90700817,-0.004338827,-0.47447145,2.02295566,0.00220680237,-0.5786133,1.95996094,-0.08845597,0.481947452,1.85993207,-0.5705586,0.212053835,1.47804666,-0.621317,0.238708213,1.518875,0.392718554,0.6122287,2.34203625,0.3387578,0.6206753,2.3033998,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.71658039,-0.166539982,0.293953359,2.311917,-0.118701518,0.435443968,2.054733,-0.07228663,0.5656075,1.78751206,-0.004577091,0.6068281,1.69370329,-0.169550434,0.515581965,1.85228944,-0.4504209,0.528390169,1.80993974,-0.5785403,0.3667989,1.67793655,-0.623742759,0.2803771,1.60173965,0.08458646,0.559233,1.95692921,0.217005581,0.7510277,2.1574254,0.370507181,0.6745004,2.36296868,0.3857469,0.6640143,2.377218,-0.233488,0.291324645,2.25417876,-0.231051937,-0.152564675,2.07079983,-0.3588677,-0.63494885,2.1005497,-0.322056621,-0.730493546,2.0280323,-0.09471713,0.287906229,2.30139852,0.0594667,0.08277096,1.91548693,-0.0192059875,-0.4003781,2.0056138,-0.00112247467,-0.5024414,1.94042969,-0.08286512,0.537878633,1.85566592,-0.6290803,0.215362653,1.5619843,-0.6679695,0.2559918,1.59782338,0.373464376,0.6373176,2.41671968,0.344400316,0.6471999,2.38233352,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.749636,-0.165563434,0.408519775,2.3188107,-0.105678312,0.490966946,2.05245185,-0.05757382,0.566865861,1.78063262,0.0224914122,0.6094101,1.68601108,-0.162764147,0.524757147,1.84834754,-0.431511879,0.4967049,1.81202888,-0.626105964,0.3768258,1.732905,-0.6747506,0.2989834,1.6840148,0.0920132,0.5568985,1.95720327,0.245800644,0.7148947,2.17091537,0.372262865,0.6859801,2.35845327,0.3996217,0.66879,2.3991394,-0.235228911,0.399949968,2.25667,-0.227381781,-0.0390351266,2.05659556,-0.357005745,-0.5583173,2.10236716,-0.3289101,-0.6618355,2.04505539,-0.09111353,0.4051512,2.31317782,0.0495510772,0.181466728,1.89911485,0.0111036319,-0.2982074,1.98440754,-0.0338134766,-0.403076172,1.93457031,-0.07168171,0.5439003,1.85105181,-0.695421,0.233991459,1.65033484,-0.7128695,0.29262194,1.68571424,0.4034263,0.636478662,2.48606157,0.3640474,0.6450204,2.40512514,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.782187,-0.182213,0.439749271,2.31629276,-0.1065209,0.4959575,2.050638,-0.0422991775,0.5635993,1.77267313,0.03934206,0.604879,1.68035793,-0.158710256,0.5286565,1.84588182,-0.396563828,0.5163182,1.85267818,-0.6168831,0.4296315,1.81635118,-0.6706244,0.395247519,1.79700327,0.11025136,0.552182138,1.96106458,0.273809671,0.703496,2.17264247,0.408511072,0.6689301,2.35379362,0.4330053,0.6406413,2.39659715,-0.2531887,0.4368118,2.25391173,-0.238956854,0.001580268,2.04388571,-0.3559373,-0.539334536,2.10606265,-0.389205575,-0.6395797,2.00426388,-0.106025308,0.430445045,2.311072,0.0447584838,0.191395849,1.90960968,-0.0298713557,-0.223709464,2.066614,-0.0370410644,-0.33684358,1.96665716,-0.06152642,0.546149,1.845273,-0.7562787,0.3246783,1.78730524,-0.691323042,0.410482526,1.80914283,0.455316216,0.6056622,2.444372,0.400856078,0.604838252,2.42250013,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.816267,-0.196501508,0.5061296,2.31051922,-0.1060388,0.517731249,2.04473948,-0.0255471617,0.553280652,1.76583135,0.0518159755,0.59808296,1.67459273,-0.153606713,0.528602362,1.84597814,-0.4277907,0.5377798,1.89389873,-0.65166086,0.438636869,1.87747443,-0.733281434,0.3710702,1.87625813,0.141346812,0.552925348,1.97500443,0.320481658,0.667667,2.196405,0.479079068,0.5542046,2.41583943,0.486546248,0.5549469,2.43899369,-0.268719554,0.494764119,2.24918079,-0.2446566,0.05366271,2.05306363,-0.346233755,-0.5309174,2.1072464,-0.3252973,-0.5552049,1.98229527,-0.118624114,0.5027838,2.30469227,0.0683219656,0.217021734,1.95368814,-0.0273481756,-0.2224424,2.07012081,0.00423804671,-0.327333182,1.96333671,-0.04979827,0.544923961,1.839556,-0.7670306,0.2999457,1.87782216,-0.765199542,0.332544953,1.90828574,0.4647266,0.5449408,2.46910453,0.451110274,0.543357134,2.43200016,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.84932947,-0.1339383,0.493741035,2.33061481,-0.07867119,0.5181147,2.0497725,-0.0142941,0.5454399,1.76376677,0.0595031679,0.589769363,1.67045128,-0.148877382,0.5274603,1.84727979,-0.434703529,0.5640399,1.91894627,-0.6577693,0.491846621,1.96047819,-0.715141058,0.449849963,1.97565424,0.152776644,0.5477762,1.977059,0.331292063,0.6515573,2.169268,0.4760201,0.5386025,2.33377981,0.4995857,0.515248239,2.36751819,-0.208557,0.481657773,2.27246881,-0.223370954,0.0497592762,2.054352,-0.3057865,-0.536676347,2.068337,-0.2760345,-0.522626162,1.93996525,-0.0554968379,0.491548121,2.321372,0.109655067,0.209097221,1.95668912,0.0260710176,-0.2918217,2.0606184,0.00107995607,-0.413536668,1.98805845,-0.03134062,0.5382243,1.83759046,-0.796554,0.4041478,2.03454041,-0.745463133,0.4741305,1.99757147,0.497429848,0.47374332,2.43112874,0.4615096,0.495844424,2.36333346,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.881887,-0.127049237,0.478608638,2.33519554,-0.07024241,0.51052475,2.05159473,-0.008656385,0.5400166,1.76142251,0.0646640062,0.582300365,1.66664052,-0.148441851,0.5300089,1.84986925,-0.427736461,0.619275033,1.96302247,-0.6347705,0.5412135,2.038737,-0.6783497,0.504398644,2.06297517,0.200291619,0.570224345,1.9891547,0.362929165,0.606162369,2.15204978,0.494496554,0.486610651,2.30010962,0.5095695,0.445045978,2.32839918,-0.200593829,0.465577573,2.28007531,-0.212514177,0.0440197028,2.04051065,-0.246760979,-0.6490967,1.97408783,-0.227842554,-0.7544001,1.933085,-0.0496503152,0.4774674,2.32323456,0.115576282,0.199938074,1.95476115,0.0204729922,-0.2694047,2.09866428,0.0256257448,-0.395719826,2.0331192,-0.02474523,0.532937348,1.83608842,-0.740777552,0.511653066,2.1209352,-0.698399663,0.5428157,2.087077,0.5238309,0.383594662,2.38466072,0.4770857,0.422939152,2.336815,-0.0131965391,0.9998875,0.00712427543,0.95190686
5.91696644,-0.149193868,0.388960838,2.329191,-0.0682871044,0.4622028,2.05366421,0.00124571309,0.533493161,1.76431108,0.06741378,0.57983315,1.667149,-0.145943716,0.537673056,1.8545239,-0.381866246,0.6667466,1.99180639,-0.5804929,0.61404115,2.09968519,-0.6127395,0.5649531,2.13877749,0.171230718,0.520200968,1.96164322,0.3644889,0.5787712,2.11302781,0.4927042,0.409395546,2.26165771,0.5102033,0.3657575,2.29073524,-0.225651756,0.394670755,2.27164435,-0.215390831,-0.020702593,2.021027,-0.209997,-0.5664458,1.95202887,-0.194421709,-0.618508935,1.84255207,-0.0684266537,0.371915668,2.31881118,0.04112504,-0.03094158,2.072587,0.06783552,-0.543676257,2.07350969,-0.00701306,-0.6436657,2.01095247,-0.0157467648,0.521091461,1.83875728,-0.686077,0.5264436,2.18460774,-0.59811157,0.6262383,2.14800024,0.5245772,0.3122206,2.32679081,0.469691753,0.345370948,2.30219078,-0.0131965391,0.9998875,0.00712427543,0.95190686
