Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
4.478288,-0.229123816,-0.048582375,2.2836504,-0.24108021,-0.4364582,1.99671745,-0.296040535,-0.782172,2.151002,-0.0466117859,-0.0143109784,2.311574,0.0006843972,-0.354494572,1.967084,0.05022397,-0.7372565,2.119624,-0.005080462,0.999938,0.009911442,0.940405965,0.9492436904170966
4.510832,-0.228856549,-0.0810319558,2.27736616,-0.2412627,-0.501185238,2.04960084,-0.313111037,-0.851585269,2.18595147,-0.0471910946,-0.04435902,2.30772877,0.0188348852,-0.4372155,2.036987,0.0549542457,-0.7915782,2.17856884,-0.005080462,0.999938,0.009911442,0.940405965,0.9191623439538001
4.543387,-0.226806521,-0.104174033,2.285322,-0.241033763,-0.5167705,2.04283786,-0.307354152,-0.8666976,2.18251,-0.04644563,-0.0618551038,2.31184459,0.0110244174,-0.386101,1.95351243,0.053334754,-0.7386009,2.117943,-0.005080462,0.999938,0.009911442,0.940405965,0.901704351768232
4.576965,-0.228232533,-0.19001393,2.2727704,-0.252607852,-0.5508626,2.0195353,-0.296667665,-0.899035633,2.170221,-0.0499332771,-0.160386443,2.30081487,0.0120132379,-0.4568621,1.93935335,0.05923332,-0.7761611,2.14100575,-0.005080462,0.999938,0.009911442,0.940405965,0.8030875224850997
4.61051369,-0.213277936,-0.284539968,2.23913741,-0.264186859,-0.6192022,2.00559568,-0.2982668,-0.929219961,2.220832,-0.047676,-0.2582169,2.266268,0.0413591675,-0.4924911,2.001814,0.06048972,-0.8386326,2.16242838,-0.005080462,0.999938,0.009911442,0.940405965,0.7049092561986301
4.64307642,-0.274784744,-0.06683099,2.30324531,-0.244429573,-0.427737474,1.98133969,-0.286918223,-0.7739577,2.13835335,-0.09937842,-0.0422098562,2.31949878,-0.000580265652,-0.252699733,1.88784981,0.03607086,-0.686268151,2.17064285,-0.005080462,0.999938,0.009911442,0.940405965,0.9216931679353538
4.67767429,-0.259466261,-0.06557524,2.30048823,-0.2412064,-0.4589771,2.02307487,-0.305199832,-0.789964437,2.2013042,-0.0757190362,-0.0402711146,2.32186627,0.00416429574,-0.399155259,2.006413,0.05060054,-0.7416349,2.170583,-0.005080462,0.999938,0.009911442,0.940405965,0.9235350539253163
4.71022844,-0.235471442,-0.09667918,2.29229116,-0.237945,-0.4327453,1.96947551,-0.284895629,-0.7838612,2.11498737,-0.0637611747,-0.0552058481,2.324447,-0.0007476661,-0.358882844,1.98768961,0.0556270741,-0.7495522,2.115843,-0.005080462,0.999938,0.009911442,0.940405965,0.9085660740599082
4.74378443,-0.251406,-0.07734964,2.29019523,-0.238143265,-0.4018403,1.974975,-0.282112837,-0.7718229,2.10996127,-0.0699718,-0.0474691875,2.32466865,-0.0007599684,-0.3571635,1.98650479,0.0557401069,-0.75008285,2.116307,-0.005080462,0.999938,0.009911442,0.940405965,0.9163360045033587
4.77786,-0.247555584,-0.0219243839,2.29398227,-0.245522782,-0.331574321,2.002128,-0.288456857,-0.7676086,2.112982,-0.07869619,-0.00925876,2.32123446,-0.00101843255,-0.353844762,1.98781943,0.0548096672,-0.7489862,2.116565,-0.005080462,0.999938,0.009911442,0.940405965,0.954554348127292
4.810402,-0.247393042,0.03202058,2.289282,-0.251216263,-0.314156651,2.01849341,-0.2960551,-0.7713186,2.11318231,-0.08525455,0.05073035,2.31504822,0.00148742774,-0.279206455,2.00653124,0.05345112,-0.7473271,2.11448956,-0.005080462,0.999938,0.009911442,0.940405965,1.0145117421947563
4.843952,-0.249767438,0.127294078,2.29388642,-0.257725179,-0.292204946,2.06379747,-0.339536,-0.795059562,2.09570551,-0.08955345,0.151512355,2.3195498,-0.00102615193,-0.22619991,2.02848244,0.03524165,-0.7178643,2.09087634,-0.005080462,0.999938,0.009911442,0.940405965,1.1153539536548462
4.87802649,-0.241066352,0.201759189,2.28279161,-0.2747357,-0.25098297,2.14064813,-0.375755727,-0.815274954,2.090194,-0.08469779,0.227787226,2.31371856,0.0143455584,-0.145977631,2.01961637,0.01799765,-0.6805933,2.04574847,-0.005080462,0.999938,0.009911442,0.940405965,1.1915416286532525
4.91157246,-0.257316738,0.305801779,2.29707313,-0.2856152,-0.155955017,2.19202137,-0.4017274,-0.8406926,2.06587553,-0.09356362,0.326348066,2.32675982,0.03371774,-0.003378179,1.98975134,-0.02458636,-0.520382047,2.08041859,-0.005080462,0.999938,0.009911442,0.940405965,1.2902706555374543
4.94311571,-0.218164846,0.372602522,2.30305624,-0.268947423,-0.08790184,2.197198,-0.4144055,-0.7876679,2.075993,-0.0530964322,0.365047246,2.322331,0.02839022,0.008168114,1.99968481,-0.01301331,-0.4360312,2.036963,-0.005080462,0.999938,0.009911442,0.940405965,1.328717947193534
4.978178,-0.255834222,0.473466128,2.319108,-0.2866574,0.011684523,2.20253348,-0.396510661,-0.364042222,2.1806643,-0.0841417,0.478168875,2.344328,0.06424129,0.182145327,1.983485,-0.0121859061,-0.332610846,2.03140831,-0.005080462,0.999938,0.009911442,0.940405965,1.4422083060163247
5.010724,-0.2359506,0.5633071,2.33092141,-0.275031537,0.101556867,2.21128225,-0.449028283,-0.24886778,2.218267,-0.0586148836,0.5719369,2.35074615,0.063045904,0.252057523,2.00015545,-0.00731962966,-0.2795346,2.020792,-0.005080462,0.999938,0.009911442,0.940405965,1.535904440081218
5.04327965,-0.233422875,0.565086365,2.330866,-0.275423229,0.107713968,2.19178247,-0.42347604,-0.254878759,2.16377282,-0.0559779666,0.5708686,2.34961653,0.0673230141,0.251705736,1.99886334,0.017393833,-0.258102745,2.028789,-0.005080462,0.999938,0.009911442,0.940405965,1.5348116134242964
5.07734728,-0.226630211,0.5627207,2.33256912,-0.254942,0.123966716,2.13078451,-0.335118055,-0.234828964,2.254041,-0.0476570055,0.5657552,2.348143,0.07439699,0.1848189,2.06944,-0.03752853,-0.161621273,2.20467925,-0.005080462,0.999938,0.009911442,0.940405965,1.5296416514547326
5.11089,-0.2185787,0.569735348,2.34146762,-0.239698276,0.142751187,2.11173725,-0.324464023,-0.5013316,2.0539465,-0.0447118022,0.567004144,2.35021067,0.06173103,0.1855985,2.06519341,0.0324016623,-0.325690955,2.11934781,-0.005080462,0.999938,0.009911442,0.940405965,1.5308960485856604
5.14344,-0.2086789,0.568065345,2.34901929,-0.231031433,0.149871081,2.102232,-0.2636452,-0.5563224,2.00692916,-0.03296703,0.560450554,2.35423279,0.0603411123,0.153862953,2.10427856,0.0487274341,-0.437431,2.14053535,-0.005080462,0.999938,0.009911442,0.940405965,1.5243230612181278
5.177509,-0.203270376,0.5405511,2.35339117,-0.224201769,0.130164444,2.092897,-0.2571542,-0.5645066,1.99732387,-0.0260715429,0.5200641,2.3578968,0.0682684,0.151873827,2.13670754,0.0621459149,-0.378575653,2.15399623,-0.005080462,0.999938,0.009911442,0.940405965,1.4839403955829849
5.21107149,-0.205589339,0.517735839,2.35254955,-0.215377584,0.100599661,2.10348964,-0.23280482,-0.6053405,2.01051164,-0.0293145534,0.5047817,2.35783315,0.06300747,0.150375888,2.11879015,0.08498213,-0.380578935,2.10975814,-0.005080462,0.999938,0.009911442,0.940405965,1.4686747886141225
5.243627,-0.2035407,0.4276684,2.33478332,-0.20633325,0.00447754329,2.09863925,-0.240140572,-0.7060331,1.994556,-0.0294267926,0.407682419,2.35390234,0.0214985739,-0.00290798862,2.10007358,0.0551602021,-0.5296238,2.13905,-0.005080462,0.999938,0.009911442,0.940405965,1.3715431405082068
5.27830172,-0.194277614,0.307052851,2.30004334,-0.202712789,-0.11112801,2.05630732,-0.249613225,-0.6387989,2.03690076,-0.0178024285,0.289577961,2.31914,0.0126942163,-0.09855952,2.08796477,0.0364670977,-0.6240073,2.13672328,-0.005080462,0.999938,0.009911442,0.940405965,1.253042405986367
5.31085968,-0.189160675,0.156725332,2.25635719,-0.203188092,-0.271590263,2.037446,-0.3274346,-0.783736348,2.05915785,-0.0118507175,0.14786756,2.26948738,0.03009962,-0.151529789,2.06797528,0.0427442864,-0.675474644,2.12789726,-0.005080462,0.999938,0.009911442,0.940405965,1.1108184281972275
5.34342146,-0.179435939,0.117288977,2.23785567,-0.191689521,-0.314856619,2.02881026,-0.2814056,-0.873225152,2.00975657,-0.00444179541,0.111202292,2.2573936,0.03142604,-0.292706639,2.062172,0.0274469033,-0.7960434,2.16856217,-0.005080462,0.999938,0.009911442,0.940405965,1.0739979268480226
5.37848949,-0.161166146,0.0110619375,2.136007,-0.176200822,-0.375878453,1.96106148,-0.260594875,-0.8132742,2.02822661,0.00592342345,0.008232207,2.15777278,0.0397050269,-0.323489666,2.038534,0.0270198155,-0.796901464,2.16795659,-0.005080462,0.999938,0.009911442,0.940405965,0.9699941825977009
5.41103554,-0.148645714,-0.028528301,2.168961,-0.1733191,-0.382415384,1.95224655,-0.261114657,-0.815236747,2.02639723,0.0132508753,-0.0305895023,2.18797374,0.0491975,-0.3435748,2.01658416,0.0270156935,-0.7969088,2.15912557,-0.005080462,0.999938,0.009911442,0.940405965,0.9314369894615548
5.443594,-0.1544919,-0.0378830545,2.17753959,-0.158493713,-0.348217,1.9328289,-0.263412118,-0.8148569,2.02857566,0.00768002961,-0.0384811573,2.20225835,0.06324427,-0.321174234,1.98127425,0.03716861,-0.825835943,2.11856818,-0.005080462,0.999938,0.009911442,0.940405965,0.9237157074967971
5.47818756,-0.127227232,-0.043322213,2.185603,-0.15703766,-0.3491911,1.93557036,-0.264338374,-0.816329241,2.02751446,0.0367575027,-0.04361084,2.20639753,0.0590782426,-0.325619251,1.97787642,0.0381012931,-0.830529034,2.11498046,-0.005080462,0.999938,0.009911442,0.940405965,0.9184796412176769
5.510733,-0.123930149,-0.044645343,2.185606,-0.15667887,-0.34873578,1.93669152,-0.265313357,-0.8188481,2.02697778,0.0367974378,-0.043560423,2.20644331,0.06153636,-0.32908836,1.98336852,0.0466083959,-0.8361845,2.11376333,-0.005080462,0.999938,0.009911442,0.940405965,0.918530305947572
5.54328442,-0.142204791,0.00553160254,2.22660375,-0.146987513,-0.27104646,1.97615159,-0.252603024,-0.7829387,2.0389626,0.0140718808,-0.00570745859,2.25180554,0.0644172654,-0.287335217,2.02738023,0.0466131568,-0.799257636,2.14113879,-0.005080462,0.999938,0.009911442,0.940405965,0.9569459839226604
5.57785749,-0.1349608,-0.00139353017,2.177789,-0.166589156,-0.359452933,1.96310449,-0.256152,-0.808431864,2.03671479,0.01915375,-0.0111624673,2.20204115,0.07253769,-0.318470329,2.02317023,0.0586383268,-0.831839,2.13052464,-0.005080462,0.999938,0.009911442,0.940405965,0.9509722584688742
5.61140347,-0.155947849,0.101026148,2.29916453,-0.160595417,-0.297282934,2.024356,-0.256033063,-0.81095314,2.03634286,0.00642294949,0.08920375,2.334544,0.0605893731,-0.3209837,2.08719659,0.0525139645,-0.8017714,2.15598083,-0.005080462,0.999938,0.009911442,0.940405965,1.052710223098342
5.642956,-0.130531609,0.0206954628,2.1732378,-0.167264223,-0.357971638,1.99098623,-0.252638221,-0.8114209,2.03704762,0.0114637008,0.0176395476,2.20775914,0.09130323,-0.290124029,2.041683,0.07721434,-0.810455263,2.1178925,-0.005080462,0.999938,0.009911442,0.940405965,0.9798682294271164
5.67753363,-0.145071343,0.136741862,2.30590868,-0.161271915,-0.2707587,2.04653144,-0.240211353,-0.80895865,2.0432837,0.0168477185,0.127638727,2.3366313,0.0683558956,-0.294193923,2.11121154,0.05699235,-0.7983619,2.18357134,-0.005080462,0.999938,0.009911442,0.940405965,1.091110541648716
5.711083,-0.119094007,0.0396213755,2.176623,-0.167417929,-0.357750565,2.00083542,-0.224553347,-0.799339056,2.05777216,0.0320333727,0.0440949351,2.20836186,0.07096002,-0.367445678,2.09512877,0.06268087,-0.8039281,2.186141,-0.005080462,0.999938,0.009911442,0.940405965,1.0062234464007362
5.74363327,-0.134275362,0.140715927,2.29559755,-0.154460728,-0.276077449,2.0533874,-0.2198092,-0.798238754,2.0586853,0.026908759,0.130181611,2.325897,0.07494308,-0.299684972,2.117512,0.0672697052,-0.8000887,2.19516921,-0.005080462,0.999938,0.009911442,0.940405965,1.093495760802543
5.778223,-0.113297932,0.0517509,2.16381979,-0.159479842,-0.357345551,2.01517129,-0.198822618,-0.784902036,2.07533979,0.0415281355,0.0500441678,2.197186,0.0966397747,-0.277708769,2.07172751,0.0883891,-0.796446,2.15858459,-0.005080462,0.999938,0.009911442,0.940405965,1.0120133034290764
5.81077576,-0.09921265,0.08101399,2.19566345,-0.144414067,-0.338931,2.02259946,-0.2002594,-0.792426169,2.072599,0.0504851639,0.06550323,2.21672654,0.087278,-0.355346143,2.118611,0.08403608,-0.803343,2.19660449,-0.005080462,0.999938,0.009911442,0.940405965,1.0276195758508566
5.843329,-0.105800219,0.05088483,2.15602612,-0.146186188,-0.3551118,2.0151546,-0.188204527,-0.789848566,2.07651138,0.05044521,0.0510622077,2.1976757,0.107326187,-0.2768961,2.07416248,0.10018941,-0.79452467,2.16648626,-0.005080462,0.999938,0.009911442,0.940405965,1.0129908309603712
5.87839651,-0.09673669,0.0609974,2.1717546,-0.137943923,-0.3504829,2.017224,-0.187237591,-0.800895,2.07361841,0.0542246439,0.05506673,2.200405,0.09594655,-0.344883919,2.11668444,0.09349292,-0.8001955,2.20477939,-0.005080462,0.999938,0.009911442,0.940405965,1.0170029549047745
5.910937,-0.09739591,0.0495126061,2.16241813,-0.135782823,-0.35645768,2.01458955,-0.190004721,-0.811549067,2.07115984,0.05769943,0.0467254333,2.18669581,0.121616431,-0.279882759,2.06300569,0.116760127,-0.7965885,2.15979528,-0.005080462,0.999938,0.009911442,0.940405965,1.0085086442241198
5.942485,-0.0853699148,0.0584010147,2.17305875,-0.128187761,-0.351108,2.01603913,-0.185147911,-0.807968855,2.070249,0.06554065,0.0520257428,2.19599056,0.106726669,-0.3608259,2.11857414,0.09910482,-0.8009287,2.20766926,-0.005080462,0.999938,0.009911442,0.940405965,1.0138609123220728
5.977548,-0.09009705,0.056954667,2.16035485,-0.108620837,-0.274723321,2.000621,-0.180267155,-0.7920144,2.069084,0.06569292,0.049548354,2.18694854,0.124149382,-0.279453158,2.0680232,0.113203838,-0.7932743,2.1767776,-0.005080462,0.999938,0.009911442,0.940405965,1.0112932841277082
