Time,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,FootRight_x,FootRight_y,FootRight_z,Floor_x,Floor_y,Floor_z,Floor_w,HipRight_floor_distance
4.593297,-0.15873313,-0.390532136,2.197388,-0.211611152,-0.439174443,1.87388265,-0.243132234,-0.8355875,1.98522174,0.00541163143,-0.33336395,2.2539072,0.05853752,-0.551548839,1.95287752,0.043762207,-0.868164063,1.99023438,-0.00502883643,0.9999435,0.009370919,0.9435023,0.6312511190410196
4.627851,-0.159617946,-0.256986946,2.26211023,-0.1801098,-0.4134693,1.857968,-0.238470882,-0.836342931,1.97795892,-0.0121684447,-0.216730461,2.285585,0.0615625568,-0.4845048,1.9589721,0.06499499,-0.841210246,2.01009536,-0.00502883643,0.9999435,0.009370919,0.9435023,0.7482632694425339
4.6624136,-0.159241378,-0.255693853,2.26189613,-0.1898385,-0.300231516,1.82941675,-0.238715321,-0.8352645,1.97804177,-0.0118230507,-0.222518653,2.27829218,0.0429039672,-0.322314471,1.85819674,0.0659017041,-0.852718353,1.99107981,-0.00502883643,0.9999435,0.009370919,0.9435023,0.742405327431918
4.69448,-0.137653068,-0.2677985,2.27706432,-0.181947529,-0.3477588,1.851476,-0.238184065,-0.836495161,1.97795939,0.00315561541,-0.2277845,2.28478646,0.06487605,-0.383082271,1.88433635,0.06581033,-0.8534398,1.99280655,-0.00502883643,0.9999435,0.009370919,0.9435023,0.7371253103434999
4.72803545,-0.16710265,-0.229762211,2.253108,-0.177050248,-0.36444515,1.84001219,-0.236446589,-0.8369693,1.97709453,-0.0144736962,-0.210644275,2.28271174,0.0275563654,-0.348011822,1.90489638,0.06886518,-0.8507093,1.99649155,-0.00502883643,0.9999435,0.009370919,0.9435023,0.7543337788957345
4.76057863,-0.167734876,-0.222645551,2.25341368,-0.18664521,-0.3765974,1.88499141,-0.236171633,-0.8370462,1.97729468,-0.01908724,-0.201957211,2.27826023,0.0277410876,-0.347350448,1.902885,0.07021893,-0.845397,1.99907279,-0.00502883643,0.9999435,0.009370919,0.9435023,0.7630018376324919
4.79313374,-0.157668665,-0.164080322,2.24710464,-0.187353909,-0.343896627,1.89724612,-0.234498173,-0.8401781,1.97815275,-0.0193342529,-0.157568887,2.25558376,0.02746197,-0.34567374,1.90326357,0.06895232,-0.843627155,1.99906254,-0.00502883643,0.9999435,0.009370919,0.9435023,0.8071763941635423
4.82770538,-0.151140273,-0.10543859,2.24718332,-0.190053478,-0.3434787,1.90247273,-0.305477828,-0.8045113,1.99324322,-0.009112896,-0.092231676,2.253087,0.0287576783,-0.3382522,1.90468693,0.093438454,-0.8365011,1.9882009,-0.00502883643,0.9999435,0.009370919,0.9435023,0.8724351116680702
4.86126471,-0.142482221,-0.0408335365,2.25182438,-0.197190225,-0.326051325,1.935639,-0.287373453,-0.8343631,1.97066784,-0.005130823,-0.0245971847,2.25626373,0.0490078144,-0.2560807,1.91697264,0.07791492,-0.839378,1.98607552,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9400755217028337
4.89432669,-0.132855013,0.0210129451,2.25319672,-0.1974485,-0.288251847,1.96458,-0.329583019,-0.820697069,1.97180855,-5.49482065e-05,0.0502418429,2.2707994,0.0534714162,-0.22162728,1.94037247,0.07806943,-0.804415345,1.958859,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0150210037486205
4.92739773,-0.142039761,0.05572259,2.24505639,-0.208361089,-0.295637757,2.01795268,-0.290963769,-0.740103841,1.9628557,-0.007436309,0.07910536,2.26413584,0.09633707,-0.14579466,1.90914822,-0.01033783,-0.748535156,1.91210938,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0438575644992487
4.960957,-0.240723014,0.181216314,2.22293639,-0.254163951,-0.207932353,2.066446,-0.329224318,-0.6611505,1.99898028,-0.102952361,0.210095808,2.27650023,0.0868495554,0.00226677931,1.948403,-0.0445615537,-0.562433,1.9292829,-0.00502883643,0.9999435,0.009370919,0.9435023,1.1754368048307409
4.99351263,-0.245747492,0.270748049,2.22278643,-0.195860744,-0.0853607655,2.04215479,-0.400395751,-0.6557667,2.00707841,-0.119175829,0.27715826,2.259958,0.08426075,0.067937,1.94117916,0.0291679576,-0.4765656,1.87931633,-0.00502883643,0.9999435,0.009370919,0.9435023,1.2424220335043614
5.02909851,-0.235145673,0.412149817,2.27508974,-0.239883766,0.03163678,2.085755,-0.369609654,-0.573114157,2.022463,-0.07085074,0.4352497,2.30867457,0.125729069,0.2621118,1.9632479,-0.0822397843,-0.3070603,1.95528066,-0.00502883643,0.9999435,0.009370919,0.9435023,1.4007180329712512
5.061648,-0.221349478,0.430089682,2.27726269,-0.242312148,0.0574011132,2.07143,-0.3004073,-0.563053966,1.94852471,-0.04410158,0.475000858,2.31050515,0.1646463,0.30075568,1.97348928,-0.08598174,-0.252648532,1.97057152,-0.00502883643,0.9999435,0.009370919,0.9435023,1.4403495799868495
5.094707,-0.221605659,0.516338766,2.2711072,-0.241798267,0.135458812,2.081145,-0.4032257,-0.6392395,1.93228757,-0.04715945,0.541104853,2.300746,0.154676914,0.327178627,1.98352,-0.0894442052,-0.225995079,1.98257637,-0.00502883643,0.9999435,0.009370919,0.9435023,1.5063737619188766
5.128816,-0.219048887,0.5234894,2.2789855,-0.24106355,0.143506825,2.08710814,-0.3463912,-0.329207271,2.0743928,-0.04650701,0.5409166,2.30112052,0.155120447,0.3260515,1.98442864,0.04745858,-0.254761577,1.97071493,-0.00502883643,0.9999435,0.009370919,0.9435023,1.5061857481477274
5.16037846,-0.202481478,0.5074422,2.29474926,-0.2362538,0.154499531,2.05303025,-0.337662578,-0.451388,2.005838,-0.0333258435,0.510919452,2.31680751,0.154722467,0.2736074,2.00846052,0.07823618,-0.274470538,1.92510855,-0.00502883643,0.9999435,0.009370919,0.9435023,1.4762710121620723
5.19445133,-0.192008391,0.512071133,2.304454,-0.229131,0.162059784,2.05858421,-0.289638579,-0.5839916,1.9517591,-0.0171226133,0.509237,2.317174,0.0427066,0.165677488,2.06582546,-0.0348997,-0.5874734,1.94820583,-0.00502883643,0.9999435,0.009370919,0.9435023,1.4745106062681526
5.228996,-0.159617677,0.5110298,2.31012869,-0.206594333,0.15505974,2.07606673,-0.3672037,-0.62318337,1.89891863,0.02481793,0.494478077,2.31973219,0.0457558073,0.122396909,2.11101723,0.04974727,-0.7628431,1.97789526,-0.00502883643,0.9999435,0.009370919,0.9435023,1.4595655784024426
5.26054144,-0.1536456,0.357711732,2.29418778,-0.219272718,0.046673052,2.00362039,-0.302157938,-0.574857056,1.967842,0.0162964761,0.317219049,2.300005,0.03523914,-0.06752077,2.12565064,0.0456866361,-0.9020282,1.94885886,-0.00502883643,0.9999435,0.009370919,0.9435023,1.282174566082792
5.29361248,-0.157544255,0.226170987,2.256495,-0.21767731,-0.107914068,1.99597049,-0.219079778,-0.726452231,1.9546659,0.00245385128,0.187254876,2.26526237,0.0143593056,-0.185019791,2.0636158,0.031247681,-0.7956098,1.972471,-0.00502883643,0.9999435,0.009370919,0.9435023,1.1519617849175174
5.32717848,-0.162602663,0.11901816,2.24259019,-0.220675,-0.155724928,1.92671072,-0.273098558,-0.7557206,1.880949,0.004488416,0.09191897,2.25317621,0.0134919481,-0.210039526,1.99527526,0.020330647,-0.836401939,1.97706974,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0565077805600924
5.360725,-0.158589944,0.124018006,2.25223041,-0.206782833,-0.223127246,2.01084352,-0.242553711,-0.860839844,1.93457031,0.00603890838,0.096156694,2.26503086,0.0139803244,-0.258585542,2.03120041,-0.009348733,-0.8713076,1.970113,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0608485566898747
5.39328241,-0.164112031,0.0523931,2.24767947,-0.214982972,-0.23594287,1.939229,-0.326171875,-0.8208008,1.93652344,0.005284981,0.0168768559,2.25836015,0.0137580168,-0.24096407,1.94634449,0.0155436611,-0.8639056,1.98951459,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9815144828200945
5.428356,-0.159335375,0.04410145,2.25274587,-0.217905179,-0.286129445,1.98970568,-0.3010254,-0.865722656,1.9375,0.005337514,0.00224497635,2.26197863,-0.00653532753,-0.332996458,1.99923527,0.0207048189,-0.8854914,1.97298229,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9669170750518001
5.460905,-0.165698767,0.0291142054,2.25348473,-0.2401334,-0.2515639,1.93660355,-0.311413765,-0.837579,1.91811442,-0.006081883,-0.0295772161,2.25660086,-0.008437993,-0.271568716,1.92768216,0.02294199,-0.862354755,1.99302816,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9351037138824815
5.49346542,-0.141712278,0.03807702,2.283149,-0.232548669,-0.2776181,2.01092768,-0.2948302,-0.745781541,1.99247444,0.0199702382,0.00296432665,2.2954185,0.006570693,-0.285599083,1.97685838,0.0235116947,-0.8784094,1.9819442,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9678761613940451
5.52753,-0.13771531,0.058428172,2.30543184,-0.229597,-0.218278468,1.98960221,-0.322214365,-0.8457206,1.91406345,0.0247381851,0.0188348331,2.31126642,0.00694868248,-0.242076755,1.9677614,0.019892158,-0.8632532,1.99165988,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9838703026582261
5.561075,-0.129359826,0.0615647547,2.30698466,-0.222116515,-0.250787079,2.03082252,-0.3425293,-0.850585938,1.92871094,0.0282822214,0.0192886032,2.3102,0.002936797,-0.27085945,1.9938699,-0.0137950461,-0.8758174,1.98502946,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9842962313832379
5.593133,-0.129664913,0.06737422,2.31146479,-0.2148415,-0.205892608,1.99017489,-0.3281098,-0.81761086,1.94941664,0.0281315316,0.0208915155,2.31075454,7.187109e-06,-0.246907547,1.97378266,0.04590062,-0.864461541,1.98076618,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9859050073767948
5.628203,-0.127979,0.106203735,2.32346964,-0.209854066,-0.1882098,2.021949,-0.314544469,-0.7971116,1.969201,0.0303942785,0.07032452,2.325606,-0.00243467721,-0.243179053,2.03514,0.0462320037,-0.8733505,1.983639,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0354630091174537
5.661766,-0.127992511,0.106579,2.321289,-0.216906011,-0.216911167,2.057749,-0.248657227,-0.855957031,1.97558594,0.0300887879,0.06963386,2.32401276,0.009311704,-0.271078676,2.06905413,0.0124838185,-0.869444966,1.98993337,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0347589943165072
5.693327,-0.1285631,0.106902584,2.31977177,-0.222776741,-0.1883612,2.02326751,-0.297622472,-0.806361556,1.96315408,0.0295230523,0.06971297,2.3226316,0.000710666354,-0.221473426,2.007107,0.0694495961,-0.8423486,1.99353039,-0.00502883643,0.9999435,0.009370919,0.9435023,1.034828002096426
5.72842169,-0.127350539,0.111992978,2.31885147,-0.220520571,-0.185448334,2.02431178,-0.270767182,-0.8120249,1.9813112,0.0303847436,0.0748169348,2.32118368,0.002566521,-0.223925561,2.013348,0.0486884341,-0.851322949,2.00068378,-0.00502883643,0.9999435,0.009370919,0.9435023,1.03991377660593
5.76166868,-0.124758542,0.108307883,2.31427431,-0.21214807,-0.178134963,2.018787,-0.2811055,-0.7795553,1.95969427,0.0314208865,0.07072415,2.31404448,0.00530374469,-0.264803231,2.05180144,0.0523314774,-0.874280035,1.99237239,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0357491118119755
5.79473972,-0.119635686,0.07792328,2.27704239,-0.210294649,-0.176890641,2.018944,-0.281070054,-0.770895243,1.95130384,0.0359821022,0.0376646556,2.266105,0.008264924,-0.221991017,2.01673532,0.0123193637,-0.8153599,1.96724856,-0.00502883643,0.9999435,0.009370919,0.9435023,1.002219312467396
5.82929,-0.123705342,0.08868094,2.2749598,-0.196830168,-0.264130741,2.05232787,-0.2554096,-0.854541361,1.977745,0.03305575,0.0527474843,2.26969767,0.0212745871,-0.322493523,2.07971072,0.0514201149,-0.87758404,1.99406731,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0173496709479137
5.86186552,-0.124305874,0.09247163,2.27327538,-0.196464539,-0.2618183,2.05293059,-0.2699234,-0.855836034,1.9792192,0.03318664,0.0586705767,2.2697196,0.0206325371,-0.310029984,2.06451249,0.0436181165,-0.879858136,1.992355,-0.00502883643,0.9999435,0.009370919,0.9435023,1.0232719756576512
5.89394665,-0.144572854,0.04007054,2.156454,-0.211224467,-0.332131267,2.01674032,-0.269531548,-0.855713546,1.97915518,0.00819314,0.007043175,2.15343666,0.02050704,-0.3569507,2.043106,0.0476495922,-0.8789174,1.99389338,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9706835039179638
5.92950535,-0.144643635,0.0401121676,2.1562624,-0.209794909,-0.332341224,2.01548076,-0.266075552,-0.8567102,1.98004436,0.008008268,0.007054131,2.15272737,0.02354049,-0.357660085,2.0450902,0.0473617055,-0.8786008,1.9967165,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9706887422905817
5.96105957,-0.1446922,0.0402904376,2.15540719,-0.207431152,-0.332753837,2.01476073,-0.256201,-0.8568131,1.97619307,0.00788468,0.008113789,2.151238,0.0259287059,-0.357422352,2.043856,0.047508385,-0.880650938,1.99615788,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9717350051023912
5.995132,-0.1446443,0.0397916622,2.15418625,-0.20344305,-0.334287673,2.012471,-0.255784541,-0.8567748,1.97653615,0.008085503,0.008953162,2.14904118,0.0281545836,-0.3553321,2.04380965,0.0497984141,-0.880685449,1.997724,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9725527345059721
6.02819824,-0.1433146,0.0442657061,2.16936636,-0.20023711,-0.334544629,2.01055169,-0.254560828,-0.8564719,1.9772,0.007240594,0.02021717,2.16769671,0.0322017446,-0.3484004,2.044545,0.056810692,-0.878932655,1.99423814,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9839951738498386
6.06075335,-0.144318312,0.04303721,2.16551685,-0.184873849,-0.227044433,2.00423765,-0.2727256,-0.8454162,1.9847163,0.00602733251,0.0209044851,2.15705514,0.03395879,-0.255097926,2.0055387,0.122680664,-0.860839844,2.00976563,-0.00502883643,0.9999435,0.009370919,0.9435023,0.9845888300879972
