Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0125199,0.418073654,0.0040347483,2.19853926,0.598957837,0.192421943,2.05993247,0.7707105,0.374361277,1.910717,0.9091022,0.449968159,1.88427246,0.5725056,0.374789476,1.88472748,0.319220781,0.326359242,1.94045293,0.093323186,0.177531689,1.93979073,0.0175185986,0.129287243,1.94169712,0.8430472,0.1849734,2.001811,0.9591436,-0.009034249,2.01793218,0.9247473,0.110391341,1.81545675,0.9395971,0.101327859,1.80903721,0.352659076,0.0510072149,2.148658,0.2291521,-0.270257264,2.14514637,0.0640745,-0.7544219,2.26950765,0.03182183,-0.8550803,2.21233535,0.470560342,-0.04325807,2.18020248,0.486871272,-0.383985,2.125172,0.492227942,-0.856251,2.13248634,0.470013261,-0.9082863,2.023773,0.729171336,0.3298765,1.94987142,-0.0472998731,0.0845516846,1.96166325,0.022355644,0.0773116052,1.94168091,0.9097913,0.09902179,1.73221,0.9544012,0.102456331,1.77799988,-0.005080462,0.999938,0.009911442,0.940405965
0.0435774,0.4183354,0.00395366037,2.19868946,0.5993203,0.19240354,2.05995321,0.771311641,0.374436677,1.91059554,0.9091424,0.4500946,1.884397,0.574839652,0.374832064,1.88332069,0.3191823,0.326277822,1.94039214,0.09334894,0.177404627,1.93970728,0.01757471,0.129395038,1.94145679,0.8430594,0.1849711,2.00180626,0.958929658,-0.009151043,2.018101,0.927840948,0.110727996,1.81540215,0.9264745,0.101596229,1.79499328,0.353234947,0.0507769734,2.148961,0.228900239,-0.2701747,2.14551044,0.06385322,-0.7549146,2.26792264,0.0260888338,-0.856792331,2.20710635,0.470625639,-0.0432505533,2.1802578,0.487116069,-0.384039253,2.126943,0.492093921,-0.8562361,2.13211751,0.470426351,-0.90839,2.023401,0.7297063,0.3299208,1.949793,-0.0482733771,0.08581133,1.96209955,0.02291001,0.07710088,1.94169712,0.9643484,0.112924695,1.72604978,0.9581749,0.11220178,1.715,-0.005080462,0.999938,0.009911442,0.940405965
0.0777,0.4182177,0.003928501,2.19871354,0.5990304,0.192297444,2.06008387,0.7707753,0.3742038,1.91094482,0.9091144,0.450119227,1.88442481,0.572491,0.374962568,1.88496232,0.318856031,0.326076537,1.94018722,0.09357883,0.177465782,1.93952131,0.01790877,0.12957485,1.94012713,0.843031466,0.184963375,2.00196075,0.958947062,-0.009155893,2.01810718,0.9018145,0.131680429,1.83584547,0.918765,0.09673397,1.87894952,0.352932155,0.0508570932,2.14898968,0.221296251,-0.266704947,2.15044928,0.0621576235,-0.7546402,2.26839972,0.0247242413,-0.8583339,2.20579529,0.4705785,-0.04332507,2.180287,0.487109,-0.38411966,2.12722921,0.491987228,-0.855995,2.13197637,0.4703046,-0.908323,2.023405,0.7292413,0.329721838,1.950078,-0.04674761,0.08823634,1.96182787,0.02450939,0.077645205,1.93944967,0.9115605,0.09790468,1.76344812,0.9013413,0.06817681,1.89712512,-0.005080462,0.999938,0.009911442,0.940405965
0.1102473,0.418163,0.003904626,2.19872165,0.598824859,0.192214116,2.06014419,0.770353436,0.374043345,1.911109,0.909111142,0.450116456,1.88444066,0.5708483,0.374971747,1.88588369,0.318718344,0.3258665,1.93981087,0.092661,0.176611438,1.93916762,0.01816738,0.12977384,1.9392029,0.843046,0.184953183,2.002097,0.9583788,-0.00940888748,2.0189724,0.900097668,0.131981239,1.83751428,0.914587557,0.0958530456,1.87913823,0.3525952,0.0507513061,2.148883,0.218985409,-0.2658385,2.1516943,0.06059217,-0.754613757,2.26744652,-0.007485047,-0.8546554,2.18682551,0.47061044,-0.04332015,2.180369,0.4870216,-0.384117782,2.12718415,0.49200353,-0.8560155,2.13191247,0.469230473,-0.9072629,2.022712,0.728880942,0.329580247,1.95021307,-0.04789902,0.0854124352,1.96078587,0.0238292832,0.07714681,1.94026423,0.9318904,0.100131527,1.75117671,0.9205177,0.0710221,1.88542891,-0.005080462,0.999938,0.009911442,0.940405965
0.1432896,0.417705864,0.00428704824,2.19905,0.5984412,0.192292631,2.06041884,0.7699917,0.373896241,1.91140163,0.9091188,0.450038821,1.88457322,0.569794,0.374976724,1.88675916,0.318470657,0.325734437,1.9397614,0.0917148739,0.175809011,1.93871033,0.0180358328,0.128773823,1.93963039,0.84299314,0.184908867,2.00234246,0.9593895,-0.008877053,2.01862574,0.8694993,0.0152199427,1.79886389,0.9264813,0.08691167,1.87588394,0.352214426,0.05109072,2.14899278,0.216301024,-0.2647469,2.15045381,0.05985332,-0.753667831,2.26794219,0.0251920242,-0.856962562,2.20154285,0.4700622,-0.0428343825,2.18101764,0.486935347,-0.383604169,2.12779,0.491659284,-0.851014137,2.13396144,0.469889224,-0.9044471,2.026294,0.72852,0.329488367,1.95049751,-0.04622074,0.08557277,1.956543,0.0231276564,0.07694002,1.93749022,0.9468531,0.106939875,1.80002141,0.9868712,0.09263601,1.86425006,-0.005080462,0.999938,0.009911442,0.940405965
0.1783565,0.416841716,0.00423355261,2.19950318,0.597821057,0.192149043,2.060708,0.769605339,0.373708844,1.91156542,0.909059763,0.449926,1.88475788,0.5688175,0.37486583,1.88744414,0.318363,0.325601429,1.93947113,0.09064314,0.174781024,1.93829691,0.0169033445,0.128319949,1.93967152,0.8429104,0.18481794,2.002306,0.9589705,-0.009424303,2.01719737,0.903413057,0.131454811,1.83449423,0.913789332,0.0958571061,1.8764534,0.351167023,0.0509576164,2.14942622,0.21125412,-0.26307705,2.15176177,0.05822386,-0.752919853,2.269756,0.0578231066,-0.827433646,2.15273285,0.469410032,-0.0427902825,2.181468,0.48692292,-0.383494228,2.127795,0.4925415,-0.853334963,2.13400388,0.470309734,-0.905041456,2.02501917,0.7280802,0.3293061,1.95069158,-0.0485658124,0.08528646,1.96365976,0.0205243155,0.07408648,1.938302,0.923340559,0.10208568,1.74418783,0.9437577,0.101707891,1.77799988,-0.005080462,0.999938,0.009911442,0.940405965
0.2109086,0.416209638,0.00437714439,2.20000553,0.5973005,0.192143753,2.06103635,0.7692102,0.373599023,1.911759,0.908916354,0.449791342,1.88490438,0.5682208,0.374806225,1.887904,0.3181983,0.325555563,1.93939149,0.09086072,0.174888983,1.938149,0.01718865,0.1288387,1.93907964,0.842793345,0.184764236,2.00254273,0.959057,-0.009394974,2.01715136,0.9031514,0.1558287,1.85723221,0.926335931,0.0886929,1.8642211,0.350332022,0.0511608236,2.149946,0.20782201,-0.2614176,2.15464282,0.05543729,-0.7522031,2.26990414,-0.006757807,-0.853056431,2.18370342,0.468986273,-0.04267688,2.18194246,0.4867629,-0.3833509,2.12800813,0.4910308,-0.849097133,2.1381886,0.4713389,-0.901520252,2.0292697,0.727655351,0.329216957,1.9509176,-0.04704497,0.08245767,1.95723188,0.0206380747,0.07489456,1.93964481,0.940831959,0.104565084,1.74514151,0.9709446,0.09226009,1.82179987,-0.005080462,0.999938,0.009911442,0.940405965
0.2424695,0.415322661,0.00440554041,2.200496,0.596636057,0.192062229,2.06132841,0.768766165,0.373447239,1.911894,0.908904135,0.449521035,1.88505709,0.567689836,0.374703616,1.88821721,0.31776756,0.325441182,1.9392761,0.09018293,0.174363777,1.93776917,0.0160274245,0.128056467,1.93791568,0.8427129,0.184736162,2.00273752,0.9583509,-0.009441267,2.01955581,0.8969793,0.149205983,1.8547225,0.905280948,0.1261902,1.92351294,0.3489036,0.0510145575,2.15069222,0.192407057,-0.254056364,2.16173482,0.0509880781,-0.749367356,2.27206373,0.0313415527,-0.855957031,2.20898438,0.4685425,-0.0425320119,2.18222737,0.486675918,-0.3831698,2.128035,0.493430346,-0.783246338,2.15801454,0.473987639,-0.882664263,2.04485035,0.7271601,0.329077542,1.95108962,-0.0493854843,0.08695484,1.96004713,0.0213217363,0.074559,1.93668711,0.911156833,0.100425236,1.75703716,0.9474662,0.08014834,1.87436366,-0.005080462,0.999938,0.009911442,0.940405965
0.2785582,0.413558036,0.004408066,2.20099044,0.595684946,0.191912547,2.06167531,0.768392563,0.3732384,1.91210973,0.908189,0.449281365,1.88536,0.5666905,0.373716861,1.88912129,0.31700474,0.325242668,1.9391396,0.08929254,0.173567325,1.93739069,0.0155586367,0.12644954,1.93822563,0.8423569,0.184630916,2.00295234,0.958182335,-0.009803656,2.01759934,0.9136171,0.131896734,1.83264339,0.9380291,0.1011617,1.78207457,0.347568,0.0508823432,2.15090775,0.163516641,-0.244527176,2.17158079,0.05682294,-0.7495652,2.2769115,0.0303207655,-0.85602814,2.209269,0.466431022,-0.04230586,2.18303084,0.4866291,-0.382730752,2.12768817,0.489703834,-0.832769,2.14409542,0.4720681,-0.898761034,2.030257,0.7266689,0.328874528,1.95133686,-0.0486687869,0.08593336,1.95718443,0.0213298462,0.0743980855,1.9379375,0.913012564,0.102770604,1.71567285,0.936999,0.0982447639,1.77124989,-0.005080462,0.999938,0.009911442,0.940405965
0.3111061,0.412527472,0.00435232,2.201611,0.5947904,0.191828758,2.06214356,0.7677369,0.373125345,1.91241074,0.907533765,0.4487439,1.885641,0.5657135,0.3734597,1.88966119,0.3163172,0.3251079,1.93925834,0.08928785,0.1735539,1.93736482,0.0153380847,0.12506412,1.93668342,0.841967344,0.184523985,2.00320578,0.9578897,-0.00990986452,2.01749086,0.910434663,0.13569735,1.836421,0.925023854,0.09451626,1.823634,0.346654415,0.0507778376,2.15133047,0.175700918,-0.246093735,2.16573,0.0369542874,-0.742457449,2.27492476,-0.0144277476,-0.8497711,2.19124579,0.465377331,-0.0422782078,2.1838336,0.486807674,-0.3825621,2.127743,0.492070675,-0.84321624,2.137164,0.471958965,-0.8988054,2.03005958,0.725947,0.328766167,1.95168209,-0.0487750433,0.08808123,1.949657,0.0200413186,0.0706433952,1.93612337,0.920928061,0.104367629,1.66507375,0.94829917,0.0857941061,1.82725,-0.005080462,0.999938,0.009911442,0.940405965
0.3426598,0.410937667,0.00431968365,2.20245385,0.593479037,0.191774413,2.06280375,0.7667898,0.373041332,1.91287267,0.906392,0.448520362,1.88625538,0.5647565,0.3734834,1.89018,0.314638823,0.3246345,1.93979967,0.08800381,0.172623858,1.93718374,0.0146180894,0.12348713,1.93786585,0.841188431,0.184389338,2.003448,0.9579142,-0.009448878,2.01822472,0.9135698,0.13022013,1.83162308,0.9278349,0.09595636,1.8119067,0.345081985,0.05072271,2.15227127,0.174970135,-0.246591792,2.166675,0.0368091352,-0.743241847,2.2753458,-0.016026143,-0.8497853,2.19139171,0.463891655,-0.0422676727,2.1845367,0.4867161,-0.3823953,2.12778568,0.492047071,-0.8430281,2.13710427,0.397705078,-0.892089844,2.02539063,0.7249036,0.328687638,1.95219707,-0.0473648,0.08436966,1.94703257,0.0177467968,0.06648569,1.9365716,0.9182749,0.100792162,1.74640274,0.9407567,0.09724607,1.776125,-0.005080462,0.999938,0.009911442,0.940405965
0.3777255,0.410315573,0.00398490252,2.20290613,0.592617452,0.191636667,2.06328154,0.765690744,0.373118252,1.91337264,0.9042387,0.449030876,1.8870616,0.563396633,0.373593748,1.89087737,0.3138849,0.3240576,1.9413532,0.08773592,0.172278032,1.93710446,0.0143064046,0.120865971,1.937073,0.84019953,0.184282839,2.00383139,0.955943763,-0.009699489,2.02139854,0.933896363,0.1069438,1.81569111,0.932749748,0.0973710343,1.80318141,0.34400633,0.0502852723,2.152931,0.174361572,-0.247429281,2.16643286,0.0295278989,-0.7429225,2.27220178,0.02154541,-0.855957031,2.21875,0.463631064,-0.04248715,2.18480563,0.4865473,-0.382591218,2.12784362,0.49387005,-0.847099066,2.134965,0.490855664,-0.9183376,2.04534912,0.7238605,0.3287075,1.95269585,-0.0471281372,0.08370121,1.94936717,0.0215494111,0.06713674,1.93813324,0.945801854,0.105116218,1.67602038,0.9574808,0.090874,1.804,-0.005080462,0.999938,0.009911442,0.940405965
0.4112806,0.4074632,0.003587192,2.20376062,0.590481043,0.191764072,2.064112,0.7641947,0.373614132,1.91415787,0.899815,0.450414777,1.88725281,0.562043369,0.3731693,1.89174688,0.3125132,0.323841423,1.94218838,0.08746,0.171943381,1.93703341,0.0134166451,0.119995467,1.93596935,0.8389934,0.184341267,2.00427151,0.9544277,-0.009650268,2.02288938,0.939741552,0.09614948,1.75912261,0.9284423,0.09379782,1.810707,0.341501653,0.0497052558,2.15366054,0.141453862,-0.225500613,2.183093,0.0311489832,-0.732619345,2.27646947,-0.0216954425,-0.8411989,2.19721055,0.460607678,-0.0426434241,2.185737,0.486730248,-0.3823521,2.127151,0.493463129,-0.8477426,2.13461566,0.478645146,-0.9109795,2.03542686,0.722213447,0.329122126,1.953495,-0.0483997464,0.08156676,1.94631171,0.0182828121,0.06308474,1.93667769,0.8959013,0.097600624,1.6280874,0.931818962,0.0878610462,1.79325008,-0.005080462,0.999938,0.009911442,0.940405965
0.4438455,0.405832946,0.00293545634,2.20459223,0.5884483,0.191473022,2.06503654,0.7618227,0.3737385,1.91516125,0.894115269,0.452239633,1.8866,0.558633447,0.374032438,1.89294958,0.3079091,0.32399565,1.94400251,0.0871639252,0.17184867,1.93689632,0.0117197437,0.119744919,1.93582344,0.8377078,0.184534237,2.00465322,0.9544112,-0.008741473,2.02278161,0.9241611,0.09358445,1.8102771,0.932456136,0.09578729,1.82751036,0.338391066,0.0489440374,2.154892,0.213328838,-0.270737052,2.15810919,0.03814048,-0.752546251,2.27821136,-0.02658724,-0.8526367,2.19386053,0.4600181,-0.0431312472,2.186233,0.487049967,-0.382676661,2.12659717,0.49355343,-0.8496943,2.13413715,0.482209533,-0.9124066,2.03413177,0.7199164,0.329137117,1.95448422,-0.0483893454,0.0824733153,1.94465744,0.0149171818,0.0612258054,1.93266666,0.9082701,0.102274977,1.74772966,0.9566173,0.0946356654,1.8013,-0.005080462,0.999938,0.009911442,0.940405965
0.4779082,0.4037625,0.00259337435,2.20516753,0.586044967,0.191469774,2.06596732,0.759178042,0.374112725,1.91647458,0.88725996,0.453773618,1.88507247,0.555500269,0.375107437,1.89476967,0.301199764,0.324455529,1.95086324,0.08669423,0.172187075,1.93716252,0.00707730232,0.120377675,1.93672454,0.8359851,0.1849348,2.005121,0.9546332,-0.007204232,2.02258348,0.924160361,0.0937279761,1.80942559,0.9240667,0.08915265,1.8610456,0.3362194,0.0487042628,2.155186,0.158776119,-0.24377583,2.17226553,0.028631635,-0.741804361,2.2837863,-0.0361810923,-0.8423077,2.200314,0.458308131,-0.04354321,2.18700886,0.486463428,-0.382909954,2.126474,0.492749125,-0.854111254,2.13232613,0.4793848,-0.912742436,2.028431,0.7173209,0.329413682,1.95570254,-0.0515697,0.08300371,1.94225633,0.0104707843,0.06223464,1.93527818,0.9037192,0.100788385,1.73589194,0.9812999,0.09196655,1.825,-0.005080462,0.999938,0.009911442,0.940405965
0.5104732,0.401038229,0.00256963633,2.206566,0.5800254,0.193151608,2.06850171,0.7486934,0.3785727,1.92042089,0.8767626,0.455057532,1.88042593,0.550196,0.3780457,1.89675522,0.295395762,0.327654749,1.95712137,0.08312419,0.174488887,1.93898058,0.000301952154,0.12348929,1.93953371,0.8201512,0.190631509,2.00607777,0.95174,0.007158817,2.0213604,0.922431946,0.09695086,1.803,0.925106764,0.09445254,1.85200632,0.332557917,0.048750516,2.15645051,0.169405863,-0.251671165,2.17324543,0.0200247634,-0.7444995,2.284014,-0.03950022,-0.8467356,2.19838929,0.456562668,-0.0436209328,2.18843365,0.485283941,-0.382822663,2.126317,0.492641628,-0.8540204,2.13243628,0.483739972,-0.91535,2.03106332,0.708040833,0.333085835,1.95928168,-0.0605012551,0.0870396942,1.94642711,0.00558774872,0.06553537,1.93479323,0.920417,0.104773514,1.75439537,0.9464172,0.09675253,1.79257154,-0.005080462,0.999938,0.009911442,0.940405965
0.5435481,0.399452835,0.00175532245,2.207117,0.574919,0.193771034,2.07038045,0.738911867,0.381688,1.9242059,0.8634271,0.45601666,1.87465966,0.5427858,0.382175684,1.9008522,0.289099276,0.3335583,1.96434712,0.06720513,0.176566556,1.944833,-0.009378348,0.129978552,1.94641185,0.814106,0.1940612,2.00744534,0.9495978,0.0138236862,2.0240767,0.9356574,0.110386573,1.80735326,0.924526,0.09380611,1.832813,0.3304608,0.0477412827,2.156538,0.1647672,-0.2509522,2.17508173,0.0156920217,-0.742765069,2.2900064,0.015583952,-0.81588155,2.17158461,0.45547536,-0.0442844927,2.18938327,0.483248353,-0.383561671,2.1270504,0.49145636,-0.8541263,2.13135219,0.4797825,-0.913145542,2.02777982,0.69944793,0.335522145,1.96256614,-0.0681388751,0.08874376,1.95172215,-0.00531250052,0.0723512545,1.94334614,0.930005431,0.09576629,1.67306173,0.945758,0.0961044952,1.77341771,-0.005080462,0.999938,0.009911442,0.940405965
