Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0035162,0.516612947,-0.008464735,2.19756,0.6762197,0.215941682,2.074473,0.826602757,0.432266742,1.94068158,0.982859433,0.509015143,1.9102366,0.646725833,0.410896,1.927931,0.430591136,0.3449793,2.00946474,0.322264552,0.120139688,2.00310326,0.2946687,0.0264903679,2.00437045,0.8951647,0.216380954,2.01326656,0.986736536,0.0015586915,1.98412526,0.959560335,0.148981974,1.7947191,0.9486965,0.09109332,1.89404416,0.441571444,0.0344761275,2.15173626,0.2560005,-0.374979645,2.17215633,-0.07202355,-0.5661905,2.39644265,-0.101882316,-0.690374553,2.42536855,0.5748311,-0.0515144654,2.17305326,0.587859035,-0.499037325,2.11168146,0.574412167,-0.942136,2.14471149,0.5980214,-0.8814201,2.01859665,0.7905125,0.37936458,1.97600782,0.279946983,-0.04880934,2.01787639,0.326315016,0.004776834,1.99925506,0.9343931,0.102762848,1.79798484,0.904616654,0.08598206,1.88220012,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.034061,0.516581953,-0.008484175,2.197555,0.6761597,0.215904117,2.07446384,0.826528549,0.432228863,1.94067907,0.982748747,0.5089612,1.91007793,0.6466909,0.4108717,1.9279269,0.4296869,0.34490025,2.00986838,0.3217084,0.118707448,2.00297976,0.2946024,0.0260409974,2.00390172,0.895085037,0.216333047,2.01326275,0.9866205,0.00150654954,1.98390734,0.9598966,0.149058521,1.79454684,0.9527493,0.198303729,1.73491335,0.441518575,0.0344298743,2.151703,0.25560987,-0.374696255,2.17329,-0.072886914,-0.565734565,2.39729,-0.103431143,-0.689883,2.42596173,0.5748184,-0.0515112244,2.173068,0.588012159,-0.4990102,2.11136365,0.5739439,-0.9423553,2.14309716,0.5024414,-0.8798828,2.01757813,0.7904357,0.379324168,1.976004,0.280481964,-0.05307997,2.01901841,0.335041732,0.008057439,2.016667,0.938150048,0.2094389,1.63903451,0.9079372,0.191874832,1.72356,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.0686071,0.516638339,-0.008555813,2.197476,0.6761526,0.215886533,2.07444,0.8264825,0.432239622,1.940677,0.982730448,0.50892067,1.9099586,0.6466229,0.410828352,1.92790174,0.4278904,0.34354493,2.009985,0.324102342,0.12636438,2.002734,0.294466674,0.027896788,2.00332952,0.894941568,0.216261625,2.01323032,0.9870343,0.00174104085,1.983121,0.9603297,0.15056,1.79479265,0.953189433,0.200228,1.73550224,0.4415927,0.0342937857,2.151621,0.253824919,-0.375824481,2.16044164,-0.06696216,-0.5807918,2.38336587,-0.0603330843,-0.708089232,2.412534,0.57487154,-0.0515178666,2.17300439,0.5868621,-0.4992329,2.11499929,0.5730174,-0.942746639,2.1462512,0.5907818,-0.872101963,2.02384472,0.7904022,0.3793259,1.97599673,0.27786845,-0.04855605,2.01166034,0.3275265,0.005661507,2.00076222,0.93859005,0.211354315,1.63962448,0.908027053,0.192263141,1.72368062,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.1001674,0.516624868,-0.008567794,2.197491,0.676115632,0.215863511,2.07444572,0.8264206,0.43221584,1.94067478,0.9826918,0.5088467,1.90990353,0.6465844,0.4107796,1.927898,0.42728737,0.3432311,2.01027155,0.32210654,0.12116497,2.00294685,0.293670923,0.0262670666,2.00383282,0.894870341,0.2162498,2.01322818,0.980092347,-0.001762949,1.99587083,0.9630047,0.145294234,1.80512762,0.961342752,0.1073868,1.792441,0.4415887,0.0342497826,2.15171647,0.253292,-0.373694927,2.1741488,-0.07394625,-0.5683888,2.397072,-0.10644263,-0.690991342,2.42785764,0.5748545,-0.0515124947,2.17299628,0.5893696,-0.499086827,2.11486363,0.567488,-0.759294,2.168845,0.5807855,-0.875825763,2.061776,0.7903419,0.379300416,1.97599721,0.2777578,-0.04869915,2.01605988,0.332373768,0.00798159651,2.01295042,0.9468093,0.118967257,1.69649756,0.9468257,0.09157739,1.76904857,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.1352254,0.521901,-0.0122335274,2.19857359,0.6770247,0.214932188,2.07467055,0.8262162,0.432150424,1.940672,0.982539,0.5085537,1.90976632,0.646496058,0.4107017,1.92786932,0.4272822,0.343265831,2.01024628,0.320869833,0.118670166,2.002588,0.2937843,0.0303189568,2.00197577,0.894692,0.21615541,2.01319456,0.982426941,-0.0007509205,1.99841881,0.9608886,0.142864257,1.80535471,0.955456257,0.190791756,1.74449456,0.445812821,0.0302986465,2.15344644,0.2444094,-0.37256822,2.18005276,-0.08269532,-0.5651327,2.40497279,-0.110869423,-0.6907345,2.43168855,0.5813997,-0.05469546,2.17352343,0.5851006,-0.502623141,2.11396956,0.561875463,-0.947576344,2.12540579,0.5063847,-0.8715292,2.01587582,0.7902919,0.3791935,1.97601342,0.275848567,-0.04677517,2.01160836,0.333687723,0.0216929521,2.01400018,0.940864,0.20196645,1.64860857,0.940795541,0.1739891,1.721264,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.1677656,0.5181945,-0.0108552556,2.198878,0.676188052,0.215025038,2.07479429,0.8260557,0.432071865,1.94069886,0.982385457,0.508544862,1.90981948,0.6464038,0.410642356,1.92788911,0.426833123,0.3433772,2.010356,0.320393384,0.117261156,2.00255561,0.3084025,0.0324173,2.02092433,0.894522846,0.216110334,2.013194,0.9840828,4.58289032E-05,1.9923408,0.96104157,0.1470705,1.80211878,0.9615462,0.106330521,1.77439356,0.442985356,0.0316613428,2.15353727,0.24686937,-0.372341067,2.17811966,-0.08013182,-0.5655912,2.4027257,-0.109561756,-0.690425038,2.430486,0.5767016,-0.0532406159,2.17411542,0.592549145,-0.5008043,2.11918688,0.566759765,-0.94492805,2.14112067,0.509597063,-0.8760777,2.02134943,0.790025532,0.3791192,1.97605991,0.275425166,-0.0440847836,2.01184368,0.368442357,0.0328169838,2.06675458,0.9469777,0.117912881,1.67846787,0.946940958,0.09052367,1.75104856,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.2008233,0.517086446,-0.0109212426,2.19887018,0.6756882,0.2148989,2.07483673,0.8258329,0.43200472,1.940728,0.981703043,0.508633,1.90993023,0.6462441,0.410546243,1.9279139,0.424466729,0.3414418,2.01037717,0.319974959,0.11693269,2.00243783,0.306044042,0.0319913179,2.01845026,0.8942141,0.215962,2.01327586,0.9870426,0.00145279639,1.99050832,0.9611393,0.148859739,1.80093,0.9542617,0.198056072,1.74122608,0.441917956,0.0314916149,2.15340018,0.252575874,-0.377693236,2.16361475,-0.06816757,-0.5866338,2.38356447,-0.1064667,-0.7019031,2.42426252,0.5755972,-0.05316296,2.17423868,0.5934528,-0.500505149,2.11630344,0.5759025,-0.9450695,2.138149,0.5960504,-0.8631671,2.02462053,0.7897383,0.379025936,1.97609687,0.272955954,-0.04424114,2.01230741,0.3579439,-0.0119472677,2.05700016,0.939668953,0.209194943,1.64534366,0.939599752,0.181165829,1.7180059,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.2343859,0.5128445,-0.0104501322,2.19887519,0.6740734,0.21493338,2.07491088,0.825507,0.431981,1.94076037,0.980956,0.5086699,1.90991616,0.6459397,0.410393953,1.92794621,0.421869427,0.341326743,2.00897336,0.319500118,0.116933316,2.00233841,0.288630873,0.02674611,1.99979293,0.8936378,0.215887487,2.01326942,0.988232851,0.004948549,1.96225858,0.957259953,0.169940859,1.78919268,0.948705733,0.225006029,1.73497891,0.438746423,0.0327926874,2.1530962,0.252598375,-0.377630323,2.16456,-0.0686884,-0.586250961,2.38398075,-0.106620014,-0.701789856,2.42442966,0.570046246,-0.0536791719,2.17461944,0.5969118,-0.500214458,2.11324,0.581540167,-0.9441276,2.14233327,0.520019531,-0.8779297,2.0234375,0.7891787,0.378993034,1.97614479,0.2700698,-0.050269518,2.01087332,0.327304453,0.008063425,2.0103333,0.934127152,0.236013532,1.63910258,0.934079349,0.207795188,1.71177828,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.2679271,0.509569347,-0.009756228,2.19860125,0.672391951,0.2150671,2.0750525,0.824963,0.431909829,1.9410156,0.978796,0.509399533,1.91001093,0.645422935,0.410279661,1.92813933,0.4204588,0.3401283,2.0083003,0.3189379,0.117525958,2.00215721,0.2842667,0.0220936053,2.000909,0.892905653,0.215842366,2.0133822,0.988600552,0.00420537032,1.97084165,0.9561268,0.166805416,1.79567838,0.9470674,0.221072063,1.74076951,0.4354778,0.0341957472,2.15286732,0.2398844,-0.3792767,2.18638921,-0.0895612,-0.569523,2.41001558,-0.11322058,-0.696503162,2.43556833,0.5669726,-0.0535788834,2.1742692,0.5983841,-0.499748766,2.11356115,0.5845851,-0.943075061,2.148116,0.5897348,-0.872124135,2.02326679,0.788396835,0.378939,1.97639775,0.2677942,-0.05218982,2.01135015,0.3247618,0.0026276838,2.01113534,0.9325055,0.232100248,1.64488244,0.9327406,0.203405738,1.71734715,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.3009884,0.5085728,-0.009677314,2.19897556,0.6712934,0.215084225,2.075445,0.8240837,0.431898773,1.94136918,0.9737959,0.5098034,1.90940356,0.644512057,0.4102832,1.92843306,0.4153779,0.3376637,2.00903273,0.3147137,0.115362652,2.00133371,0.2817907,0.0206566826,2.00129819,0.891006231,0.215779543,2.01354885,0.992830038,0.00656842,1.97721589,0.9530533,0.167997375,1.80235064,0.941559732,0.221878618,1.7475425,0.4343217,0.0343969353,2.15325379,0.2369671,-0.380953252,2.18859029,-0.0925004,-0.571082652,2.41222739,-0.104685955,-0.700570345,2.435669,0.566235662,-0.05357762,2.17460179,0.6002323,-0.498660862,2.09980154,0.577375531,-0.9396273,2.15029287,0.592473745,-0.874586344,2.02395582,0.7874245,0.378922373,1.97677112,0.2683021,-0.05915973,2.013827,0.324619383,0.008408312,2.01992059,0.9270319,0.232904613,1.65163827,0.927056551,0.204713657,1.72426915,-0.0126665169,0.999808848,0.0148945646,0.929780066
0.3350522,0.5058395,-0.009563519,2.19943,0.6692546,0.2152354,2.07606959,0.822854161,0.43209514,1.94207418,0.9680983,0.512001038,1.909133,0.6419316,0.4101362,1.92982483,0.406678915,0.333919138,2.01053214,0.313320518,0.115561537,2.00168228,0.2779805,0.0201399028,2.002625,0.889179,0.216042683,2.01406479,0.9952252,0.00844831951,1.98659384,0.9525925,0.1639503,1.80684841,0.9401453,0.215859532,1.75041735,0.4319027,0.03465462,2.1536212,0.2365537,-0.381500423,2.188325,-0.09287612,-0.569608867,2.41360426,-0.07894686,-0.701651156,2.43079448,0.5633975,-0.0535850637,2.17511415,0.600668967,-0.498435378,2.10165977,0.575280547,-0.9400743,2.146716,0.5913115,-0.8690949,2.02406526,0.785984337,0.379099041,1.97746849,0.2652044,-0.0583687,2.0136385,0.320099115,-0.000672946568,2.01971436,0.9256272,0.226914853,1.65450513,0.92566514,0.198766053,1.72712266,-0.0126665169,0.999808848,0.0148945646,0.929780066
