Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0245751,0.4710867,-0.0251200385,2.17234588,0.650916636,0.1835901,2.05747461,0.8224629,0.386348575,1.932714,0.9607739,0.4532027,1.90585315,0.638889,0.376428545,1.88935232,0.579125762,0.224099934,1.70647514,0.7904389,0.1247449,1.60894549,0.8257234,0.117896862,1.5969528,0.894226551,0.195841417,2.01870656,0.952617645,-0.0195333567,2.06697631,0.9094626,0.08460691,1.76597643,0.859070539,0.1146943,1.58266962,0.408563375,0.01623855,2.130119,0.2023598,-0.2584476,2.160479,-0.0139544085,-0.660564363,2.24238253,0.04015554,-0.726542234,2.10781,0.5192396,-0.06450868,2.14675975,0.556566536,-0.4058417,2.09944463,0.503834963,-0.8249457,2.15769434,0.5577644,-0.907764733,2.080346,0.781034768,0.336625338,1.96563339,0.895879447,0.108996183,1.5467304,0.861388266,0.117342815,1.53276932,0.882512569,0.120042063,1.53567994,0.8210045,0.121246591,1.5796026,-0.00526991254,0.999948442,0.008678446,0.943222165
0.0566151,0.471488,-0.0251541361,2.17269349,0.6510563,0.183628634,2.05773258,0.822387457,0.386366516,1.93290591,0.960825264,0.4531736,1.906081,0.638916433,0.376487374,1.88952744,0.5780945,0.224850163,1.70640314,0.7906835,0.1248007,1.609102,0.8252824,0.118233658,1.59818971,0.8942908,0.195913956,2.01884317,0.9525387,-0.0214699432,2.060369,0.9118812,0.09416797,1.76331449,0.8610512,0.114560314,1.58451939,0.408858567,0.0162458345,2.13029456,0.195039973,-0.360418916,2.17148662,-0.0135928094,-0.7446011,2.243216,0.04860735,-0.7856825,2.09919834,0.519677341,-0.0647331253,2.1472683,0.5562984,-0.406160265,2.10016823,0.502738237,-0.8258005,2.15843773,0.557933748,-0.9079466,2.07955885,0.7810052,0.336651653,1.9658407,0.898824334,0.113984481,1.5406189,0.8385866,0.115555421,1.53944457,0.881962,0.122389756,1.53717268,0.821024537,0.119236156,1.57914424,-0.00526991254,0.999948442,0.008678446,0.943222165
0.0891795,0.471503764,-0.0250285454,2.172787,0.651067138,0.183710635,2.0578475,0.8223459,0.386361033,1.93301916,0.9607444,0.453103125,1.9062438,0.638961256,0.376507,1.88963389,0.5767325,0.225048169,1.70682955,0.792092741,0.124611765,1.60924971,0.8278646,0.116912857,1.59490418,0.8943943,0.195938915,2.0189712,0.952848136,-0.0131160952,2.08491468,0.9102545,0.0832655653,1.7812351,0.8587822,0.114094868,1.57962644,0.408893943,0.01662096,2.13039851,0.194894835,-0.359609932,2.17123532,-0.018647017,-0.7626074,2.25211716,0.0155902505,-0.84658736,2.12580132,0.5196679,-0.0647665262,2.147341,0.5561837,-0.406209528,2.10035563,0.5046955,-0.8203838,2.16106629,0.555835247,-0.9073465,2.076483,0.78097564,0.3366698,1.96595883,0.900201261,0.112267032,1.53998923,0.845134258,0.114579931,1.5342288,0.8817854,0.117391333,1.53651166,0.8211026,0.119427875,1.57829046,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1222276,0.47130233,-0.0254089478,2.17307568,0.6510077,0.183612168,2.05802035,0.8223083,0.386350274,1.93312192,0.9607265,0.453075469,1.90625715,0.6390103,0.376542538,1.88977849,0.5876265,0.221421048,1.70680416,0.7924198,0.124661811,1.60931027,0.8280725,0.1179541,1.5963769,0.894488156,0.1958474,2.01914,0.9527322,-0.01338905,2.08479762,0.9105169,0.0833209,1.78117239,0.8621741,0.114767067,1.58331835,0.407930225,0.0150165791,2.131242,0.195299238,-0.3591826,2.16934276,-0.0231977869,-0.7614731,2.241933,0.0119204633,-0.8433134,2.11383867,0.5196813,-0.0647817552,2.14737344,0.5561858,-0.406225681,2.10037875,0.5042007,-0.8224637,2.160417,0.5572872,-0.9074995,2.077125,0.78093183,0.336644471,1.96608543,0.89935714,0.112407431,1.54865479,0.8647941,0.118829995,1.53080022,0.882247,0.121932432,1.53969789,0.8214599,0.11632809,1.5775286,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1563137,0.4711377,-0.026401829,2.17390561,0.650971651,0.1833164,2.05842876,0.822280467,0.386325151,1.93326,0.9608326,0.452809751,1.90641212,0.639068663,0.376568168,1.88991058,0.5878839,0.221453115,1.70687544,0.7924275,0.124677166,1.609369,0.827926755,0.117202744,1.59437251,0.8946399,0.195797309,2.019351,0.9510667,-0.0258263536,2.045079,0.903556943,0.09450366,1.75090659,0.861392736,0.115319327,1.58126426,0.407318324,0.0127671389,2.13277745,0.222181112,-0.2780803,2.15356517,0.0112499772,-0.6856984,2.22330427,0.019871451,-0.793571234,2.11983728,0.519748569,-0.06502922,2.14764667,0.556136966,-0.406477273,2.10036135,0.505164742,-0.819649637,2.155706,0.5620534,-0.9094976,2.07552671,0.7809001,0.336577654,1.96628451,0.8968637,0.110838063,1.533898,0.8513304,0.116977707,1.53160143,0.8804295,0.117957547,1.53694236,0.8203994,0.118672587,1.57826948,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1888681,0.471133947,-0.02681999,2.17420864,0.6509504,0.183166459,2.0586462,0.8222124,0.3863076,1.93339455,0.960827947,0.4524351,1.90667725,0.6390552,0.3766085,1.89007258,0.590045452,0.221336707,1.70658743,0.792420149,0.124687307,1.60933256,0.8248044,0.11868611,1.5946629,0.89513576,0.19499141,2.020157,0.9505533,-0.0140953865,2.08830976,0.9076904,0.0849453,1.78553355,0.8608665,0.1164885,1.57812274,0.407272965,0.0123732509,2.13317084,0.194300711,-0.3561972,2.16759324,-0.0178766642,-0.7643059,2.22795081,-0.006290907,-0.8681175,2.12031746,0.5198154,-0.0653915554,2.14777637,0.555889249,-0.406872034,2.100378,0.5042806,-0.82152915,2.15617323,0.563256145,-0.9106433,2.07687163,0.7808405,0.336535275,1.96644354,0.9001614,0.113737375,1.53347683,0.864388943,0.119444959,1.52954555,0.8912783,0.122204788,1.53413868,0.819246531,0.110531434,1.56993222,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2214197,0.470707357,-0.0267387871,2.17457724,0.6507924,0.183186084,2.058914,0.8221728,0.386282623,1.93355763,0.9609091,0.452296942,1.9070251,0.639105558,0.376634479,1.89017725,0.579763651,0.224459365,1.70703089,0.791239858,0.124856248,1.609443,0.8265616,0.117179438,1.59526682,0.8951301,0.194996014,2.02017546,0.9505734,-0.0142774135,2.08785915,0.9096521,0.08241774,1.784056,0.861758351,0.114815205,1.57893193,0.406612545,0.0123270461,2.13361573,0.194130927,-0.355857641,2.16777229,-0.01804521,-0.763968468,2.22812986,-0.0064570317,-0.8677852,2.1204946,0.5196255,-0.06521765,2.14799523,0.555742443,-0.406683534,2.1000607,0.5039936,-0.8200625,2.15615964,0.558145344,-0.9093451,2.08180022,0.7807755,0.336520076,1.96664047,0.8946482,0.10310927,1.54622126,0.872194,0.118812546,1.52825,0.890149534,0.1202059,1.531627,0.819996953,0.11462079,1.575072,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2570116,0.4704923,-0.0276158,2.175322,0.6507067,0.1828968,2.059284,0.8221314,0.3862638,1.93365908,0.9608866,0.45217526,1.907155,0.6390861,0.376652271,1.89042544,0.585484743,0.222004354,1.70766592,0.791145861,0.124898821,1.60947,0.823886931,0.119188458,1.5963403,0.895080745,0.194937,2.02017331,0.950862169,-0.0150356954,2.08588815,0.906529069,0.06631662,1.864155,0.8596275,0.116732746,1.5820142,0.406128258,0.0108385384,2.134645,0.197491571,-0.345452935,2.16398573,-0.014715557,-0.7536443,2.2243588,-0.00317484234,-0.8575779,2.116683,0.5196383,-0.0655608,2.14838123,0.5533491,-0.407340646,2.10081315,0.5042159,-0.8212765,2.15548444,0.5572612,-0.9087349,2.08212757,0.7807229,0.336460024,1.96679866,0.893045843,0.117947087,1.54039907,0.881869733,0.122209527,1.524375,0.8929345,0.122204989,1.53137684,0.818013549,0.113368452,1.57439744,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2885528,0.469842881,-0.02739081,2.1756537,0.650481045,0.182914957,2.05954814,0.82209146,0.38618,1.93386078,0.9613019,0.45185402,1.90770209,0.6390856,0.3766842,1.890641,0.5878125,0.220776871,1.70833015,0.7911466,0.124941655,1.60945725,0.827491462,0.118355729,1.59483182,0.895090759,0.194885522,2.02022719,0.947667658,-0.0165880974,2.08456349,0.9016505,0.07294099,1.866426,0.8595101,0.115264326,1.58296967,0.405559838,0.0112637775,2.134782,0.193685979,-0.350921,2.16952777,-0.0184857864,-0.7590652,2.22989154,-0.006891258,-0.862952948,2.12223148,0.5189599,-0.0655029342,2.14885068,0.5530551,-0.4073009,2.10516238,0.5041549,-0.8214287,2.155913,0.557927132,-0.908555,2.080732,0.780644357,0.336398065,1.96701932,0.8997423,0.120943822,1.54167807,0.8524991,0.116278663,1.534,0.8889867,0.122633316,1.53697324,0.8181323,0.114764407,1.576699,-0.00526991254,0.999948442,0.008678446,0.943222165
0.3216085,0.4696481,-0.0276435,2.17609048,0.6503692,0.182721436,2.059897,0.822036147,0.386056721,1.93405533,0.9611409,0.4514193,1.90801811,0.6391283,0.376746058,1.89078772,0.5783585,0.2243157,1.70833039,0.7912746,0.124914907,1.60948575,0.8243931,0.118181482,1.5968771,0.894960761,0.1947065,2.02040124,0.948261142,-0.016699871,2.08436847,0.902988,0.07798689,1.86833143,0.8578967,0.114932328,1.58102071,0.405266941,0.0110481465,2.1352303,0.190084308,-0.3535024,2.16953754,-0.0220649019,-0.7616269,2.22989154,-0.0104187923,-0.865481555,2.122243,0.5189099,-0.06572302,2.14918184,0.5528593,-0.407530248,2.10508084,0.504183054,-0.8228156,2.1559298,0.5591221,-0.9088278,2.079955,0.780574262,0.3362557,1.9672612,0.898722947,0.117678523,1.5395627,0.8460851,0.1163641,1.53744447,0.88503325,0.11759501,1.53128529,0.816957235,0.121374436,1.58030045,-0.00526991254,0.999948442,0.008678446,0.943222165
0.3561849,0.469764,-0.0280686114,2.17694974,0.650326431,0.182443962,2.06044555,0.8218949,0.3859013,1.934309,0.9610793,0.451224148,1.90840411,0.639101565,0.376746982,1.89090741,0.577703,0.2244564,1.70853937,0.791280866,0.124906048,1.60947871,0.8257117,0.117780685,1.59542871,0.8948059,0.194152087,2.02070117,0.949506938,-0.0171142,2.083951,0.904117048,0.07894872,1.86856425,0.8589702,0.114801951,1.58091319,0.405349135,0.0106135216,2.13594818,0.19056493,-0.3554377,2.170341,-0.0215850566,-0.7635475,2.23069429,-0.009946059,-0.8673808,2.1230526,0.519106746,-0.06605899,2.15007734,0.5527434,-0.407883674,2.10498023,0.5044005,-0.822733343,2.155584,0.5592837,-0.9087529,2.08009481,0.780448258,0.3360732,1.96758735,0.8984331,0.115608431,1.54189754,0.8884303,0.120410755,1.5208,0.887265444,0.122887537,1.5362947,0.8180467,0.117748126,1.578265,-0.00526991254,0.999948442,0.008678446,0.943222165
