Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0039997,0.4172061,-0.0198409073,2.202797,0.604396462,0.19207567,2.071897,0.7823698,0.3968242,1.93023825,0.931524,0.4670184,1.91194093,0.5793149,0.384965181,1.90963149,0.3613437,0.325181872,1.97720146,0.236178145,0.117832437,1.9842273,0.198894054,0.024534896,1.996514,0.8457484,0.1958009,2.01250529,0.971309841,0.0136224357,2.03156257,0.925340235,0.123362444,1.82950616,0.9368553,0.101943992,1.816011,0.341887832,0.0243625622,2.150559,0.14909561,-0.255480736,2.17370248,-0.0198634416,-0.752038956,2.21310925,0.00452996232,-0.8037679,2.082159,0.4791151,-0.06319967,2.1835072,0.5073144,-0.4010152,2.11978984,0.4660042,-0.832008362,2.15263915,0.437073737,-0.873821557,2.01718187,0.7393466,0.346748054,1.96757627,0.1697584,-0.0447813943,2.00280428,0.2607499,0.0258219745,2.05477738,0.9158235,0.09745904,1.79084468,0.9174558,0.102489166,1.79724526,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.0390654,0.416924328,-0.01941179,2.202954,0.6043786,0.192177057,2.071985,0.7824522,0.3968017,1.930324,0.9315182,0.466995,1.91210783,0.5792483,0.385010183,1.90964317,0.361351371,0.325174332,1.97721291,0.235778809,0.115538619,1.98392129,0.196892515,0.0224489253,1.99274766,0.845728,0.195804715,2.01251125,0.971021235,0.013491218,2.031869,0.9202176,0.124381632,1.83158815,0.9249099,0.109047,1.95987225,0.341578126,0.0248743426,2.15075517,0.1492149,-0.255318284,2.17364764,-0.0198140927,-0.751892567,2.21271944,0.00411163457,-0.803231061,2.08140278,0.4788489,-0.06287253,2.183618,0.502368748,-0.4014808,2.12508154,0.46643877,-0.8311113,2.15383744,0.4382406,-0.8731389,2.018324,0.73939836,0.346753925,1.96765113,0.169810474,-0.0459385253,2.000568,0.262791544,0.0286373869,2.05476022,0.9316079,0.09951002,1.79084337,0.8939853,0.08349915,1.88757157,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.0716147,0.416956037,-0.0195611082,2.20307732,0.604439139,0.192075953,2.07211232,0.78253,0.396718383,1.93044877,0.9315488,0.466915876,1.91239154,0.5846326,0.38366276,1.91153383,0.361270428,0.32512337,1.97748268,0.235638052,0.114117,1.983898,0.196395546,0.0213106889,1.99322987,0.8457147,0.195795938,2.01254582,0.9710286,0.0134811979,2.031825,0.91948247,0.124262065,1.8316654,0.9251366,0.110884085,1.95794308,0.3416878,0.024841506,2.15088129,0.149214342,-0.255309671,2.173639,-0.0198124927,-0.751844049,2.21307087,0.0047124736,-0.803040564,2.08180761,0.4787498,-0.06327475,2.18377781,0.502904534,-0.401761144,2.124238,0.458531231,-0.8387319,2.13964915,0.4381282,-0.881881058,2.00359,0.7394749,0.346665025,1.96777987,0.169673756,-0.048841808,2.00326777,0.259619772,0.0207588784,2.05378079,0.9229581,0.0978821442,1.7760545,0.903234065,0.0621538237,1.93357158,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.1041648,0.416957855,-0.0194463059,2.20315576,0.604496062,0.192140758,2.07220554,0.78264457,0.3967195,1.93056357,0.9317669,0.466944337,1.91274476,0.583902061,0.383821726,1.91139781,0.3613382,0.325196415,1.97745478,0.235385522,0.113572352,1.98399246,0.2002779,0.0213236269,1.99698126,0.845715463,0.195795923,2.01260424,0.9697696,0.0130026639,2.03394532,0.923899353,0.127133563,1.83439934,0.9368219,0.08610057,1.8895992,0.341678977,0.0249260366,2.15096164,0.149238661,-0.2552709,2.173623,-0.01874536,-0.752137363,2.21321559,0.00551752746,-0.8031875,2.08180118,0.478755772,-0.0631309,2.183845,0.503026843,-0.401595175,2.124061,0.456535369,-0.838521957,2.13650775,0.4346716,-0.8827348,2.00163531,0.73957485,0.346683234,1.96788931,0.172650322,-0.0477520823,2.0044806,0.2601893,0.0218080617,2.05295634,0.9449542,0.100680806,1.79314351,0.9018684,0.0964453,1.795,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.1392415,0.417078644,-0.0193254761,2.20348668,0.604618132,0.192175,2.07241273,0.782749951,0.3966788,1.93066931,0.9319469,0.466925323,1.91303623,0.583310962,0.3840211,1.91123235,0.3613813,0.3252074,1.97750461,0.236148179,0.1149098,1.98403835,0.199186176,0.0211998466,1.99659741,0.8456945,0.19579041,2.012698,0.969738364,0.0129241068,2.03374243,0.922775149,0.125463679,1.83350587,0.937287152,0.09398551,1.89752221,0.3417808,0.0250817537,2.15143681,0.149111629,-0.255057335,2.173702,-0.0187038369,-0.7519494,2.213575,0.006301064,-0.803726733,2.08281064,0.478869319,-0.063046664,2.18404436,0.503249466,-0.4014517,2.123381,0.4535644,-0.8391263,2.13267326,0.50390625,-0.910644531,2.04296875,0.739685953,0.346657872,1.968018,0.169932544,-0.0489232279,2.00614738,0.260159254,0.02252289,2.0532093,0.938282669,0.09997498,1.77709711,0.900365,0.09454879,1.78225,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.1707901,0.417141616,-0.0193469562,2.203575,0.604733646,0.192152381,2.07252264,0.7829109,0.396634877,1.93078279,0.9322442,0.466872454,1.913548,0.582867,0.384122878,1.91115475,0.361436,0.325258076,1.97747946,0.235952422,0.114444025,1.98396337,0.197107479,0.0227682982,1.99248827,0.845662832,0.1957627,2.01279,0.9698,0.01287488,2.03342414,0.921822846,0.1285722,1.83529484,0.9284634,0.09094843,1.9048723,0.341845125,0.025034016,2.15148687,0.149143264,-0.2550949,2.173701,-0.0179794282,-0.7522178,2.21357131,0.007290961,-0.804468,2.08319116,0.4789253,-0.06303606,2.18417716,0.5020362,-0.4016507,2.12510228,0.462711364,-0.831996262,2.15399957,0.4453893,-0.875950754,2.01787376,0.7398388,0.346619248,1.96813381,0.169735759,-0.0491574481,2.00618768,0.2630782,0.044618845,2.05709076,0.915059745,0.100637615,1.76080322,0.894538045,0.08628974,1.858,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2033477,0.417118073,-0.0193211157,2.20356727,0.6047589,0.192160979,2.072543,0.7830773,0.396593779,1.93088889,0.9325054,0.4669431,1.91423833,0.582516,0.384151131,1.91113436,0.361429125,0.325181723,1.97753847,0.2351953,0.113356419,1.98377585,0.195891723,0.0219339244,1.99205065,0.8456651,0.195752412,2.012834,0.9698396,0.0128766065,2.033398,0.92475605,0.129547685,1.83520615,0.9338827,0.09447944,1.902825,0.341827124,0.02502917,2.15145445,0.149093136,-0.255047768,2.1737988,-0.014744834,-0.75370574,2.20952129,0.009654054,-0.8064204,2.079278,0.4788662,-0.0629349053,2.184199,0.5039951,-0.4012819,2.123793,0.464829415,-0.8330386,2.155788,0.437767446,-0.8744786,2.01975465,0.739960551,0.346597284,1.9682138,0.1709971,-0.04982837,2.005267,0.261022836,0.0282528382,2.05694246,0.9454026,0.0990299061,1.77424026,0.906213343,0.09473351,1.83366644,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2389338,0.417256534,-0.0194156058,2.203612,0.6049092,0.192085832,2.07263827,0.783219,0.3965226,1.93102121,0.9327219,0.466975063,1.914479,0.582378745,0.384128064,1.9111222,0.361420155,0.325285673,1.97766888,0.236297131,0.1155575,1.98322809,0.197187066,0.02138636,1.99294889,0.84564817,0.1957418,2.01290965,0.9698681,0.0128691308,2.033335,0.9597614,0.109707385,1.82020938,0.9320145,0.08933966,1.90898764,0.34192127,0.024915481,2.15152073,0.149022013,-0.2550485,2.17387176,-0.0147538343,-0.75373137,2.20954537,0.009768814,-0.8063995,2.07930231,0.4790517,-0.06301372,2.184214,0.5017579,-0.401840627,2.12884927,0.473763585,-0.829497933,2.15651941,0.494140625,-0.899902344,2.05273438,0.740108848,0.3465237,1.96834,0.171035185,-0.04936168,2.006147,0.2585616,0.014694687,2.05235267,0.937682331,0.104538471,1.79478931,0.9005199,0.06267892,1.91031241,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2714806,0.417395085,-0.019561829,2.2037077,0.605043232,0.19201906,2.07274818,0.783336461,0.39650622,1.93113077,0.9331107,0.466969162,1.91511369,0.5822305,0.384112149,1.911137,0.361435831,0.325284749,1.97769892,0.2360158,0.114040054,1.98298216,0.199688971,0.0221548714,1.993204,0.8456513,0.195732176,2.0129776,0.967337549,0.0125849675,2.040027,0.9246043,0.128402278,1.84081721,0.9236074,0.109179877,1.938162,0.3420252,0.0247095134,2.151651,0.148966715,-0.255154371,2.17396116,0.000340946979,-0.724977255,2.188012,0.0144689465,-0.791374862,2.06584334,0.47921598,-0.06311232,2.18427515,0.5032447,-0.4018252,2.12926817,0.4612477,-0.8355995,2.1406734,0.419339567,-0.871931553,2.0061512,0.740233541,0.3464949,1.96845233,0.173926637,-0.0488085859,2.000496,0.266290545,0.03615626,2.0545,0.9402717,0.102422319,1.79100728,0.901170433,0.09411063,1.821,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.3040419,0.4186585,-0.0205724984,2.20422721,0.6057134,0.19159992,2.07317162,0.7836016,0.396412969,1.93142724,0.933388531,0.4668221,1.915795,0.582056046,0.3841793,1.91118252,0.3615286,0.32521233,1.97791445,0.23599118,0.113902293,1.983025,0.20053333,0.0208488666,1.995623,0.84567225,0.195699126,2.01319027,0.967312336,0.0135263167,2.04404378,0.927128255,0.1228316,1.84056485,0.9302938,0.112653509,1.93783855,0.3430393,0.0235217586,2.152208,0.148724332,-0.255585134,2.17409635,-0.0235594176,-0.7508731,2.21468878,0.00328244083,-0.8019007,2.08388567,0.480708539,-0.06393414,2.1847477,0.502667,-0.4028785,2.13123274,0.4334309,-0.858927131,2.09673452,0.454568982,-0.897404,1.99945939,0.7405837,0.346337974,1.96878171,0.172659665,-0.0478065424,2.00299716,0.2624867,0.0293971784,2.05598259,0.9345414,0.101895116,1.78244781,0.9033931,0.0927043259,1.82138658,-0.00640165,0.9999795,-0.000190254781,0.9629589
