Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0099994,0.5941356,-0.3236405,2.28139782,0.754658043,-0.117447078,2.07157636,0.9047495,0.0832760856,1.84950221,1.04666412,0.14141956,1.80713975,0.7045983,0.0980672538,1.8618592,0.4911561,0.0556002334,1.98670745,0.3713786,-0.140873954,2.0722208,0.385648668,-0.216623068,2.08870459,0.985115647,-0.0966820046,1.96315157,1.076732,-0.3184665,1.99514711,0.858137846,-0.279586017,1.86439085,0.838767946,-0.2666613,1.901001,0.5161943,-0.266971558,2.23880053,0.3968621,-0.566544235,2.30690813,0.209127709,-1.03234792,2.534612,0.232385322,-1.08148861,2.372289,0.6522263,-0.3693667,2.24802971,0.645249665,-0.6652713,2.2885294,0.620074153,-1.06501329,2.42119813,0.642849863,-1.14703286,2.35650277,0.8690181,0.03395852,1.90721226,0.3567214,-0.2586387,2.124179,0.405670166,-0.237527713,2.06800485,0.786982358,-0.250842422,1.94062388,0.7999709,-0.292610466,1.7515,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.0445106,0.593818,-0.323177665,2.281511,0.754618347,-0.1173935,2.071638,0.904791057,0.0832373649,1.84960032,1.04660094,0.141634211,1.80726111,0.7045969,0.09813182,1.86185431,0.4896889,0.0555075966,1.98783016,0.3710233,-0.142170936,2.07223439,0.385968983,-0.217128679,2.08963,0.984967232,-0.09664978,1.96319079,1.07623661,-0.318224549,1.99672365,0.8589159,-0.279432446,1.86376548,0.837311268,-0.26516223,1.89693463,0.5157637,-0.266572058,2.23872948,0.3968094,-0.5662897,2.30677533,0.207798347,-1.03319824,2.5351553,0.232258976,-1.0819732,2.372905,0.6519973,-0.368801862,2.24835014,0.6493256,-0.7695358,2.32374,0.609555662,-1.15237832,2.4553473,0.658111751,-1.13507652,2.331236,0.8690352,0.03394088,1.90728569,0.358286262,-0.267510474,2.13017178,0.413746625,-0.256609231,2.09011126,0.793693066,-0.2525692,1.94839215,0.819707,-0.292321831,1.77766669,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.0775115,0.593556643,-0.3227667,2.28157473,0.754574656,-0.117280811,2.07167554,0.904818952,0.08327205,1.84963274,1.04654658,0.141730085,1.80723011,0.704638958,0.0981280655,1.86185026,0.490587056,0.0551942922,1.987039,0.369438,-0.1408969,2.07168365,0.38732633,-0.225853547,2.09360838,0.984584332,-0.0962001756,1.9630512,1.07604837,-0.317616135,1.99689341,0.8579906,-0.277668566,1.86554646,0.842409134,-0.2677019,1.904426,0.515447736,-0.266105324,2.23893356,0.396557331,-0.5660806,2.30680323,0.206482157,-1.03300512,2.53515053,0.231553465,-1.08166468,2.37296915,0.6517874,-0.368457973,2.248291,0.6493006,-0.769204557,2.32364488,0.6094626,-1.1520716,2.4551785,0.658048749,-1.13556886,2.33107662,0.869048536,0.03397805,1.90731311,0.372123659,-0.28065002,2.1333468,0.422053,-0.237859726,2.09355545,0.792429268,-0.245986149,1.93985248,0.811596036,-0.291774184,1.76794076,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.1095152,0.5934941,-0.322619021,2.28163934,0.7545571,-0.117205687,2.07171655,0.9048306,0.08333028,1.84966779,1.04653549,0.1418094,1.80724978,0.7046353,0.09813961,1.86191821,0.489789218,0.055289302,1.98752713,0.3691733,-0.141559869,2.07129169,0.391739279,-0.211742789,2.092165,0.9843174,-0.09617909,1.96311176,1.07613122,-0.317451,1.99689138,0.85806644,-0.277895063,1.86543477,0.8389387,-0.2692151,1.89924788,0.5153651,-0.2659972,2.23897839,0.3965476,-0.5660522,2.30681086,0.204087541,-1.03396463,2.53147483,0.2308969,-1.08287,2.3698318,0.651754737,-0.3682835,2.248372,0.648549736,-0.6654077,2.28424525,0.620910168,-1.06534982,2.420361,0.643311262,-1.14754462,2.3558836,0.869053543,0.03403093,1.90734589,0.368761778,-0.277060479,2.12959671,0.437617421,-0.220165253,2.11891651,0.792182446,-0.251920521,1.92945266,0.8134366,-0.293977022,1.76607084,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.1450263,0.5931103,-0.322251052,2.28162575,0.754359245,-0.117135368,2.07177234,0.9046975,0.08327045,1.84978449,1.04628909,0.141873926,1.807313,0.7044492,0.09815036,1.86190832,0.4884709,0.0551998578,1.98787737,0.368783116,-0.142637581,2.07074332,0.390684426,-0.212544143,2.09005713,0.9838517,-0.096147716,1.96309257,1.07616508,-0.317367941,1.99614716,0.8572416,-0.277495772,1.86627579,0.8387915,-0.2673427,1.91715884,0.5149498,-0.265606165,2.23906064,0.39609763,-0.565809369,2.306642,0.203190535,-1.03432739,2.52979445,0.23076798,-1.08332074,2.36838746,0.6514108,-0.3679601,2.24825954,0.648480952,-0.665070832,2.28416824,0.621360362,-1.06520128,2.42002225,0.642907143,-1.14716423,2.35396838,0.8689145,0.033996284,1.9074409,0.368198574,-0.278585285,2.132867,0.436046124,-0.214192152,2.11381388,0.78327,-0.2535351,1.95076978,0.8265363,-0.253590763,1.85257149,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.1770247,0.592739165,-0.321789265,2.28192115,0.754007161,-0.116963349,2.07197452,0.9043431,0.08326607,1.84994471,1.04588187,0.1420012,1.80750382,0.704178751,0.098049,1.86205161,0.489170372,0.0550182238,1.98732483,0.368015558,-0.141683072,2.07073236,0.389846623,-0.212432876,2.09225368,0.983142555,-0.09599897,1.96295452,1.075646,-0.317152172,1.99593866,0.856638253,-0.277520835,1.86613977,0.8425145,-0.266091824,1.90590775,0.514487445,-0.2650517,2.23945475,0.395453483,-0.565221548,2.30670738,0.203217119,-1.03389657,2.53007746,0.2307252,-1.08303058,2.368719,0.6511439,-0.3676216,2.24845266,0.6485006,-0.6648063,2.284078,0.630736053,-1.08545077,2.41122246,0.6476504,-1.168455,2.34538269,0.868567765,0.0340228751,1.9076066,0.3675156,-0.278976768,2.12940216,0.436555058,-0.210918173,2.116005,0.78379184,-0.256893247,1.950504,0.8224025,-0.283826232,1.80650008,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.2100293,0.5919452,-0.323741436,2.281998,0.753127635,-0.117656454,2.07199049,0.903180838,0.08332627,1.84990966,1.04512358,0.141966864,1.80793619,0.703624964,0.0976165757,1.86225247,0.4866873,0.0542073771,1.98885274,0.3649411,-0.143402919,2.06964326,0.38734284,-0.213713318,2.09118223,0.9828651,-0.09603009,1.963025,1.075309,-0.317019284,1.996798,0.8572501,-0.277403027,1.8653518,0.843543351,-0.2671308,1.90570676,0.5142676,-0.266376436,2.239218,0.394857883,-0.5649638,2.306756,0.20267351,-1.03355825,2.530321,0.230117008,-1.08279109,2.36898971,0.6495282,-0.370435864,2.24900222,0.647516668,-0.772386253,2.32016516,0.618163645,-1.15822208,2.44584632,0.657151163,-1.13074613,2.317162,0.86752367,0.0338836052,1.90758574,0.364207119,-0.27794,2.126906,0.430564731,-0.217507944,2.11058235,0.795204461,-0.250792533,1.93942821,0.8267697,-0.274707377,1.80400014,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.2445395,0.591401,-0.325488836,2.282733,0.7524864,-0.118637577,2.07268071,0.9025512,0.08298411,1.85055137,1.044255,0.141892761,1.80849469,0.703245759,0.09743689,1.8623898,0.4850309,0.05373089,1.99000752,0.360391527,-0.143336579,2.068221,0.38389352,-0.21321018,2.09051657,0.981893957,-0.09597862,1.9632895,1.07553864,-0.316525578,1.99659777,0.8577318,-0.2782502,1.86431313,0.8446013,-0.269199282,1.90390766,0.5140465,-0.2683641,2.240107,0.3930164,-0.567441,2.3089962,0.2002713,-1.036005,2.53212786,0.2283093,-1.08316779,2.36991858,0.648784,-0.371877223,2.249557,0.6475954,-0.773795366,2.320636,0.6186066,-1.15810323,2.4504416,0.6572052,-1.13465309,2.32115173,0.866885662,0.03339121,1.908235,0.361740917,-0.278819859,2.12815833,0.4251605,-0.223265737,2.10754561,0.7918174,-0.253521681,1.95147061,0.816930354,-0.287744373,1.77252924,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.2765408,0.590943933,-0.326088548,2.28328466,0.7514241,-0.119286694,2.07336426,0.900772035,0.0824696049,1.85136616,1.04230618,0.141681656,1.80938041,0.7021713,0.0965164155,1.86296415,0.483039171,0.0530705824,1.99075985,0.357086241,-0.143915728,2.06737041,0.3825874,-0.214011252,2.09107947,0.9810148,-0.09602081,1.96364427,1.075943,-0.3161548,1.996164,0.8576437,-0.277963638,1.86469591,0.846065342,-0.2673565,1.89995122,0.5137016,-0.2688276,2.24043512,0.392547548,-0.5670751,2.309007,0.199175775,-1.03500259,2.53288579,0.227522448,-1.0822053,2.37075281,0.648270547,-0.372563839,2.25032735,0.648153245,-0.7747037,2.32047987,0.618188143,-1.158425,2.45164776,0.6571318,-1.13445556,2.32256365,0.865286231,0.0328148,1.90902,0.355715156,-0.274304032,2.13241935,0.426291168,-0.2221166,2.11191416,0.7954309,-0.251800269,1.93696582,0.8142085,-0.293644756,1.77210009,-0.0138705587,0.976114333,-0.21681419,1.65599179
0.3105421,0.5902642,-0.326832265,2.28388238,0.750204563,-0.119758256,2.07389116,0.898893237,0.08243249,1.85182059,1.039608,0.14241454,1.80939865,0.7005624,0.09584701,1.863301,0.479981661,0.0520466864,1.99148953,0.3820583,-0.15655686,2.0753088,0.385278255,-0.237979218,2.10997844,0.979017556,-0.0960871056,1.96390629,1.07936239,-0.316378981,1.98314643,0.853916168,-0.278340727,1.86478424,0.841726,-0.2679484,1.90177965,0.513055742,-0.2695888,2.24078131,0.392030239,-0.566951752,2.30922318,0.196692854,-1.03365839,2.53392172,0.226828218,-1.08157635,2.37256527,0.64760983,-0.37324512,2.25116849,0.6481708,-0.7755799,2.32068086,0.62461096,-1.16218662,2.44505835,0.659275353,-1.13111115,2.314884,0.8635809,0.0326428674,1.90949619,0.366730362,-0.29963395,2.16059923,0.434270024,-0.23619993,2.13086224,0.7893697,-0.2553006,1.94324064,0.814617753,-0.2879427,1.77664256,-0.0138705587,0.976114333,-0.21681419,1.65599179
