Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
5.67233467,-0.237732574,-0.1159101,2.38091755,-0.221820146,0.0283971,2.08247423,-0.20306845,0.171351478,1.77219379,-0.172072887,0.246928751,1.68953526,-0.358811557,0.137947515,1.90037417,-0.386256039,-0.0841073245,1.92709136,-0.1356859,-0.212592378,1.79362822,-0.07372217,-0.222187817,1.78450716,-0.0342253968,0.156313583,1.942805,-0.00420782669,-0.059814658,1.992743,-0.0437284634,-0.221671939,1.82988369,-0.05136182,-0.22921297,1.78557026,-0.3244642,-0.117014356,2.338675,-0.327596545,-0.4621815,2.0035708,-0.391078144,-0.802581549,2.16434669,-0.3291335,-0.8543514,2.05489087,-0.143712059,-0.1112566,2.35026217,-0.0240456313,-0.484258384,2.07068515,0.02844581,-0.849279761,2.17901349,0.0112542314,-0.867557764,2.05578327,-0.208975688,0.134919032,1.85171854,0.003218507,-0.225420848,1.77707267,-0.062381696,-0.2689626,1.78003037,-0.06785653,-0.255805165,1.77003574,0.00572452042,-0.216702968,1.76504552,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.7059083,-0.218713254,-0.203235671,2.34869742,-0.20528765,-0.0315418877,2.06712246,-0.194018483,0.146934092,1.77274513,-0.182309136,0.222164154,1.68900418,-0.3636263,0.107878655,1.90250111,-0.383333921,-0.114846572,1.92905164,-0.122171752,-0.214707136,1.791148,-0.06628484,-0.239583731,1.79802358,-0.0404161066,0.128526211,1.94011915,0.00540269865,-0.08678094,1.98291874,-0.08351016,-0.284756958,1.80166745,-0.139415458,-0.357869148,1.8093822,-0.3047816,-0.203205153,2.30629563,-0.326179832,-0.46562326,2.00499272,-0.379555643,-0.819385231,2.141412,-0.326919883,-0.8520463,2.051634,-0.125861481,-0.196969688,2.3183372,-0.0181707665,-0.49394235,2.06478262,0.0353553556,-0.8612072,2.16564131,0.00435047876,-0.8666141,2.051372,-0.197099149,0.1028644,1.84940946,0.0173914339,-0.218983755,1.78282237,-0.06251079,-0.23768279,1.7505635,-0.162508443,-0.395265937,1.787334,-0.1269361,-0.395402521,1.77812481,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.73745871,-0.240796924,-0.169885665,2.372164,-0.210400477,-0.0296104085,2.0708,-0.195035681,0.124554589,1.770179,-0.193089113,0.192566887,1.68440938,-0.37229678,0.0701602,1.90816617,-0.382106185,-0.153693318,1.93114448,-0.181388468,-0.1989838,1.8231684,-0.111425653,-0.2104923,1.790937,-0.04276063,0.118133739,1.93790793,0.0101143094,-0.0942858,1.98452914,-0.04118622,-0.2066016,1.78553712,-0.07072075,-0.2427935,1.80060256,-0.330540776,-0.179463521,2.323363,-0.330172747,-0.5257789,2.024993,-0.39142555,-0.877507865,2.161904,-0.3194207,-0.8519122,2.045224,-0.142403513,-0.154740214,2.34839487,-0.01773688,-0.497025579,2.06404734,0.04735437,-0.867336452,2.1483655,0.00145941973,-0.868193,2.0429337,-0.199343681,0.09146785,1.8489089,-0.0407234281,-0.223624066,1.76638389,-0.06374746,-0.2606782,1.77905869,-0.0774874,-0.339253515,1.82731724,0.00722687924,-0.237016439,1.79240024,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.77253246,-0.241549462,-0.0232602637,2.41188669,-0.215835437,0.03863982,2.09845471,-0.191828609,0.111514859,1.77161193,-0.1962552,0.1744867,1.68426681,-0.373131,0.0588044859,1.908562,-0.390867621,-0.163417727,1.935947,-0.1474296,-0.219412833,1.79587054,-0.08034392,-0.223415181,1.776183,-0.05840352,0.08201786,1.941654,0.04027271,-0.1133352,1.98750293,-0.04057026,-0.210328743,1.78562725,-0.06862731,-0.226043612,1.77600276,-0.332652062,-0.0348568,2.37367415,-0.319028765,-0.39713788,2.05308962,-0.385866344,-0.7465362,2.19527531,-0.339503855,-0.812729359,2.08429384,-0.143113256,-0.0109568173,2.377112,-0.03919103,-0.3991657,2.112735,0.0186753087,-0.7694292,2.20425868,0.00673603173,-0.831858754,2.080893,-0.198567182,0.08988671,1.85060787,-0.0299636666,-0.227386758,1.77342832,-0.0572076738,-0.27164942,1.77411759,-0.109725185,-0.243930116,1.76466024,-0.09972032,-0.263571233,1.78042865,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.806089,-0.234321043,-0.0268502217,2.40909886,-0.206338644,0.03694255,2.096848,-0.1745115,0.10459885,1.77209091,-0.19737269,0.168148369,1.684239,-0.376423776,0.0537370555,1.91116107,-0.410819679,-0.163940668,1.94787276,-0.219987527,-0.2175762,1.816783,-0.10327857,-0.228168622,1.76808214,-0.02693551,0.0277983248,1.95981336,0.09576942,-0.151806518,2.00776768,0.05400884,-0.345285118,1.888904,0.0154159116,-0.406760365,1.8584733,-0.326186448,-0.03354521,2.37033343,-0.3177756,-0.3962596,2.050114,-0.385198057,-0.7471332,2.18878436,-0.338360459,-0.8147052,2.07951021,-0.133201078,-0.0223566331,2.37436652,-0.0445769764,-0.305182278,1.98641324,0.0186074357,-0.7699007,2.11068916,0.0009996886,-0.865001142,2.035818,-0.183335125,0.08663832,1.85320926,-0.04087282,-0.209980413,1.767387,-0.08715493,-0.275025755,1.76945007,-0.0005834362,-0.4789961,1.820953,-0.048435472,-0.4105775,1.88599992,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.83866262,-0.228528187,-0.216435224,2.364325,-0.193254039,-0.0460666269,2.07508159,-0.1662789,0.112454735,1.77262068,-0.197439,0.1681416,1.68419623,-0.377140075,0.0555603728,1.91092145,-0.447846681,-0.154056326,1.941479,-0.205419555,-0.238249928,1.76279736,-0.154527217,-0.236295715,1.74901438,-0.05595883,0.0891324058,1.93630731,0.09247599,-0.0646442845,1.99722779,0.139377818,-0.338806719,1.92558849,0.13681978,-0.410301983,1.90585434,-0.310985178,-0.218265414,2.32370543,-0.3179079,-0.471852422,1.9905833,-0.384511381,-0.8220296,2.129719,-0.3182543,-0.856547534,2.03534579,-0.139032,-0.207949713,2.33225083,-0.05715937,-0.3372528,1.95117331,0.005139631,-0.7552916,2.11770272,0.00300601334,-0.850339532,2.03700066,-0.17725502,0.08430567,1.85244691,-0.0946259,-0.227910727,1.7411896,-0.119282916,-0.28018865,1.76350033,0.136163369,-0.477044016,1.89190006,0.107295468,-0.438046277,1.840143,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.874763,-0.236160189,-0.198472649,2.36206555,-0.1942659,-0.0240200255,2.07504,-0.148157522,0.15856804,1.77666461,-0.199409321,0.171459734,1.68466866,-0.376945734,0.08111372,1.90240932,-0.496575177,-0.108530119,1.91263342,-0.343498,-0.220703363,1.77711964,-0.247249156,-0.231997237,1.72293437,-0.0501471758,0.10483934,1.93740618,0.125312924,-0.005700278,2.025882,0.216653854,-0.2318468,1.99114037,0.244779035,-0.320657283,1.98308218,-0.314925879,-0.201575562,2.31964064,-0.324782223,-0.5024821,1.978076,-0.393531144,-0.840192437,2.14127541,-0.335752547,-0.8553243,2.0329082,-0.150833935,-0.188561276,2.33194733,-0.06567856,-0.328856826,1.97006381,0.00690205442,-0.7763967,2.12008357,0.08050114,-0.841917932,2.039731,-0.164641112,0.107984111,1.8533417,-0.189636573,-0.253506064,1.69304037,-0.230931118,-0.299221843,1.7508,0.28135702,-0.391771525,1.99251747,0.226129964,-0.3406816,1.93373358,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.905313,-0.238002688,-0.181071,2.35400486,-0.198012635,0.00302545843,2.07116151,-0.1554295,0.1819711,1.77750719,-0.2109474,0.224405169,1.68653393,-0.3795716,0.111920655,1.88946891,-0.5412854,-0.04520424,1.8651489,-0.377412,-0.175589383,1.70169508,-0.314652741,-0.206008,1.67188859,-0.04754351,0.159294292,1.93814337,0.140368283,0.0962702855,2.0570786,0.31287235,-0.151497379,2.05848765,0.3371275,-0.199209049,2.06438112,-0.3145171,-0.186754659,2.30981636,-0.295131922,-0.362461984,1.93786609,-0.380437434,-0.7766156,2.11119676,-0.339733183,-0.8556464,2.03187084,-0.154570863,-0.169237539,2.32558346,-0.06804309,-0.325826943,1.97197044,0.0107413121,-0.776416242,2.11880565,0.0866222,-0.8403056,2.039543,-0.1681118,0.1397085,1.85323679,-0.248319775,-0.22540994,1.60968339,-0.3102598,-0.2710685,1.6925714,0.374933332,-0.2503471,2.07199621,0.338568032,-0.237599418,2.01042867,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.938432,-0.20285815,-0.139647588,2.33939242,-0.189562157,0.0398433879,2.06564951,-0.171023339,0.225015223,1.7773819,-0.210034549,0.27913174,1.68602359,-0.3696921,0.164377362,1.87658918,-0.5609492,0.0627255142,1.79719317,-0.473121524,-0.0965448245,1.650672,-0.396514237,-0.14468579,1.60301423,-0.04562516,0.2237955,1.93797112,0.169855937,0.202510983,2.10184288,0.348299056,0.0348669328,2.13077068,0.38698104,-0.009170205,2.13431668,-0.276706547,-0.154175311,2.29072547,-0.303474158,-0.362522334,1.97092986,-0.381528348,-0.774911046,2.11038518,-0.342115164,-0.857445836,2.0288415,-0.122698583,-0.12076968,2.31513977,-0.06879846,-0.278536558,1.98342311,0.0138767967,-0.7843327,2.0985384,0.09069379,-0.8513339,2.027375,-0.175061613,0.1766586,1.85180831,-0.3566599,-0.1851076,1.54611683,-0.3955337,-0.21742484,1.65742862,0.441397429,-0.0727331,2.1617825,0.4076173,-0.04148557,2.09858346,-0.00640165,0.9999795,-0.000190254781,0.9629589
5.97250271,-0.210646674,-0.07452751,2.34774113,-0.225881189,0.1073563,2.065201,-0.238790691,0.2844916,1.77020371,-0.20779261,0.349519849,1.68375337,-0.3613715,0.222498372,1.8784287,-0.557802,0.173165411,1.763311,-0.5243143,0.01884576,1.59045911,-0.4676654,-0.05007362,1.52275276,-0.0486502722,0.2966067,1.95529556,0.1384018,0.356989771,2.12108541,0.346699476,0.226280019,2.18926525,0.394352764,0.1948774,2.2008388,-0.283923924,-0.0892526358,2.30039573,-0.293203026,-0.3132498,1.99867964,-0.3697097,-0.74934417,2.09561157,-0.3499547,-0.849719048,2.032649,-0.130829617,-0.05748726,2.32209635,-0.0597373061,-0.227205008,1.999997,0.00476994738,-0.7396224,2.100811,0.07166118,-0.8178425,2.03427935,-0.235999957,0.241112813,1.84626043,-0.4420097,-0.09410147,1.47887135,-0.4954453,-0.100928806,1.5355,0.456087857,0.16401574,2.2379992,0.414034545,0.1736236,2.16008353,-0.00640165,0.9999795,-0.000190254781,0.9629589
6.005058,-0.193801656,0.00357173267,2.35061479,-0.21945101,0.184493572,2.069513,-0.2426179,0.3599479,1.776095,-0.203287512,0.427705973,1.691519,-0.345834047,0.303389639,1.86353576,-0.5469334,0.272384048,1.75044811,-0.564682066,0.140427515,1.55634308,-0.5220467,0.0549377,1.46966147,-0.0599643663,0.38989383,1.949971,0.1102409,0.5187785,2.147192,0.2965169,0.412459463,2.2359643,0.343054444,0.386392534,2.248685,-0.263637722,-0.0160655566,2.30284142,-0.293472439,-0.33026135,2.003214,-0.343853533,-0.6986915,2.10547757,-0.3530481,-0.799594641,2.04173923,-0.1179547,0.0230945051,2.32532287,-0.0379743762,-0.209049076,2.000693,-0.00761807756,-0.7264468,2.09392953,0.06525927,-0.7998643,2.0264442,-0.2372888,0.317111135,1.851719,-0.4984807,0.0145364925,1.43789625,-0.5427318,0.0167187843,1.45376468,0.402219921,0.361673564,2.28460479,0.381346971,0.391875684,2.23077822,-0.00640165,0.9999795,-0.000190254781,0.9629589
