Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0299995,0.5829757,-0.163863868,2.23987365,0.74540925,0.0204754546,2.02951074,0.896539867,0.199387625,1.80751812,1.026947,0.2763131,1.76008272,0.704216242,0.204399258,1.8174237,0.487029642,0.1789989,1.945116,0.371231765,-0.006101421,2.0132823,0.358003467,-0.0974758342,2.05524588,0.9891482,0.0325775519,1.90234768,0.99948436,-0.139655158,2.04626179,0.9487189,-0.0495433658,1.7521342,0.9499206,-0.03667122,1.77907717,0.502503157,-0.115790009,2.19139218,0.2715525,-0.42712,2.30655026,0.0713264,-0.795107067,2.47348475,0.007034421,-0.854007,2.32571,0.6431244,-0.206316128,2.21089745,0.652625561,-0.6178273,2.16223,0.6170247,-0.8847971,2.26556873,0.646599233,-0.970665,2.21843624,0.860549,0.155631423,1.86512649,0.32630983,-0.175458729,2.091148,0.416458,-0.0823984444,2.091192,0.936326444,-0.06434746,1.62953544,0.9912357,-0.0426079,1.74250007,-0.017081555,0.986278832,-0.164202124,1.3747766
0.0649997,0.5822906,-0.16357635,2.23964167,0.745031655,0.0204997864,2.02936721,0.8963625,0.1992768,1.80741584,1.02671254,0.276147246,1.75985944,0.7042594,0.204375014,1.817056,0.486748159,0.1790857,1.94455278,0.371130228,-0.0060508633,2.01288629,0.358697832,-0.09711257,2.054218,0.9889969,0.0323664881,1.902012,0.9987726,-0.139528349,2.04609179,0.930490255,-0.115893312,1.76836956,0.943157554,-0.0390660129,1.78678429,0.5018818,-0.115394443,2.19106722,0.271409035,-0.427049577,2.30624223,0.07094151,-0.794745862,2.47349882,0.006590463,-0.8525742,2.325112,0.642389953,-0.206123784,2.21074629,0.652717352,-0.617594361,2.1621964,0.616275251,-0.885364056,2.26707768,0.6472965,-0.970297456,2.2173965,0.860339463,0.155541018,1.86501789,0.328418583,-0.17528221,2.08900261,0.41694957,-0.08332746,2.090959,0.9304623,-0.07045554,1.6166954,0.9837431,-0.03051098,1.78800023,-0.017081555,0.986278832,-0.164202124,1.3747766
0.0975156,0.5799759,-0.163128063,2.23924875,0.7440435,0.02056475,2.02915,0.8961622,0.1991988,1.80732036,1.02659154,0.276084185,1.75988817,0.7041833,0.204238147,1.81684542,0.486304522,0.17914179,1.94385839,0.37535,-0.0347099863,2.01373553,0.364093035,-0.102637179,2.06242919,0.9888579,0.0321923643,1.901919,0.9991554,-0.138923749,2.04490519,0.9269823,-0.116862535,1.76714563,0.934726655,-0.040514145,1.76422322,0.5001015,-0.114647321,2.1906302,0.270913869,-0.427143961,2.30587959,0.0705104843,-0.794705749,2.47346449,0.006059028,-0.8519646,2.32478261,0.639508367,-0.206029713,2.210387,0.6529412,-0.617319763,2.162301,0.6248251,-0.933748245,2.2560935,0.673162639,-1.00983822,2.21550655,0.860010564,0.155469656,1.86489666,0.330652475,-0.1850054,2.09475756,0.419731915,-0.08347537,2.090105,0.930550933,-0.0615438744,1.61494386,0.974879146,-0.0343048275,1.74922228,-0.017081555,0.986278832,-0.164202124,1.3747766
0.1305164,0.580397844,-0.163597658,2.23940182,0.743988633,0.0204821937,2.029133,0.8955729,0.199221328,1.807066,1.02635086,0.276027,1.75989282,0.704101145,0.20392324,1.81670225,0.485989362,0.179197922,1.94361162,0.367963731,-0.00574961724,2.00900388,0.356239945,-0.09522363,2.05441141,0.988724351,0.0320397876,1.90175891,0.9988541,-0.138928935,2.04528117,0.9083639,-0.1203445,1.75487077,0.9355563,-0.0403089859,1.78096747,0.500430644,-0.115196161,2.19084454,0.269814581,-0.427024037,2.30546618,0.0695149153,-0.793844938,2.47460938,0.005406767,-0.850988448,2.325689,0.640057862,-0.206417233,2.21049333,0.6526995,-0.617748141,2.1623342,0.612947941,-0.9293402,2.28318167,0.664673865,-0.9907694,2.20198059,0.8596176,0.155433923,1.86473191,0.3209202,-0.169480234,2.08772755,0.413232416,-0.07665652,2.08898258,0.9179194,-0.06405027,1.622751,0.9827329,-0.0348507762,1.75836718,-0.017081555,0.986278832,-0.164202124,1.3747766
0.1645146,0.579593837,-0.163357526,2.23935819,0.7434532,0.02047396,2.02906346,0.8953341,0.199072063,1.80698764,1.02620125,0.2759954,1.75986826,0.703979433,0.203951761,1.81653845,0.4856369,0.179274976,1.94311893,0.367913544,-0.005606371,2.00909925,0.355543256,-0.0952364,2.05480337,0.9877459,0.03209427,1.90132117,1.00044084,-0.139607534,2.04395914,0.9105695,-0.118189022,1.76660788,0.9305739,-0.04149769,1.76843619,0.499681443,-0.114861056,2.1907742,0.269462258,-0.427093744,2.30514145,0.06884562,-0.7936762,2.47441578,0.004994288,-0.8507222,2.32533455,0.6392453,-0.206264019,2.21046948,0.65281415,-0.6175402,2.162277,0.579513669,-0.9349553,2.35573053,0.6447548,-0.966285944,2.21701169,0.859308839,0.155307,1.864651,0.320819855,-0.173496515,2.087154,0.413064837,-0.0764469653,2.090527,0.933635533,-0.06576138,1.609004,0.9806089,-0.0445396528,1.75550008,-0.017081555,0.986278832,-0.164202124,1.3747766
0.197029,0.57883817,-0.16315794,2.23957062,0.7431598,0.0207881536,2.02954149,0.8956125,0.199693859,1.80808079,1.02614069,0.2761008,1.76007009,0.7034374,0.20535256,1.81834066,0.485424459,0.179189414,1.94318175,0.367801756,-0.005716617,2.00924516,0.353885263,-0.09509595,2.05667973,0.985941768,0.03524986,1.90504742,1.00045609,-0.138110787,2.044844,0.911258,-0.1183203,1.76552188,0.9354675,-0.0436747223,1.76012456,0.498945475,-0.114583448,2.19101143,0.268501043,-0.426671028,2.30534172,0.06846008,-0.793539464,2.474655,0.004914023,-0.8504745,2.325335,0.638516843,-0.2061338,2.21064949,0.6529171,-0.6173579,2.162209,0.623792,-0.9308413,2.26396036,0.6704374,-1.006103,2.20935059,0.8593874,0.155816242,1.86552262,0.3238781,-0.173852056,2.08643627,0.4114164,-0.07320884,2.091066,0.947127461,-0.05211222,1.64035618,0.960365951,-0.04974332,1.69116676,-0.017081555,0.986278832,-0.164202124,1.3747766
0.2300296,0.577093363,-0.163046226,2.23976016,0.7424938,0.02107813,2.03007817,0.8956417,0.200212047,1.809092,1.02573919,0.276182562,1.76024318,0.70248735,0.206511587,1.82004523,0.4849794,0.179041654,1.943171,0.367426753,-0.00572385,2.00964832,0.3534529,-0.0937817246,2.05741668,0.9849138,0.0367741957,1.9068265,1.00061727,-0.138899356,2.04574919,0.9105009,-0.118246563,1.76198888,0.941539049,-0.040365,1.76714718,0.497342676,-0.114279084,2.1911695,0.267804652,-0.4271555,2.30515146,0.06720007,-0.7938062,2.47428751,0.00397157669,-0.8510667,2.32500648,0.6367012,-0.2062103,2.210857,0.65308404,-0.6172968,2.16211152,0.6240096,-0.930599749,2.26435471,0.6701481,-1.0062201,2.209919,0.859229267,0.156249151,1.86635959,0.3191842,-0.175691232,2.09094071,0.4116169,-0.07268021,2.09153867,0.9452671,-0.06494491,1.58758712,0.987282336,-0.041216813,1.75718176,-0.017081555,0.986278832,-0.164202124,1.3747766
0.2650301,0.5746283,-0.162657127,2.2399888,0.741424561,0.0214345921,2.03064561,0.895473361,0.200518027,1.809815,1.02484465,0.276516765,1.760703,0.701635242,0.207026,1.82151115,0.484390169,0.179079533,1.94326615,0.366106033,-0.00474175531,2.0108366,0.351651073,-0.09212777,2.05765724,0.9841985,0.03777928,1.90782845,1.00028348,-0.1394423,2.04684472,0.913970768,-0.117991626,1.76179016,0.9423271,-0.04071988,1.77107608,0.4950312,-0.113622494,2.19135261,0.266951233,-0.427615851,2.30506563,0.0660973042,-0.7938013,2.47483325,0.002922807,-0.8503026,2.32506371,0.6341693,-0.206086516,2.21111035,0.6532539,-0.61697644,2.162127,0.619086444,-0.898550153,2.270739,0.6523851,-0.9810213,2.21414185,0.8588833,0.156556576,1.86702871,0.3185075,-0.1724905,2.0814414,0.409129381,-0.0717423558,2.09138465,0.9407154,-0.05816959,1.67056656,0.966601253,-0.04150476,1.73145461,-0.017081555,0.986278832,-0.164202124,1.3747766
0.2975459,0.5768037,-0.1630343,2.24110866,0.7418044,0.0215800088,2.03129268,0.895227134,0.200992212,1.81045914,1.02263367,0.277555645,1.76179755,0.7006072,0.207742244,1.82280552,0.4822817,0.179228649,1.94451678,0.36441052,-0.005084506,2.011535,0.348528564,-0.0931873,2.059182,0.983532667,0.0386814959,1.90859163,0.996903658,-0.137258917,2.044457,0.916507,-0.118151933,1.75981176,0.939135134,-0.0426753722,1.75641108,0.49641332,-0.114540882,2.192718,0.265525877,-0.4275268,2.304622,0.06459888,-0.793464661,2.474783,0.00145712122,-0.850292,2.32520223,0.6375682,-0.205789223,2.2120707,0.6522762,-0.616990149,2.16205549,0.620063841,-0.9129171,2.27215147,0.6588723,-0.991388559,2.21100521,0.858791,0.156932741,1.86765242,0.316062,-0.172542989,2.0819993,0.406482577,-0.07356712,2.09263754,0.929801345,-0.06408039,1.6424154,0.9904421,-0.0447417162,1.7112,-0.017081555,0.986278832,-0.164202124,1.3747766
0.3305454,0.5743473,-0.161953911,2.24145365,0.74032414,0.0223851148,2.03201628,0.8945431,0.201556742,1.81128967,1.01992726,0.279108137,1.763717,0.6995096,0.2084869,1.82392967,0.480206,0.179682553,1.94595528,0.361497968,-0.00428779842,2.01253533,0.346379071,-0.09042765,2.05939984,0.982655644,0.0397240631,1.9094671,0.9958175,-0.135855928,2.046316,0.911260366,-0.118157364,1.75101626,0.9418597,-0.0438302159,1.7682538,0.4940156,-0.113355108,2.19309187,0.264354765,-0.427439243,2.30447817,0.06309833,-0.7927225,2.4755528,-0.0002892539,-0.849220037,2.32590652,0.634964943,-0.204830021,2.21235633,0.65195173,-0.615893543,2.16211152,0.619280636,-0.901373565,2.26586,0.6539946,-0.9842459,2.21510029,0.857915163,0.1575664,1.86848831,0.310738653,-0.167968825,2.079896,0.403048933,-0.0728695244,2.09349346,0.9274889,-0.06710825,1.6437583,0.9868239,-0.04601138,1.74414289,-0.017081555,0.986278832,-0.164202124,1.3747766
