Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
5.46385336,-0.111658521,-0.3581518,2.60950851,-0.03515023,-0.197280288,2.286486,0.04019539,-0.0377746373,1.94967532,0.0360713266,0.0179473311,1.85147321,-0.0601960234,-0.0856177,2.11910081,-0.260159582,-0.1091933,1.98214877,-0.15442735,-0.385825783,2.07482433,-0.142847657,-0.421180964,2.08714986,0.256333262,-0.0267196968,2.07477975,0.1303781,-0.221632481,2.01578259,0.0550631173,-0.407797635,1.88703275,0.00314141274,-0.4767129,1.94879925,-0.194099575,-0.364728928,2.54530144,-0.2111892,-0.677402139,2.32520175,-0.242733821,-0.840482235,2.32521057,-0.132909834,-0.914667,2.24086976,-0.0258676652,-0.340683758,2.59430051,-0.0047866893,-0.6053011,2.2422564,0.132289767,-0.8981215,2.31950355,0.125640556,-0.943261445,2.1935,0.0215944033,-0.07736494,2.036504,-0.111443356,-0.5070753,2.09209967,-0.1459671,-0.451880842,2.01604939,-0.0192203373,-0.5217245,1.92877233,0.0170828979,-0.4429867,1.94400012,-0.017081555,0.986278832,-0.164202124,1.3747766
5.497376,-0.0985948145,-0.351081043,2.61376357,-0.0484988354,-0.176423341,2.26547551,-0.0164730251,0.00134450418,1.88904989,-0.05045464,0.06516512,1.7974956,-0.06323802,-0.08489002,2.11909914,-0.267685473,-0.185448632,2.048504,-0.100987606,-0.3257522,1.9524889,-0.0312275589,-0.320387334,1.91654634,0.253291249,-0.0259919111,2.07479048,0.159595773,-0.237871751,2.015434,0.1470626,-0.468124449,1.982062,0.0741199553,-0.487049848,1.95915186,-0.185677335,-0.3578456,2.55103946,-0.207744539,-0.6481884,2.2232244,-0.261762917,-0.947035968,2.34967232,-0.170043945,-0.949707031,2.2265625,-0.006898394,-0.333419561,2.59671116,0.09442334,-0.696473539,2.26066828,0.115604185,-1.00179422,2.38163424,0.08874512,-0.89453125,2.23828125,-0.0252907071,-0.04139789,1.984437,0.0402868763,-0.359489083,1.88717222,-0.0598962568,-0.329699069,1.9076,0.0592676364,-0.547678769,1.96111023,0.0590503328,-0.5483234,1.954,-0.017081555,0.986278832,-0.164202124,1.3747766
5.53037643,-0.110263012,-0.326969355,2.5520463,-0.0457901955,-0.1655579,2.26058841,0.023438422,0.01675321,1.9448607,-0.0304644182,0.07308845,1.85610676,-0.213474378,0.01379003,2.007514,-0.273109466,-0.201553553,2.055847,-0.116284087,-0.323229879,1.92135513,-0.02616939,-0.328646123,1.87334406,0.2711355,0.0478345044,2.003392,0.216169357,-0.186238274,2.02839851,0.198656023,-0.415519744,1.9853617,0.1473608,-0.4731941,1.96823144,-0.192264155,-0.335522443,2.479764,-0.156847358,-0.456414253,2.050466,-0.233690128,-0.8582275,2.23523617,-0.179106474,-0.9337861,2.230054,-0.02489788,-0.308243662,2.54481244,0.04676817,-0.471760124,2.13618445,0.103964493,-0.8361767,2.30868387,0.0931734443,-0.915650249,2.21840572,0.007044645,-0.0255156085,2.02512646,0.0387925878,-0.3411208,1.863141,-0.0059954375,-0.3664587,1.86483347,0.128957272,-0.5582739,1.95628774,0.17353636,-0.4508538,1.94507706,-0.017081555,0.986278832,-0.164202124,1.3747766
5.56537533,-0.06261693,-0.242360175,2.54383326,-0.00584944,-0.0598789,2.24781418,0.04979204,0.119349338,1.93787968,-0.0358882844,0.09035033,1.84412611,-0.221864015,0.0278509278,2.00582743,-0.331850648,-0.173265621,2.03022575,-0.184778929,-0.2936201,1.88287556,-0.09422277,-0.320248932,1.83077312,0.2621075,0.186563119,1.89666736,0.236402228,-0.0953409746,2.02276874,0.262353152,-0.392169744,1.99101555,0.246720791,-0.469555467,1.984865,-0.133340821,-0.249404937,2.50277448,-0.172524109,-0.459783077,2.113074,-0.231160536,-0.8244515,2.32963133,-0.200827047,-0.933974862,2.24567342,0.0100754043,-0.227710441,2.50507545,0.04815302,-0.4409164,2.116567,0.108734578,-0.864533246,2.2591207,0.0614583,-0.9470792,2.23586369,0.0360993445,0.07517251,2.01797938,-0.0404746719,-0.3386803,1.81441784,-0.07410692,-0.363310218,1.81863141,0.250636518,-0.537262142,1.99286628,0.267870963,-0.461462647,1.97077775,-0.017081555,0.986278832,-0.164202124,1.3747766
5.59689045,-0.07224558,-0.247629419,2.53724027,-0.04149619,-0.0561926,2.21127415,-0.00138006127,0.137211829,1.87800062,-0.0852475,0.146906152,1.79170465,-0.235778585,0.0689121,1.9973321,-0.3870311,-0.10912434,1.97652066,-0.23165372,-0.252454281,1.80766666,-0.177191868,-0.2871146,1.77713311,0.2003627,0.02889484,2.02122474,0.3697107,-0.09261673,2.103465,0.356395036,-0.3103193,2.01040173,0.37269327,-0.3652409,2.01199484,-0.146142587,-0.242825642,2.49559712,-0.171118677,-0.472822636,2.11682534,-0.227346689,-0.8176749,2.33469987,-0.166293219,-0.923554659,2.23669434,-0.00135702523,-0.252077639,2.4948442,0.052639544,-0.448151439,2.09875035,0.101053424,-0.830100656,2.30725527,0.0880122557,-0.912425935,2.22255778,-0.0113224257,0.08955303,1.96394134,-0.100795075,-0.301882535,1.7640425,-0.175209731,-0.329145581,1.76592314,0.3748096,-0.4152518,1.99377811,0.394372642,-0.374079049,1.97957122,-0.017081555,0.986278832,-0.164202124,1.3747766
5.62989044,-0.085932456,-0.25884378,2.50096655,-0.0423913337,-0.0463762246,2.20952153,-3.179113E-05,0.188262135,1.903683,-0.07649494,0.209898829,1.81427991,-0.231408611,0.12262141,1.97804058,-0.414522916,-0.013710686,1.90908837,-0.3221939,-0.154474869,1.73563838,-0.2558598,-0.2098437,1.70269525,0.108060658,0.131382644,2.00958872,0.3169027,0.08963151,2.08403087,0.4323931,-0.111821853,2.06095886,0.462607,-0.188388675,2.06027174,-0.161314875,-0.256052226,2.44856668,-0.166106746,-0.4606952,2.05333638,-0.2245438,-0.8729045,2.22292542,-0.170170352,-0.9395069,2.23624659,-0.0075030257,-0.254583359,2.47588778,0.0596073531,-0.4516474,2.08247471,0.0958595052,-0.820046246,2.30684566,0.0834202841,-0.903928638,2.22490263,-0.0108438507,0.130286515,1.98082042,-0.217278257,-0.247701347,1.67853212,-0.256605983,-0.264150769,1.72133338,0.503813267,-0.245824665,2.037081,0.469946563,-0.205885991,1.99808335,-0.017081555,0.986278832,-0.164202124,1.3747766
5.66389036,-0.07168491,-0.193290234,2.47542048,-0.04363872,0.0437429249,2.18454957,-0.0157879218,0.2752442,1.879414,-0.09881356,0.269461781,1.79265749,-0.2296891,0.187172726,1.96128845,-0.425047636,0.12077006,1.83390534,-0.380996257,-0.05005336,1.66890931,-0.317229033,-0.0806609,1.61955845,0.103155896,0.215741038,2.00352526,0.310176373,0.2335081,2.087672,0.5055618,0.0454659723,2.10329556,0.5387829,0.004352686,2.103046,-0.143690735,-0.18307972,2.44020772,-0.2046251,-0.4162175,2.06753635,-0.24930732,-0.8519841,2.18069839,-0.1887517,-0.9447684,2.22245455,0.00265111937,-0.1972609,2.43070078,0.08541264,-0.411803454,2.05020022,0.114443712,-0.842331469,2.1837635,0.0836299658,-0.8937297,2.22759271,-0.0227098782,0.218434334,1.9583025,-0.27929315,-0.131463826,1.58277011,-0.331203222,-0.1262717,1.63055575,0.589461148,-0.06924223,2.156531,0.5534841,-0.0100088893,2.056579,-0.017081555,0.986278832,-0.164202124,1.3747766
5.696408,-0.0530633256,-0.0784317553,2.48779416,-0.0417239442,0.114153914,2.1910212,-0.0241811946,0.290507674,1.880022,-0.1030301,0.3414263,1.78986979,-0.214503422,0.2557686,1.94449556,-0.41389513,0.243103117,1.80625856,-0.3900087,0.08100371,1.57392812,-0.33713454,0.0474698246,1.52804613,0.09170482,0.3160328,1.99827266,0.2700538,0.413535416,2.08881378,0.486851454,0.273931146,2.15983224,0.540632844,0.223502919,2.16495156,-0.127515823,-0.08029747,2.45095849,-0.2029195,-0.376464427,2.133795,-0.264400244,-0.81366086,2.2359972,-0.209420413,-0.935691059,2.21628761,0.023111172,-0.0740386844,2.44448042,0.08517105,-0.329950333,2.08736014,0.08886479,-0.7639001,2.21621823,0.11423929,-0.8645372,2.13004017,-0.0304846521,0.246201009,1.96006179,-0.296797633,0.012262064,1.48949242,-0.3607334,0.0406253822,1.49797308,0.594031,0.169447377,2.219369,0.560914934,0.217894584,2.11614847,-0.017081555,0.986278832,-0.164202124,1.3747766
5.7314086,-0.0325404555,-0.0116408486,2.47396851,-0.0254463833,0.181582421,2.18082881,-0.0182736535,0.36887604,1.87401664,-0.09044783,0.402892053,1.78173065,-0.210495576,0.338202119,1.92654419,-0.4157639,0.328810841,1.79828227,-0.4538756,0.249572292,1.571987,-0.4016532,0.178045869,1.49009013,0.0869815052,0.4029808,1.99001622,0.272423625,0.57169193,2.10382628,0.462037444,0.450677872,2.18498516,0.5066059,0.413552672,2.20172954,-0.107689261,-0.01397927,2.44280887,-0.1966712,-0.3822036,2.23512149,-0.257958055,-0.7708977,2.35138679,-0.231169969,-0.886282265,2.24822044,0.0436887,-0.008924237,2.42493176,0.0925067,-0.271638125,2.07031131,0.06013383,-0.7028399,2.20551252,0.089809604,-0.802567959,2.11725664,-0.020080993,0.323170662,1.95324588,-0.381566465,0.139469042,1.44491982,-0.437760174,0.170659527,1.50711119,0.5617915,0.379365355,2.24615431,0.520875454,0.425999552,2.1535,-0.017081555,0.986278832,-0.164202124,1.3747766
5.76440763,-0.09604929,0.176464677,2.519692,-0.06648296,0.28430745,2.20787072,-0.0283572618,0.378852129,1.87883508,-0.06716453,0.4518847,1.78398943,-0.185846284,0.374458879,1.96358287,-0.394397944,0.415588737,1.797976,-0.4244303,0.283005834,1.50351644,-0.412116915,0.244565025,1.474771,0.08776425,0.430870861,1.99605918,0.233491153,0.6821792,2.0889802,0.4325657,0.571816266,2.20430732,0.459377885,0.549803853,2.22198033,-0.1866371,0.1574392,2.47315884,-0.1501227,-0.228528887,2.279031,-0.247222543,-0.6710954,2.33259177,-0.219486669,-0.7818175,2.26918983,-0.0024245528,0.189885676,2.48623061,0.09881877,-0.136442542,2.047014,0.03690687,-0.5531369,2.21368527,0.0600508973,-0.665136039,2.14973736,-0.04266162,0.359809875,1.96574283,-0.37152335,0.236914515,1.43892133,-0.443807781,0.2272665,1.46590638,0.498637527,0.528080761,2.24705553,0.473398566,0.5747709,2.1794374,-0.017081555,0.986278832,-0.164202124,1.3747766
