Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0290489,0.3949721,-0.0500443876,2.24592924,0.5767227,0.153824508,2.1113658,0.747756,0.350248337,1.96535444,0.892763,0.430329442,1.93781137,0.5534684,0.338527441,1.94483674,0.330734342,0.278920442,2.03050756,0.193345174,0.07572774,2.04816484,0.157716885,-0.00216880743,2.05406547,0.8371355,0.14927505,2.04445148,0.965669155,-0.02545167,2.05912113,0.9381647,0.09400576,1.86416185,0.9417216,0.0932369754,1.84646916,0.33210054,-0.00214239932,2.19630027,0.164359272,-0.354676574,2.21841335,-0.06483964,-0.7847631,2.2874,-0.101485208,-0.863345444,2.223977,0.443862736,-0.09683092,2.22117567,0.507520556,-0.383129925,2.13687325,0.486976445,-0.816869736,2.18422747,0.50984323,-0.8921051,2.10818434,0.7063683,0.302319318,2.004,0.123173058,-0.07054724,2.07238054,0.198673949,-0.0216213651,2.05885744,0.93995446,0.106230877,1.746518,0.8960572,0.09034062,1.82150006,-0.00502883643,0.9999435,0.009370919,0.9435023
0.0615978,0.394915164,-0.04991757,2.2460835,0.5767355,0.153766856,2.11136723,0.748104453,0.349667668,1.96505618,0.892654538,0.430332929,1.93785882,0.5535202,0.338629544,1.94487548,0.330128551,0.278817624,2.03111935,0.1940548,0.07894307,2.04856777,0.157691389,-0.00122842763,2.05523133,0.837135255,0.149278522,2.044455,0.965736449,-0.0253947545,2.05912614,0.939263463,0.09357722,1.86373007,0.934372962,0.0998984948,1.82781959,0.331932336,-0.002068794,2.19662738,0.180629984,-0.268885255,2.20301175,-0.0388153829,-0.729948044,2.27651048,-0.0378613,-0.8002786,2.15314484,0.443937749,-0.09655856,2.22123218,0.509374142,-0.3997255,2.13689661,0.488272935,-0.8138056,2.184754,0.509268463,-0.890166163,2.10967946,0.7066104,0.3018969,2.003807,0.12499135,-0.07125939,2.07113957,0.196550533,-0.0126465093,2.05680013,0.9118148,0.0997586846,1.7452662,0.890248239,0.0924622342,1.789,-0.00502883643,0.9999435,0.009370919,0.9435023
0.0936664,0.3949151,-0.049913913,2.246084,0.576406956,0.153984368,2.11161637,0.747063,0.350546658,1.96599162,0.892644346,0.4300394,1.93797016,0.5534794,0.338608354,1.94494772,0.3297607,0.278909653,2.03113222,0.193824485,0.0788419,2.04883528,0.156669036,-0.0009659852,2.05420113,0.8371024,0.149279252,2.044465,0.965454042,-0.0255553667,2.059315,0.9387667,0.08706058,1.8600719,0.9355054,0.102543212,1.81811583,0.331895053,-0.00207382953,2.19662833,0.1692328,-0.352693141,2.21450353,-0.06520559,-0.786636531,2.286765,-0.101886727,-0.865271449,2.22366619,0.444048852,-0.09647922,2.22121525,0.509283543,-0.402790874,2.13738561,0.490593225,-0.784123,2.18904781,0.507579,-0.8852677,2.11198759,0.7058263,0.302529126,2.004496,0.124591582,-0.06977537,2.06853867,0.163406432,-0.042478025,2.02837133,0.947676,0.105326526,1.75784719,0.917713642,0.09928731,1.82571435,-0.00502883643,0.9999435,0.009370919,0.9435023
0.1287449,0.394864649,-0.0498774,2.246103,0.5764359,0.153901085,2.1115694,0.7476024,0.3499694,1.96557915,0.892668247,0.4298686,1.93796074,0.5535406,0.33876887,1.94495893,0.330430835,0.2796739,2.030717,0.19368197,0.07897957,2.04883146,0.156432539,-0.00103043416,2.05547762,0.837097645,0.149278909,2.04446387,0.964349031,-0.0262392014,2.06019378,0.939342,0.0865263,1.86083961,0.945317566,0.0937067,1.85351968,0.331736863,-0.00217846758,2.19671917,0.186745748,-0.2688839,2.20300055,-0.03736357,-0.7273698,2.27812529,-0.03640133,-0.7976811,2.15468764,0.444078773,-0.0961485356,2.22116041,0.5087249,-0.392359942,2.137233,0.49113518,-0.78107065,2.188884,0.5083149,-0.8862748,2.112193,0.7061933,0.3021036,2.004204,0.121623911,-0.069932,2.072881,0.1958376,-0.0134537006,2.05488229,0.9518599,0.09763995,1.78006256,0.9058713,0.09452091,1.851111,-0.00502883643,0.9999435,0.009370919,0.9435023
0.1602875,0.394748777,-0.04988709,2.24613118,0.5759222,0.1541269,2.11193347,0.746593058,0.350848436,1.96660841,0.8926887,0.429744482,1.93809938,0.5535759,0.33881703,1.944983,0.329949319,0.2795581,2.03110528,0.193512172,0.0789076239,2.049047,0.155417681,-0.0005099218,2.053993,0.83702004,0.149292335,2.04445982,0.962936461,-0.0270030629,2.061419,0.946063,0.09491101,1.86697507,0.9261676,0.08471217,1.90479875,0.331462264,-0.002384039,2.19682956,0.191285521,-0.26356864,2.20477247,-0.0337039866,-0.7223939,2.27632976,-0.0326687656,-0.792651355,2.15276575,0.444042325,-0.09603569,2.22113633,0.5086293,-0.3897642,2.13627481,0.4910523,-0.780986547,2.188729,0.5083977,-0.886523,2.112455,0.7053546,0.3027548,2.00501084,0.125212952,-0.06873634,2.069967,0.195376366,-0.01211749,2.057878,0.9103486,0.09454987,1.82939267,0.8944597,0.07791051,1.9105,-0.00502883643,0.9999435,0.009370919,0.9435023
0.1943481,0.394736081,-0.0499001928,2.24613857,0.576024,0.153783813,2.111811,0.7472962,0.3496479,1.96596313,0.8927059,0.429685652,1.93824875,0.553477645,0.338756651,1.94514918,0.329706,0.279841453,2.03111863,0.190181047,0.07375513,2.04929614,0.154365808,-0.000348249858,2.054882,0.8369587,0.149281263,2.04449224,0.962442935,-0.0272771437,2.06177354,0.9445303,0.100475945,1.871347,0.928647041,0.09595334,1.85857582,0.3312456,-0.002626625,2.19681931,0.180932879,-0.280819863,2.20449,-0.04178298,-0.739854753,2.27959013,-0.0407667644,-0.8099695,2.15618086,0.44417882,-0.0959108844,2.22116685,0.5082995,-0.388611883,2.1367054,0.4905941,-0.7786674,2.18601537,0.5078553,-0.886152565,2.11309624,0.7058722,0.301807553,2.00453448,0.121998489,-0.06986254,2.06817532,0.195543379,-0.009585015,2.05819845,0.9240346,0.104324616,1.782786,0.9080998,0.0912148356,1.87216663,-0.00502883643,0.9999435,0.009370919,0.9435023
0.2293987,0.3944063,-0.04972842,2.246323,0.5759619,0.153658524,2.11178732,0.747542441,0.3488883,1.96555662,0.892505169,0.42966187,1.93843341,0.5526777,0.3380567,1.9454459,0.3261403,0.2778742,2.031729,0.189880535,0.07376688,2.04933167,0.15277873,0.000770699058,2.05391145,0.8369023,0.149275482,2.04452229,0.962842,-0.027293412,2.06006169,0.938150048,0.09545489,1.8668102,0.923427463,0.09407432,1.83823228,0.33078894,-0.002553539,2.19700837,0.1711134,-0.33099398,2.2126174,-0.06352757,-0.7835053,2.288792,-0.0622655153,-0.853154,2.165661,0.4440319,-0.09561981,2.22131944,0.5078605,-0.387216717,2.13607335,0.49085778,-0.7778079,2.18580627,0.5073017,-0.8856749,2.113363,0.7060058,0.301254362,2.0042634,0.123626783,-0.0680219,2.065143,0.189077213,-0.024557991,2.05276918,0.8959679,0.09670918,1.73329449,0.897648156,0.09544888,1.79060006,-0.00502883643,0.9999435,0.009370919,0.9435023
0.2619402,0.393016726,-0.04929095,2.246858,0.5756147,0.15349409,2.11188912,0.747601,0.3483963,1.9654882,0.892125249,0.429656744,1.93876493,0.5518831,0.337236166,1.94586384,0.3237306,0.27738747,2.03185129,0.189203754,0.07498209,2.0492394,0.151896223,1.32673167E-05,2.055377,0.8368637,0.149251983,2.044532,0.962999761,-0.0273040645,2.05937886,0.938416541,0.09322386,1.86474574,0.9149833,0.09870904,1.7917763,0.3292603,-0.00228858227,2.19741249,0.1732364,-0.294743359,2.20942187,-0.0498451032,-0.753536046,2.28450561,-0.0488834977,-0.8236597,2.161316,0.4430104,-0.09499393,2.22188354,0.508607745,-0.4017853,2.137572,0.489801019,-0.77770555,2.18694568,0.507257044,-0.8856921,2.1133604,0.7059716,0.300885469,2.00423837,0.121882737,-0.07148541,2.06893,0.192137063,-0.0162433833,2.05626822,0.9037841,0.09805835,1.75780845,0.9102706,0.09764703,1.7945,-0.00502883643,0.9999435,0.009370919,0.9435023
0.2939857,0.390386164,-0.046566885,2.24732947,0.5734316,0.155216619,2.11292362,0.745990753,0.349558622,1.96697617,0.890870631,0.429670125,1.93963313,0.551567137,0.337360442,1.94580913,0.323596776,0.277228832,2.03187823,0.186869711,0.072203815,2.0493803,0.14987205,-0.000223062016,2.054744,0.836577654,0.149165317,2.04452014,0.9614695,-0.0275022611,2.06339359,0.9415117,0.0861897841,1.82385981,0.9219446,0.09606742,1.76467276,0.3266274,0.0007762033,2.19780278,0.173644349,-0.280546,2.20810771,-0.04950423,-0.7378395,2.29072857,-0.0485392958,-0.808184,2.16743517,0.44067353,-0.09261444,2.222338,0.5077981,-0.391507119,2.13645768,0.4891026,-0.818917155,2.18272567,0.5105172,-0.8954577,2.10855484,0.7042949,0.3021111,2.005571,0.11914251,-0.07071325,2.068493,0.190997958,-0.0130558945,2.058814,0.9106592,0.0954252556,1.73074865,0.9170293,0.09502523,1.7675,-0.00502883643,0.9999435,0.009370919,0.9435023
0.3275435,0.389657319,-0.0465423167,2.24778748,0.57233274,0.1555346,2.11359882,0.7447104,0.3503408,1.96785855,0.890021563,0.429808766,1.94031429,0.551361263,0.337424755,1.94597924,0.321943849,0.276247,2.0332284,0.186957732,0.07446792,2.04925179,0.148309171,-0.00129916321,2.05424953,0.836269,0.14913255,2.04454756,0.9615867,-0.0273422338,2.0628283,0.9428144,0.0927133,1.85312319,0.9177287,0.0961454138,1.810735,0.3255933,0.000383824023,2.19817114,0.1663422,-0.290371269,2.2094183,-0.0556602627,-0.747278333,2.29571223,-0.0545648448,-0.8174335,2.17238045,0.4401725,-0.0921836644,2.22292423,0.507501,-0.395893,2.13602853,0.4910465,-0.8066183,2.18256736,0.507347643,-0.886492848,2.11234069,0.7030836,0.302743882,2.00638366,0.115762025,-0.06937316,2.06682777,0.187192187,-0.0153689086,2.05136085,0.9058409,0.0992866457,1.750145,0.901782453,0.09170455,1.82224989,-0.00502883643,0.9999435,0.009370919,0.9435023
