Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
4.86126471,-0.07504802,-0.0332656056,2.29195356,-0.0893395,0.136585966,2.02957749,-0.10247615,0.301308,1.7543093,-0.09213851,0.380083621,1.66235816,-0.229150042,0.269795537,1.81809974,-0.432560772,0.2335376,1.7171663,-0.448227316,0.0628187954,1.48631883,-0.4269255,-0.008197164,1.42856753,0.0840677842,0.335265845,1.909055,0.2609717,0.442160636,2.022158,0.4173591,0.299313158,2.084326,0.4556791,0.241323769,2.09349442,-0.142482221,-0.0408335365,2.25182438,-0.197190225,-0.326051325,1.935639,-0.2839138,-0.719896555,2.062169,-0.287373453,-0.8343631,1.97066784,-0.005130823,-0.0245971847,2.25626373,0.0490078144,-0.2560807,1.91697264,0.0574010834,-0.7476166,2.04247379,0.07791492,-0.839378,1.98607552,-0.09940729,0.261085421,1.82552338,-0.382756948,-0.05971653,1.38159776,-0.46881935,-0.0481080078,1.4295001,0.486410558,0.176641539,2.10892487,0.4886315,0.238002345,2.05383325,-0.00502883643,0.9999435,0.009370919,0.9435023
4.89432669,-0.06755986,0.0362264477,2.29990935,-0.07338405,0.213424534,2.043866,-0.07840131,0.3845574,1.7750535,-0.0797107443,0.456480563,1.67834127,-0.2228684,0.351354361,1.80207539,-0.42906487,0.323013276,1.70517,-0.459934562,0.134818122,1.4615128,-0.4567377,0.07885869,1.41948354,0.07266139,0.418007135,1.92524433,0.25422287,0.587577343,2.07063746,0.389795184,0.41818434,2.14671254,0.402959168,0.403090179,2.14336061,-0.132855013,0.0210129451,2.25319672,-0.1974485,-0.288251847,1.96458,-0.309488922,-0.7051662,2.0559926,-0.329583019,-0.820697069,1.97180855,-5.49482065E-05,0.0502418429,2.2707994,0.0534714162,-0.22162728,1.94037247,0.0217556842,-0.690715849,2.01152349,0.07806943,-0.804415345,1.958859,-0.07729546,0.342886239,1.84461629,-0.437763423,0.0255132783,1.38516831,-0.465388149,0.0304416791,1.42128575,0.4058797,0.361049116,2.16944742,0.434687138,0.427127838,2.12777781,-0.00502883643,0.9999435,0.009370919,0.9435023
4.92739773,-0.07596024,0.06848008,2.29251,-0.0765320361,0.254457325,2.034833,-0.07510608,0.4354903,1.76415682,-0.0656708255,0.526674151,1.67416477,-0.20239827,0.407563955,1.81843972,-0.418497264,0.3895838,1.7088846,-0.5009274,0.262541,1.53486967,-0.495029151,0.152556688,1.444367,0.0604989156,0.469298273,1.92591882,0.135238349,0.7362604,2.01373124,0.312955379,0.5804977,2.16600657,0.328435719,0.562740445,2.17133427,-0.142039761,0.05572259,2.24505639,-0.208361089,-0.295637757,2.01795268,-0.33697927,-0.6515491,2.0532012,-0.290963769,-0.740103841,1.9628557,-0.007436309,0.07910536,2.26413584,0.09633707,-0.14579466,1.90914822,-0.0265400466,-0.6374116,2.0061512,-0.01033783,-0.748535156,1.91210938,-0.07571426,0.391582936,1.83412313,-0.488197774,0.08322348,1.40620029,-0.5323746,0.145785779,1.44266665,0.335861862,0.5306734,2.237847,0.363141656,0.5853137,2.15342879,-0.00502883643,0.9999435,0.009370919,0.9435023
4.960957,-0.174686,0.198938847,2.28740549,-0.133892924,0.355306745,2.03553224,-0.0928628,0.504786849,1.77134466,-0.04515574,0.5756418,1.67963028,-0.181711942,0.4607561,1.82793415,-0.418065727,0.448959738,1.73504758,-0.5167119,0.2780843,1.55159974,-0.532111,0.201794371,1.501402,0.07884669,0.564984262,1.91642666,0.14640449,0.815096736,2.01563835,0.285720825,0.6706297,2.21075869,0.291769952,0.6516324,2.22392941,-0.240723014,0.181216314,2.22293639,-0.254163951,-0.207932353,2.066446,-0.381422043,-0.5675321,2.07747245,-0.329224318,-0.6611505,1.99898028,-0.102952361,0.210095808,2.27650023,0.0868495554,0.00226677931,1.948403,-0.08078742,-0.47392264,2.05889273,-0.0445615537,-0.562433,1.9292829,-0.103167906,0.468664527,1.83967566,-0.5247633,0.134775817,1.48032367,-0.569358647,0.191430777,1.49730468,0.290885836,0.6205037,2.26927066,0.327468783,0.677071154,2.21357155,-0.00502883643,0.9999435,0.009370919,0.9435023
4.99351263,-0.185499847,0.278540134,2.27889919,-0.132836223,0.417758852,2.024171,-0.08090619,0.5475242,1.75809324,-0.0170160122,0.602329135,1.669751,-0.160939991,0.5079668,1.82666886,-0.388766348,0.4821599,1.77024412,-0.552160263,0.326839268,1.62825382,-0.574203968,0.235958681,1.57860708,0.08559042,0.60837543,1.9069308,0.179892167,0.809799552,2.08274245,0.2895903,0.693142,2.26738834,0.2968999,0.6769538,2.28356814,-0.245747492,0.270748049,2.22278643,-0.195860744,-0.0853607655,2.04215479,-0.401094675,-0.529494643,2.07426786,-0.400395751,-0.6557667,2.00707841,-0.119175829,0.27715826,2.259958,0.08426075,0.067937,1.94117916,-0.0161307864,-0.377623677,1.95279694,0.0291679576,-0.4765656,1.87931633,-0.09337526,0.518179357,1.82630134,-0.57246834,0.16971913,1.55840337,-0.6135899,0.220254123,1.582909,0.289204776,0.648839355,2.33001,0.3126623,0.6433984,2.26150012,-0.00502883643,0.9999435,0.009370919,0.9435023
5.02909851,-0.155464619,0.430585831,2.32912,-0.103309266,0.4972686,2.04639935,-0.06264197,0.5540794,1.754225,0.00374252675,0.6179008,1.66493928,-0.161135733,0.5163508,1.828203,-0.3944978,0.5127112,1.79760969,-0.571573257,0.364965618,1.710266,-0.6169519,0.2800286,1.6720978,0.09278548,0.552444,1.91748285,0.219018191,0.6986125,2.12353253,0.333174884,0.6589514,2.32803178,0.332632244,0.6481829,2.34283137,-0.235145673,0.412149817,2.27508974,-0.239883766,0.03163678,2.085755,-0.397181451,-0.4635757,2.07814074,-0.369609654,-0.573114157,2.022463,-0.07085074,0.4352497,2.30867457,0.125729069,0.2621118,1.9632479,-0.09126295,-0.1968463,2.0718658,-0.0822397843,-0.3070603,1.95528066,-0.07161937,0.5375209,1.82737494,-0.637918055,0.214035362,1.64687932,-0.659959257,0.258903921,1.68,0.321117938,0.62167,2.387589,0.360624522,0.668641,2.3091,-0.00502883643,0.9999435,0.009370919,0.9435023
5.061648,-0.1354032,0.4587755,2.33116579,-0.09157444,0.5071489,2.04502225,-0.04424669,0.557767034,1.74806428,0.0216425564,0.6185556,1.65847731,-0.161604673,0.5218956,1.8292563,-0.3985525,0.526878834,1.81836033,-0.5957061,0.393057227,1.78983843,-0.654632151,0.313679963,1.77625382,0.105299518,0.561917841,1.91522181,0.241090283,0.694669962,2.12417173,0.346800655,0.6475321,2.32688165,0.370025724,0.619218349,2.357698,-0.221349478,0.430089682,2.27726269,-0.242312148,0.0574011132,2.07143,-0.3259015,-0.452847183,2.00026345,-0.3004073,-0.563053966,1.94852471,-0.04410158,0.475000858,2.31050515,0.1646463,0.30075568,1.97348928,-0.09137814,-0.137957454,2.08239532,-0.08598174,-0.252648532,1.97057152,-0.0562949777,0.5446975,1.82394218,-0.70394,0.247927889,1.78332651,-0.7042739,0.276775569,1.78728592,0.3759765,0.576679468,2.39888048,0.404470533,0.6250289,2.34509087,-0.00502883643,0.9999435,0.009370919,0.9435023
5.094707,-0.13653414,0.537263036,2.32284617,-0.08386416,0.5405575,2.03870559,-0.03844471,0.5564151,1.745127,0.0267268773,0.617146432,1.65533936,-0.163015425,0.5255236,1.8316505,-0.416898549,0.553211451,1.872561,-0.616584241,0.43309176,1.88064373,-0.664185762,0.387931436,1.88619363,0.120792292,0.5649951,1.91638267,0.278060049,0.656657636,2.13252044,0.383538246,0.601108,2.30658364,0.401770473,0.5683523,2.3512888,-0.221605659,0.516338766,2.2711072,-0.241798267,0.135458812,2.081145,-0.3979293,-0.5782643,2.040816,-0.4032257,-0.6392395,1.93228757,-0.04715945,0.541104853,2.300746,0.154676914,0.327178627,1.98352,-0.09827901,-0.112233438,2.096439,-0.0894442052,-0.225995079,1.98257637,-0.05096903,0.547878265,1.82126057,-0.7167127,0.32595396,1.90369916,-0.7059931,0.372018516,1.898143,0.4299976,0.534241,2.40253,0.429742783,0.579343557,2.33325,-0.00502883643,0.9999435,0.009370919,0.9435023
5.128816,-0.13508907,0.5391008,2.32547188,-0.08220282,0.5427341,2.03893971,-0.0323753655,0.5542978,1.74116766,0.0311186146,0.613160253,1.64988565,-0.164552242,0.5295695,1.83552849,-0.422410637,0.587745,1.91837585,-0.6122248,0.4967753,1.97520447,-0.661984563,0.421307,1.9881593,0.133477,0.561573,1.91068625,0.280176044,0.608403563,2.087445,0.39413783,0.559457958,2.25805831,0.419396669,0.5061603,2.3236618,-0.219048887,0.5234894,2.2789855,-0.24106355,0.143506825,2.08710814,-0.342184,-0.211973384,2.17927313,-0.3463912,-0.329207271,2.0743928,-0.04650701,0.5409166,2.30112052,0.155120447,0.3260515,1.98442864,0.0367768258,-0.136786178,2.010508,0.04745858,-0.254761577,1.97071493,-0.0459753126,0.549139857,1.81860268,-0.69974184,0.362965345,1.99922943,-0.6946749,0.4254552,1.99888885,0.446912378,0.466841072,2.38309383,0.450453371,0.508350432,2.311091,-0.00502883643,0.9999435,0.009370919,0.9435023
5.16037846,-0.120004535,0.5178543,2.3421452,-0.07003105,0.5347168,2.045193,-0.0163667612,0.5457772,1.74141335,0.0324828178,0.6071182,1.64714921,-0.1648523,0.5350671,1.84295332,-0.387604445,0.629810631,1.95107079,-0.598413765,0.536696136,2.063836,-0.6340422,0.463799775,2.080266,0.142383531,0.5560527,1.90546715,0.3375658,0.6017782,2.10766816,0.425958216,0.4736043,2.25484276,0.429065645,0.4292574,2.28700566,-0.202481478,0.5074422,2.29474926,-0.2362538,0.154499531,2.05303025,-0.345411,-0.3468183,2.12658644,-0.337662578,-0.451388,2.005838,-0.0333258435,0.510919452,2.31680751,0.154722467,0.2736074,2.00846052,0.0715914443,-0.156742349,1.96748972,0.07823618,-0.274470538,1.92510855,-0.0306809135,0.542806745,1.81997859,-0.650870264,0.3971683,2.09984827,-0.664319,0.5201563,2.115909,0.433732927,0.371687323,2.33513212,0.469233066,0.42301774,2.28273344,-0.00502883643,0.9999435,0.009370919,0.9435023
