Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0019998,0.5266989,0.00671729725,2.21739125,0.695248544,0.222836852,2.07236123,0.852938652,0.431470484,1.915954,0.991669655,0.50627476,1.891036,0.6491826,0.414437681,1.91649389,0.4587059,0.360684425,2.02765346,0.302680343,0.1672413,2.07159948,0.247012421,0.0817111656,2.082452,0.9279221,0.224066675,2.00540686,0.9563654,-0.00129216642,1.95037472,0.9377295,0.1836692,2.07195139,0.933279634,0.245271981,2.11602879,0.456949621,0.0549872555,2.16533685,0.338219643,-0.3787527,2.2210784,0.267299026,-0.807094634,2.340933,0.224850923,-0.8688032,2.287595,0.579459548,-0.0418468229,2.19833374,0.6182132,-0.3737297,2.12583327,0.6146403,-0.7628479,2.171068,0.617911041,-0.8597846,2.101439,0.8151573,0.380407542,1.9571147,0.214850068,0.01653928,2.102021,0.260473967,0.0364060029,2.0685,0.9305176,0.33199203,2.116309,0.866687655,0.266381562,2.07096648,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.0355726,0.5266877,0.006289364,2.21745777,0.6952548,0.222708687,2.0723083,0.8530207,0.4314513,1.91586411,0.9916751,0.5062563,1.89095283,0.6491484,0.4144561,1.91633272,0.458541155,0.3606283,2.02725887,0.3024579,0.167232141,2.070978,0.2463621,0.08128798,2.08241439,0.9279532,0.224005982,2.0052917,0.9581646,-0.0001357693,1.94536114,0.963359535,0.2155671,2.00842381,0.9200085,0.2679123,1.96882153,0.456988871,0.0544399321,2.165591,0.334938169,-0.378300041,2.22185254,0.2671951,-0.807465136,2.34122682,0.22299245,-0.8676255,2.28550029,0.579418,-0.0421771929,2.198279,0.618392646,-0.374049842,2.1261785,0.61340636,-0.762274,2.17074728,0.617508,-0.8594249,2.101615,0.8152094,0.380369067,1.9570334,0.211961567,0.014873175,2.10488486,0.254945546,0.031096153,2.06548572,0.954746366,0.329892576,1.98888254,0.8636826,0.249208823,1.94419026,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.0691239,0.524772,0.007003237,2.21696353,0.694771469,0.222898573,2.0720396,0.8530941,0.4314571,1.91578329,0.991709352,0.5062145,1.89082623,0.649081767,0.414433479,1.91622317,0.458596975,0.360422254,2.02691054,0.301987171,0.16674991,2.07032347,0.247038126,0.08162869,2.08222413,0.925278246,0.223879322,2.00494528,0.958919,-0.00129036326,1.95402932,0.9582654,0.2115553,2.02538657,0.9225105,0.269503355,1.96991658,0.455214,0.0556003265,2.16543818,0.336515456,-0.378069937,2.22146845,0.266714483,-0.808171451,2.34106755,0.2222842,-0.8681029,2.28506923,0.577286065,-0.0418708175,2.19739723,0.64191103,-0.3692603,2.12919474,0.6120276,-0.7601961,2.17039514,0.616445,-0.8577417,2.102475,0.81520766,0.3803937,1.95694184,0.212781534,0.01761127,2.09544849,0.254216552,0.0314693227,2.0656054,0.9234575,0.327401161,1.96831119,0.8610826,0.23326084,1.94690919,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.101679,0.5247878,0.006144394,2.21735382,0.69479537,0.222795621,2.072069,0.853301,0.431568116,1.915736,0.991787732,0.5061953,1.8907367,0.6490399,0.414374739,1.91608047,0.458466679,0.360381454,2.02615452,0.301922083,0.166657209,2.06996441,0.246989176,0.0809702054,2.081057,0.9237623,0.223750979,2.00465655,0.9594844,-0.000163154778,1.9486537,0.9604196,0.212663352,2.01994085,0.921387,0.268564522,1.96959412,0.455295622,0.05445748,2.16633558,0.337612242,-0.3795142,2.22235131,0.265462548,-0.8211064,2.34247661,0.215791032,-0.8755087,2.28073621,0.5772817,-0.042499397,2.19746566,0.6159428,-0.3937545,2.13659835,0.611346841,-0.7739021,2.171285,0.616900265,-0.8699527,2.09972024,0.8153123,0.380428553,1.95691431,0.209912434,0.01766243,2.10095954,0.2552762,0.031788,2.06572914,0.9577806,0.337313384,2.000883,0.8636223,0.245378673,1.94583988,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.1362475,0.525611341,0.004902552,2.21671677,0.695000052,0.222229928,2.07173681,0.8533507,0.4314191,1.91564059,0.9918502,0.5059689,1.89057291,0.648973,0.4143268,1.91594732,0.4582564,0.3601913,2.02576041,0.3016895,0.1665838,2.06926918,0.247091338,0.080590874,2.079218,0.922717,0.223735467,2.00438523,0.9607552,0.0006028902,1.94664311,0.9610214,0.213284224,2.01834774,0.9215968,0.2691024,1.96914828,0.455980569,0.0534056649,2.1656096,0.336702943,-0.3800205,2.22221422,0.2662108,-0.8193563,2.34315515,0.2248781,-0.882305443,2.2920146,0.5782562,-0.0438785367,2.19692373,0.618851244,-0.377365023,2.13324714,0.6115269,-0.760424733,2.1704607,0.61651516,-0.8576783,2.10125351,0.8153821,0.380207479,1.95675743,0.214440078,0.01652104,2.098113,0.279412538,0.06477945,2.08252931,0.9564686,0.336852252,1.99866962,0.863327265,0.244679332,1.94511867,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.1687852,0.5242655,0.005603365,2.2164638,0.694803,0.222363263,2.071602,0.853651,0.43143177,1.915519,0.992098749,0.506122,1.890636,0.6489665,0.414306581,1.91584325,0.457992345,0.3600853,2.02551341,0.301362872,0.166021228,2.06889319,0.245834127,0.07911382,2.079214,0.923921466,0.223603114,2.00434756,0.96102643,0.0003914546,1.94606447,0.967413843,0.219288647,1.99904525,0.9221342,0.2695092,1.97022986,0.455076545,0.05384637,2.16532516,0.33724308,-0.380130738,2.22127414,0.251965135,-0.848625541,2.335709,0.206650928,-0.9079673,2.28125644,0.576434255,-0.0428440347,2.196712,0.6185624,-0.3825013,2.13368487,0.6114113,-0.7622913,2.170125,0.6163395,-0.859909356,2.10210156,0.8154958,0.380242348,1.95665634,0.2153033,0.0139694791,2.092171,0.255124062,0.0271366835,2.06415153,0.935177743,0.3505996,1.98390162,0.865366936,0.2509591,1.94508183,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.2013293,0.5230448,0.00657511037,2.216212,0.6946764,0.222589925,2.07153964,0.854247153,0.431528538,1.91557777,0.992126,0.506096244,1.89057338,0.648969948,0.41430068,1.91578674,0.45773828,0.359980583,2.02478576,0.301324338,0.165780321,2.06840754,0.246076643,0.07801024,2.078032,0.9250615,0.223624989,2.004462,0.9671701,-0.000357576879,1.95704174,0.964656234,0.223492563,1.99160719,0.9187974,0.272186,1.969739,0.4541629,0.0545886457,2.16492486,0.338490754,-0.3796447,2.22218657,0.266071081,-0.8123281,2.341241,0.22154285,-0.8720453,2.28458285,0.5749202,-0.04161853,2.19662952,0.617160141,-0.376662344,2.13269448,0.6096527,-0.8108877,2.163028,0.621523738,-0.9043063,2.08908486,0.8157758,0.3803596,1.95665169,0.212532282,0.0125860646,2.09295154,0.278251439,0.0560415462,2.08290935,0.926257849,0.3598901,1.98019457,0.858493745,0.282237917,1.93458831,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.2358962,0.5241992,0.00527525228,2.215826,0.6951886,0.222200975,2.07145762,0.854835331,0.431476861,1.91573834,0.9922992,0.5060934,1.890564,0.6489641,0.4142884,1.91569746,0.457514673,0.3597517,2.02429485,0.301252753,0.165707558,2.06804538,0.246733934,0.07841541,2.07721138,0.925781369,0.223444059,2.00442243,0.9669082,-0.000806098862,1.95739377,0.930583656,0.197679892,2.05470419,0.9033839,0.248609617,1.96704471,0.455122471,0.0535581969,2.16457653,0.335637,-0.3798819,2.22130275,0.266151518,-0.8119825,2.34063172,0.221248761,-0.8719957,2.28535581,0.5763043,-0.0431891121,2.19619179,0.617283046,-0.38647598,2.13353443,0.6137469,-0.7696776,2.17214775,0.6170914,-0.8667945,2.10228515,0.8163357,0.3802391,1.95672691,0.214895874,0.01512164,2.08742547,0.2531511,0.0269876178,2.05722237,0.908781767,0.275368124,1.95773792,0.852348268,0.226738274,1.95055556,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.2684614,0.5239696,0.005663805,2.2153182,0.6952089,0.22229445,2.07126164,0.855199754,0.431442022,1.91568184,0.9925248,0.506020069,1.89058733,0.648996949,0.4143267,1.91556358,0.457486749,0.3596998,2.02403831,0.301910639,0.16624698,2.06713676,0.246908978,0.0780046955,2.07606268,0.9263241,0.2235017,2.00439143,0.969820142,0.000467466947,1.95284235,0.9652354,0.214819431,2.02042723,0.9230882,0.26942277,1.97036982,0.454871833,0.05414879,2.16370416,0.3352904,-0.3790818,2.221527,0.2664594,-0.8114828,2.34077859,0.222606957,-0.8731471,2.28939366,0.576118946,-0.04295582,2.195937,0.613820136,-0.386324584,2.13333249,0.609371543,-0.806343,2.165992,0.620220363,-0.8996738,2.09067273,0.8165806,0.3802473,1.95662379,0.21452868,0.0141907027,2.08675337,0.2783622,0.0533704273,2.08633327,0.9291605,0.326324522,1.97307837,0.8638302,0.234534085,1.94779325,-0.00546719274,0.9998851,0.0141419508,0.9311263
0.3010252,0.523516536,0.00588301569,2.21505713,0.6951816,0.222273886,2.07124257,0.8556467,0.431023866,1.915952,0.993629932,0.5055434,1.89086056,0.6490139,0.4143244,1.91552079,0.457440943,0.359603465,2.02386713,0.295098364,0.155439,2.06569052,0.244162887,0.0734345838,2.07599139,0.925060332,0.223355517,2.00436878,0.968985438,0.000970843248,1.94957066,0.934265256,0.186660677,2.06769538,0.9165605,0.242812142,1.9688307,0.454305232,0.05449117,2.16309166,0.3349417,-0.378690541,2.22152138,0.26635325,-0.8116856,2.34133863,0.222763866,-0.8736991,2.29050922,0.5757557,-0.0428201929,2.19590616,0.61488533,-0.3783762,2.13232565,0.612734,-0.766696632,2.17225647,0.616314,-0.8648738,2.105348,0.8168183,0.380005419,1.95674455,0.21683538,0.008258196,2.08809328,0.258108,0.0294201337,2.05924988,0.9111123,0.24505,1.96000421,0.9066885,0.240196884,1.947625,-0.00546719274,0.9998851,0.0141419508,0.9311263
