Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
6.801669,0.0166382119,-0.221023247,2.352298,0.00178687158,-0.08313345,2.07340312,-0.00261147879,0.0655053,1.78307891,0.010894388,0.149672329,1.69147587,-0.138403744,0.03205328,1.89591408,-0.162560329,-0.195552379,1.9094193,0.0526448227,-0.227811068,1.82306588,0.123509556,-0.258001536,1.81031,0.1665221,0.05133013,1.89980519,0.192227319,-0.177447841,1.9034822,0.01871577,-0.404007971,1.79978406,-0.03312353,-0.450003743,1.79515624,-0.0619181581,-0.230165467,2.31273222,-0.210734665,-0.419769436,1.96285713,-0.248476475,-0.7461682,2.144773,-0.2390301,-0.825746357,2.06841922,0.09467568,-0.205085561,2.31952882,0.0623272844,-0.5460819,2.00446534,0.113685876,-0.8547774,2.20892787,0.121765137,-0.801269531,2.07226563,-0.00292488467,0.0287881754,1.85391593,0.197942778,-0.262299865,1.7870065,0.164826185,-0.1951151,1.86303568,-0.0811646059,-0.482687056,1.80176628,0.03634234,-0.457390457,1.827,-0.00546719274,0.9998851,0.0141419508,0.9311263
6.83675146,-0.0192494225,-0.18487519,2.359806,-0.027216522,-0.05450296,2.08102632,-0.0345577151,0.07765435,1.79018879,0.0105434237,0.14801313,1.69325542,-0.150111213,0.0540983565,1.89573538,-0.195061818,-0.1718053,1.89740717,-0.004416722,-0.2453162,1.78075635,0.04812525,-0.242722243,1.76939285,0.16541031,0.0634284243,1.90014648,0.2238026,-0.157745466,1.91458356,0.1614706,-0.3286512,1.76460981,0.12059737,-0.286488324,1.77470756,-0.0989436656,-0.189562991,2.315376,-0.213220671,-0.450496256,1.95338655,-0.246991649,-0.7650114,2.15391231,-0.235307783,-0.8257258,2.0645628,0.062534,-0.175813839,2.3311286,0.08879583,-0.265934139,1.85338867,0.09590627,-0.7030296,2.11911726,0.12210153,-0.801461756,2.07303452,-0.0325662121,0.0445453152,1.86439955,0.119568422,-0.276320726,1.74307835,0.0771549344,-0.227396011,1.73527312,0.0987399,-0.278064281,1.75383818,0.130198389,-0.308018118,1.7767272,-0.00546719274,0.9998851,0.0141419508,0.9311263
6.868813,-0.0310569853,-0.1929991,2.358527,-0.0279868357,-0.0543130077,2.081116,-0.0312655941,0.08254842,1.79144359,0.0109189535,0.150595337,1.69475865,-0.152148128,0.06158655,1.89684045,-0.253678322,-0.14529781,1.89216423,-0.0587098263,-0.234591633,1.76454651,0.0137926983,-0.248534173,1.73762286,0.165071189,0.07209174,1.90232635,0.266843021,-0.131176263,1.92363155,0.2191913,-0.3429543,1.83899927,0.178501546,-0.4169081,1.8089143,-0.111546084,-0.198848665,2.312454,-0.211609975,-0.481178224,1.98602569,-0.2500952,-0.8030686,2.174263,-0.233337656,-0.8249136,2.06482768,0.0506598428,-0.182220533,2.33169413,0.0676702037,-0.24889487,1.84950852,0.09188221,-0.661618054,2.14874649,0.114020288,-0.7593218,2.08533978,-0.0311413277,0.0475795679,1.86538529,0.07895784,-0.270878881,1.71521008,0.07374429,-0.2175951,1.76390934,0.143691868,-0.474031985,1.78216732,0.191550538,-0.453857154,1.78170013,-0.00546719274,0.9998851,0.0141419508,0.9311263
6.90136433,-0.09947412,-0.0183277372,2.37312579,-0.0506931469,0.051353544,2.09186316,-0.00496697472,0.11601188,1.79791737,0.00680051651,0.173603341,1.69783163,-0.166049123,0.0985704139,1.89658535,-0.304644972,-0.08592241,1.88192225,-0.165877327,-0.213039458,1.73891151,-0.1013618,-0.238695592,1.69958746,0.161296546,0.087043494,1.91237545,0.308082074,-0.08474689,1.93904233,0.325802684,-0.324072331,1.84110653,0.3166561,-0.4131503,1.81797838,-0.187578514,-0.02045786,2.3220098,-0.173853621,-0.3013311,1.92840528,-0.238022864,-0.7321527,2.13075638,-0.2323359,-0.822719336,2.06430149,-0.008359043,-0.0156377517,2.35162926,0.0619616322,-0.307871282,1.97360468,0.1001666,-0.7451605,2.13473535,0.126192033,-0.8076855,2.07133341,-0.0144166751,0.102587521,1.87419009,-0.045392625,-0.293167531,1.6290561,-0.08199374,-0.294302,1.723,0.317014366,-0.480961978,1.79895842,0.340755761,-0.42186144,1.81492317,-0.00546719274,0.9998851,0.0141419508,0.9311263
6.93643141,-0.04723667,-0.065982,2.37940836,-0.04535565,0.05010738,2.09319973,-0.0196569841,0.153442577,1.80000949,-0.000814892352,0.222130835,1.7013725,-0.173130959,0.105927072,1.89654565,-0.3596307,-0.0266686119,1.85312152,-0.211186469,-0.193608224,1.662753,-0.167252079,-0.2315702,1.63887537,0.15534988,0.1157628,1.924533,0.341832519,-0.007277198,1.960923,0.429751962,-0.217100114,1.880134,0.45482865,-0.2986452,1.85144818,-0.134406552,-0.0739425644,2.335175,-0.17256321,-0.348645151,1.93927,-0.237101749,-0.732875645,2.13142347,-0.230165124,-0.8232479,2.06475067,0.0413578451,-0.0560091771,2.35101223,0.0559223853,-0.369877875,1.98553848,0.10011106,-0.7456689,2.13496065,0.114121109,-0.835628569,2.05112362,-0.02053858,0.119430989,1.87556481,-0.123111956,-0.2564842,1.57387745,-0.126124769,-0.269499123,1.6756922,0.490522623,-0.361769378,1.82678866,0.466442853,-0.2963915,1.843909,-0.00546719274,0.9998851,0.0141419508,0.9311263
6.9685,-0.06403215,-0.0423699,2.38047314,-0.0490866974,0.07224147,2.09728074,-0.0309380963,0.19419229,1.80522978,-0.0106512429,0.262135267,1.70676637,-0.18519026,0.15706645,1.89835715,-0.392579019,0.0830544159,1.81490242,-0.3167363,-0.103453167,1.62355232,-0.275462866,-0.153757036,1.59244,0.1478345,0.178957552,1.93063319,0.350486934,0.101288371,1.99135232,0.5076295,-0.0616338328,1.94406044,0.5730837,-0.153855771,1.92049348,-0.147784635,-0.0543611757,2.335287,-0.191605225,-0.3615127,1.97879577,-0.234979987,-0.7322917,2.13216233,-0.2281091,-0.8241252,2.067185,0.0213035773,-0.0287448913,2.35319853,0.0533304922,-0.352331251,1.99793708,0.1022469,-0.751079738,2.139406,0.158606589,-0.8226161,2.05288744,-0.0368145257,0.170212552,1.88147652,-0.233691826,-0.191086352,1.53044856,-0.260091543,-0.218363076,1.6191,0.627180934,-0.216321141,1.90734351,0.56626153,-0.194964871,1.948111,-0.00546719274,0.9998851,0.0141419508,0.9311263
7.001045,-0.08472553,0.00862203,2.37852359,-0.0546779372,0.137853548,2.10223627,-0.0247852467,0.263251841,1.813793,-0.0220608991,0.3311295,1.71263981,-0.190955445,0.210540622,1.89624655,-0.399936646,0.177065283,1.79009533,-0.364667654,0.0136951655,1.5736202,-0.337770134,-0.03864946,1.53114367,0.1431623,0.2422843,1.93827438,0.348136485,0.241702288,2.02149343,0.54594326,0.127955541,2.007792,0.6308294,0.0548709333,2.0135622,-0.16518946,0.00407301,2.333806,-0.190932468,-0.3396262,1.99882662,-0.234008774,-0.734487057,2.13795471,-0.2268507,-0.826743066,2.06746864,0.000205354445,0.009473426,2.35084581,0.05006509,-0.330979556,2.014969,0.101937428,-0.7514003,2.13953638,0.0950825661,-0.8376286,2.04706764,-0.0322293751,0.232626587,1.88820684,-0.333540827,-0.06972157,1.47907507,-0.331876218,-0.103470281,1.53275,0.695665956,0.0127376737,2.01238847,0.616523862,0.07952108,2.002263,-0.00546719274,0.9998851,0.0141419508,0.9311263
7.03611135,-0.08863101,0.061613813,2.371744,-0.0663758442,0.195220575,2.09817648,-0.0440228619,0.324380368,1.812534,-0.0276400484,0.3997502,1.71369934,-0.19521445,0.280204922,1.8901279,-0.399583846,0.26115334,1.77057481,-0.3961382,0.167976022,1.55119026,-0.37692368,0.114911236,1.48041272,0.131704032,0.321357816,1.94972134,0.3084915,0.410405517,2.0434978,0.571049035,0.2882391,2.09664321,0.629998863,0.250672638,2.10321379,-0.166541174,0.0555909127,2.326468,-0.191560969,-0.298450232,2.00932837,-0.254521638,-0.756564736,2.127606,-0.23402074,-0.832164764,2.065333,-0.008025061,0.06575038,2.34444618,0.0463196263,-0.293351173,2.030472,0.0920554847,-0.7468024,2.1309824,0.0898551643,-0.836697638,2.04465866,-0.04963008,0.292924017,1.88622427,-0.369089,0.06335082,1.40124941,-0.324839771,0.09492862,1.47100008,0.6886849,0.222682178,2.11300921,0.6116827,0.228101373,2.11104536,-0.00546719274,0.9998851,0.0141419508,0.9311263
7.0691824,-0.100099012,0.1359252,2.36594868,-0.07860048,0.270773441,2.09463573,-0.05689403,0.4004784,1.81139016,-0.0299704373,0.475936949,1.71253943,-0.187926292,0.353758365,1.88102043,-0.380687952,0.38175118,1.74394047,-0.431282073,0.295241237,1.5279541,-0.394302547,0.26226297,1.471094,0.128892109,0.42704916,1.95996249,0.29678452,0.573220968,2.09436584,0.509685,0.4628117,2.15123558,0.56623894,0.421560824,2.16421938,-0.175989464,0.121978469,2.31620932,-0.194351211,-0.26722905,2.0386467,-0.303784162,-0.7791754,2.12276936,-0.282958984,-0.8574219,2.03125,-0.0211710576,0.14570488,2.343225,0.054038167,-0.200375631,2.017105,0.06338073,-0.7356277,2.104808,0.136148378,-0.8075771,2.045141,-0.0623605363,0.369008064,1.88444638,-0.385647982,0.238175571,1.428068,-0.3699748,0.2498628,1.44280624,0.6273583,0.367105842,2.220112,0.543601,0.394399047,2.174,-0.00546719274,0.9998851,0.0141419508,0.9311263
7.101733,-0.115360014,0.22412242,2.35857773,-0.0918957,0.351884872,2.09096718,-0.06816788,0.4739608,1.81163728,-0.0217909887,0.5460843,1.71477759,-0.164305314,0.426516,1.87677085,-0.369171828,0.449827045,1.74255085,-0.416939527,0.382504225,1.513171,-0.404124558,0.337879926,1.44217253,0.127409577,0.5419764,1.95632923,0.282261968,0.7049108,2.12316561,0.4656432,0.578107834,2.19799376,0.497432,0.5477671,2.215137,-0.186574057,0.19780229,2.30181766,-0.1894495,-0.204610467,2.0740788,-0.3378706,-0.7025085,2.103628,-0.300405264,-0.7984738,2.04527688,-0.0406602435,0.24356544,2.34310675,0.049318973,-0.114683695,2.03456068,0.0344661735,-0.6959003,2.0589118,0.0796540454,-0.7887127,2.01173258,-0.07415087,0.444490165,1.88367462,-0.405899674,0.295099139,1.380222,-0.352725655,0.310031116,1.40399992,0.534053862,0.504296958,2.253395,0.475774676,0.516077,2.20169258,-0.00546719274,0.9998851,0.0141419508,0.9311263
