Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0160326,0.454392731,0.0127710877,2.1850152,0.6391944,0.209954247,2.05879164,0.815732837,0.4007715,1.92335927,0.9521116,0.47043106,1.90300214,0.6182437,0.393584549,1.895453,0.356781721,0.349606156,1.96414828,0.132418349,0.206753626,1.94405842,0.07018551,0.160274535,1.94652689,0.873440266,0.195378035,2.011502,0.9691973,-0.0168226641,2.04725385,0.9577373,0.0362203643,1.95287681,0.936855,0.09928607,1.92856348,0.3923106,0.05425527,2.13723516,0.217253253,-0.3032057,2.16368723,0.0486309,-0.7591237,2.27803826,0.0515900329,-0.8284608,2.16099072,0.5026867,-0.02940296,2.165316,0.5073258,-0.385340244,2.11969972,0.4778475,-0.827382863,2.16466284,0.511163354,-0.910522,2.060493,0.7730943,0.353908747,1.95895386,0.0196244083,0.107238054,1.96305275,0.0764455348,0.1166662,1.93090034,0.937357068,0.101360552,1.772754,0.97023505,0.08472856,1.8785,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.0490899,0.454620957,0.0125185661,2.18493128,0.639569163,0.209895417,2.0589633,0.8163012,0.4009404,1.92386365,0.952183664,0.4705786,1.90328526,0.6195677,0.393966019,1.896157,0.356794536,0.349423826,1.96415234,0.13254647,0.20627898,1.94373,0.06955878,0.15978,1.94652748,0.8739889,0.1953375,2.01175046,0.967837155,-0.0163309518,2.0529635,0.9567418,0.036270868,1.95746446,0.9344502,0.101005092,1.92796052,0.39264527,0.0540442057,2.13720846,0.197536767,-0.227608219,2.159147,0.05131611,-0.6949533,2.26058125,0.0541822948,-0.7649177,2.14318013,0.5027943,-0.02966402,2.16517949,0.510152638,-0.371847838,2.12445641,0.483810723,-0.869337,2.171852,0.492059439,-0.9010471,2.053484,0.773600042,0.354026437,1.95936441,0.0178181864,0.10480462,1.9666183,0.07309875,0.109918118,1.93116522,0.9431219,0.101556242,1.80514741,0.9663527,0.102033839,1.82150006,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.0816371,0.454955339,0.012409443,2.18485165,0.6399683,0.209909871,2.05917072,0.8167086,0.401078671,1.92439282,0.952206433,0.470679641,1.9035145,0.620391369,0.39397338,1.89646709,0.356878579,0.349343717,1.9641068,0.132882923,0.205864817,1.94375348,0.07059198,0.15918541,1.94623315,0.8745319,0.1951924,2.01197171,0.9674956,-0.0169330183,2.05305982,0.9566022,0.03609674,1.95739889,0.9346884,0.09978334,1.932632,0.392992079,0.05394648,2.1371448,0.207300127,-0.234018862,2.15799,0.0543334857,-0.698760867,2.2606318,0.0572018251,-0.7686113,2.1431818,0.503060162,-0.0297486223,2.16509247,0.511718869,-0.371851563,2.12242126,0.482638,-0.8687001,2.17277265,0.4903459,-0.9009287,2.054553,0.7740017,0.3541469,1.95980954,0.0180042647,0.107357025,1.96146286,0.0753034,0.113073915,1.93156338,0.941480041,0.10394688,1.78806961,0.9918693,0.09122142,1.8615,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.1167082,0.456398547,0.0111366892,2.185123,0.6406071,0.209647015,2.05949855,0.8168802,0.401226282,1.92464161,0.9522602,0.470727026,1.90361571,0.620737433,0.393999934,1.89664841,0.357053518,0.349207133,1.96404779,0.132907227,0.20529516,1.94356322,0.0711155,0.1595916,1.94574022,0.8752087,0.1949818,2.01231837,0.9679748,-0.0174629726,2.052579,0.9568236,0.0352260433,1.95900011,0.9347257,0.101039372,1.94336247,0.394669741,0.05269948,2.13741636,0.207231835,-0.234382719,2.157244,0.05451644,-0.699078,2.26037884,0.05746414,-0.7688519,2.14290762,0.5041682,-0.0309158713,2.16536021,0.505828857,-0.395443529,2.11899924,0.479670256,-0.8206939,2.17412829,0.489888,-0.8984376,2.062352,0.7742424,0.354229778,1.96006751,0.0201514661,0.108474277,1.95924067,0.075101614,0.11450769,1.92917371,0.9151588,0.101446167,1.77517939,0.9632372,0.106516935,1.82344437,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.1497603,0.45649454,0.0109595684,2.185154,0.640766144,0.2096077,2.05959225,0.8170471,0.4013401,1.92476606,0.952348,0.470771581,1.90368652,0.6210826,0.3937387,1.89683044,0.357147962,0.3488971,1.96406114,0.133073047,0.205099136,1.94335878,0.07041173,0.159208849,1.94579816,0.875676632,0.195033386,2.01246166,0.968380153,-0.01760469,2.05211926,0.956405163,0.0358671844,1.95694566,0.9317578,0.100336537,1.93255556,0.394841433,0.05248477,2.13748074,0.210371315,-0.239783421,2.15755224,0.0647222,-0.7058,2.26403785,0.0675770342,-0.7754948,2.146591,0.504195035,-0.0310413036,2.1653657,0.509963632,-0.380456775,2.11903381,0.4783523,-0.813570261,2.17866731,0.5009482,-0.9034601,2.06468034,0.774406135,0.354308754,1.96018839,0.0205004979,0.10204576,1.958895,0.076061666,0.115987308,1.92925847,0.9394925,0.1019172,1.75823665,0.9662793,0.08918164,1.8196665,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.1823147,0.456123829,0.009102737,2.185186,0.6408608,0.2091995,2.05966568,0.817208946,0.401386648,1.924806,0.952349663,0.4707725,1.90368974,0.621652842,0.3937964,1.89701211,0.357247978,0.3487659,1.9639461,0.1331729,0.204972476,1.94333708,0.0703598857,0.160136878,1.94659209,0.8760639,0.194940373,2.012579,0.967624247,-0.0178882033,2.05350232,0.95638597,0.0359765664,1.95746338,0.9324253,0.10137783,1.935721,0.394860744,0.0524983779,2.13750625,0.210582972,-0.239761665,2.15741372,0.06394865,-0.705784261,2.262723,0.06688726,-0.7753738,2.14522314,0.5023353,-0.0386897922,2.16511035,0.5125103,-0.380510151,2.119643,0.4817406,-0.877617,2.16685128,0.4977852,-0.9081075,2.04972339,0.7745232,0.3542887,1.96022832,0.01939482,0.107523374,1.960227,0.07484515,0.112314433,1.93196893,0.9173008,0.100871973,1.76516116,0.96900785,0.0984714255,1.82032156,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.2163819,0.456533968,0.010464035,2.18553114,0.6410888,0.209569708,2.05977917,0.8172714,0.401425332,1.92479634,0.952362,0.470714569,1.90362763,0.621797442,0.393782735,1.89699042,0.357419044,0.348521054,1.96396685,0.1332755,0.20493491,1.94327068,0.07036283,0.1597233,1.94589317,0.8763011,0.194875911,2.01259542,0.96720916,-0.0181163885,2.054022,0.9595089,0.104897991,1.8404547,0.9352581,0.0965894461,1.81356084,0.3948884,0.0542024523,2.13777041,0.212285146,-0.238946259,2.15666175,0.06462253,-0.7045616,2.262352,0.0674459562,-0.7742064,2.14494276,0.503703058,-0.036043,2.16583014,0.5078962,-0.3781085,2.11692429,0.478219032,-0.8278213,2.165877,0.490449429,-0.8985768,2.06344724,0.774619043,0.354380846,1.96023893,0.0184836276,0.105447151,1.961359,0.07400033,0.113942936,1.930074,0.9192998,0.09954118,1.7411238,0.9480536,0.0988149643,1.7700001,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.2494302,0.456620574,0.011500543,2.185705,0.641215265,0.209783271,2.05987668,0.81736517,0.401390284,1.924829,0.9523673,0.470703542,1.90363944,0.6220468,0.3938003,1.89703071,0.3574755,0.348299861,1.96405208,0.133186847,0.204773337,1.94319153,0.07043694,0.160293534,1.94690835,0.8765803,0.194847926,2.01268625,0.9672431,-0.0177729484,2.05581617,0.951925159,0.0241981428,1.98820615,0.92614466,0.109812319,1.96953511,0.394714862,0.05532487,2.13803649,0.217627,-0.240207762,2.14617682,0.0586695373,-0.7011226,2.255766,0.0615068264,-0.770813048,2.138416,0.5042146,-0.0342581831,2.16595268,0.509195447,-0.38768664,2.12479377,0.478779316,-0.8286383,2.16609621,0.488868266,-0.8979163,2.063634,0.7747099,0.354391664,1.96028316,0.0174819529,0.108582757,1.95953488,0.0724725053,0.105327517,1.9359231,0.9375844,0.09710841,1.82474649,0.974792,0.0899586454,1.8778,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.2819756,0.45476374,0.0144987255,2.1855197,0.6409705,0.210389018,2.05997157,0.8174683,0.401351064,1.92491591,0.95248127,0.470635474,1.90366328,0.622339964,0.393876225,1.89699543,0.357776463,0.348199874,1.96414316,0.133367613,0.204747856,1.94317949,0.0704544261,0.160335943,1.94698071,0.8768195,0.194815129,2.012764,0.967153132,-0.0180250965,2.05565977,0.986983955,0.110940173,1.84700859,0.9566098,0.104259372,1.80831182,0.39264968,0.0584667176,2.13788223,0.218827769,-0.238978654,2.14592838,0.06058636,-0.7004446,2.25443625,0.06326517,-0.770216942,2.137197,0.5024848,-0.03075534,2.16568828,0.5090271,-0.388409972,2.12480521,0.4787721,-0.8286628,2.16608286,0.484964162,-0.8955076,2.06067824,0.7747506,0.35442695,1.960347,0.0191909373,0.107565284,1.9612968,0.07562633,0.116287529,1.92893887,0.929059446,0.1011269,1.76863706,0.964346349,0.108360752,1.793917,-0.0131965391,0.9998875,0.00712427543,0.95190686
0.316069,0.455620855,0.01148371,2.18545246,0.641348839,0.20978868,2.06013632,0.8177462,0.401374549,1.92512548,0.9524808,0.4706269,1.90367424,0.622677147,0.393910021,1.89712524,0.358175039,0.348142445,1.96406054,0.13348341,0.204721943,1.94321907,0.06990164,0.160460457,1.94732773,0.876965761,0.194692329,2.01290154,0.9672385,-0.0182157531,2.055653,0.9520229,0.0232010875,1.98902941,0.924394,0.108848847,1.97014928,0.393828064,0.05611028,2.13779688,0.212725431,-0.2975913,2.15741229,0.0500552431,-0.7549669,2.27325487,0.05307299,-0.8239676,2.15610075,0.5029915,-0.0340553559,2.165643,0.5088643,-0.390628457,2.125666,0.47782284,-0.829009235,2.164966,0.499343246,-0.902727067,2.067531,0.775026739,0.354357064,1.96054363,0.0176142976,0.105525233,1.9642601,0.07352107,0.113501087,1.93192554,0.9363072,0.110334381,1.801661,0.953814447,0.131481126,1.96460021,-0.0131965391,0.9998875,0.00712427543,0.95190686
