Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
6.87581539,-0.0496524,-0.0913258642,2.38376975,-0.04265499,0.0204530042,2.07137,-0.0170880873,0.1265546,1.76273084,0.004954788,0.197894052,1.6922183,-0.167913,0.09123514,1.8801496,-0.155054465,-0.142473146,1.85599017,0.109587133,-0.214097351,1.77815962,0.189368859,-0.250519276,1.78909934,0.143618226,0.0860092044,1.90434122,0.1396159,-0.146690637,1.90781128,0.0190526713,-0.277083963,1.74824274,-0.0573118366,-0.3210657,1.77492571,-0.135906652,-0.09027668,2.33237576,-0.191236019,-0.485246062,2.05026364,-0.273108155,-0.827744246,2.19762325,-0.240626886,-0.827671766,2.05430579,0.03571986,-0.09357273,2.35146165,0.08629447,-0.491347849,2.08789158,0.108534507,-0.8723558,2.146305,0.06801619,-0.8409044,2.03739786,-0.0251743682,0.10808529,1.84429181,0.266476929,-0.266844928,1.8136977,0.189060941,-0.2941341,1.76725817,-0.0852444842,-0.351341367,1.7458452,-0.0545664355,-0.2850614,1.77690923,-0.009356809,0.99993664,0.006259956,0.950171053
6.90938425,-0.06017226,-0.170304671,2.35245013,-0.04003533,-0.040629182,2.067188,-0.01932657,0.09539035,1.767283,0.001622049,0.1641039,1.697932,-0.173178777,0.07503429,1.87815773,-0.1591353,-0.1584944,1.85647535,0.02710243,-0.27653268,1.77267325,0.115339361,-0.265195578,1.78379321,0.143971235,0.06155444,1.901503,0.141903311,-0.171112642,1.902863,0.00733241765,-0.273645252,1.733818,-0.05023288,-0.3493065,1.76846123,-0.146383151,-0.161108777,2.309498,-0.207393721,-0.563010037,2.04232931,-0.28333202,-0.891168058,2.21781969,-0.244678691,-0.850616932,2.07904363,0.0280453879,-0.173803836,2.31671762,0.07107551,-0.543043256,1.9965986,0.118763812,-0.836513162,2.2291677,0.08672794,-0.8329406,2.08582425,-0.024963893,0.05528006,1.84576881,0.191145048,-0.309647083,1.77436709,0.06872441,-0.3524892,1.81775,-0.08081331,-0.381073982,1.73606157,-0.0469246842,-0.3136107,1.76559269,-0.009356809,0.99993664,0.006259956,0.950171053
6.94296646,-0.06117282,-0.2284312,2.34243822,-0.04920492,-0.05301711,2.063739,-0.0399488956,0.09765046,1.76631093,-0.002074765,0.153391123,1.69568539,-0.1766135,0.05442938,1.87598646,-0.179924443,-0.179156587,1.85817373,0.0293646473,-0.251635075,1.76738954,0.115812637,-0.272045523,1.776845,0.143189192,0.05796178,1.90035546,0.145799622,-0.174464062,1.90343428,0.09137915,-0.298279047,1.70532966,0.0735384747,-0.3400291,1.64353,-0.144186914,-0.227403864,2.29740214,-0.211544663,-0.637801,2.05014348,-0.2991781,-0.895453,2.30916786,-0.2644975,-0.861633956,2.167593,0.0241468586,-0.218741715,2.30946231,0.08016794,-0.5604844,2.02837372,0.1253995,-0.8903366,2.21086645,0.09479454,-0.8422817,2.07237,-0.0405287519,0.0573305227,1.84374881,0.191318884,-0.296081632,1.7636075,0.154170111,-0.305040926,1.73853827,0.0421562158,-0.3717272,1.61116624,0.0538603961,-0.374671042,1.59784281,-0.009356809,0.99993664,0.006259956,0.950171053
6.976519,-0.0672341138,-0.08867013,2.36918044,-0.0570986345,-0.0215543751,2.07004356,-0.04804367,0.06974042,1.76239765,-0.00706193876,0.139814779,1.69565034,-0.186538711,0.0215866659,1.87337112,-0.229199529,-0.207333356,1.85904133,0.04239117,-0.262720227,1.75389075,0.09966505,-0.289117545,1.762977,0.1422219,0.0514651164,1.89996886,0.1803086,-0.177539825,1.90281236,0.0925057,-0.355083227,1.77215707,0.03281763,-0.398786038,1.78136194,-0.1568521,-0.102061428,2.32553124,-0.191529155,-0.526474237,2.09460235,-0.2990267,-0.8476952,2.26732731,-0.256839931,-0.8341717,2.1260674,0.0246176776,-0.07232864,2.33398724,0.08459806,-0.444985271,2.01952863,0.10857898,-0.788429737,2.18377352,0.08655571,-0.8252934,2.04946852,-0.045170676,0.05171621,1.84282351,0.179306343,-0.276961267,1.75895357,0.0782303959,-0.3470746,1.77875435,-0.008963429,-0.468761533,1.72440636,0.08571931,-0.4344656,1.80333328,-0.009356809,0.99993664,0.006259956,0.950171053
7.010103,-0.0385871381,-0.02648083,2.375447,-0.04988141,0.006544009,2.07392359,-0.05012506,0.06642972,1.76229906,-0.0110130906,0.134209871,1.6958164,-0.191335216,0.0259338319,1.87454271,-0.2624663,-0.195508033,1.84705043,-0.0614393055,-0.272866756,1.74772775,0.0144667737,-0.273230553,1.72941256,0.140062675,0.0456079021,1.90110016,0.20303686,-0.176306129,1.91382909,0.1109028,-0.30534184,1.73448086,0.0642742962,-0.311155468,1.73635316,-0.122817546,-0.0259952974,2.33707881,-0.162416711,-0.4429783,2.08888435,-0.268032849,-0.792613864,2.205994,-0.232300162,-0.8168005,2.069156,0.046602767,-0.0267698858,2.334911,0.0827804953,-0.415836066,2.03835773,0.1131769,-0.7597076,2.20133471,0.0918889642,-0.8081702,2.07314968,-0.0467244573,0.0509481728,1.84283018,0.07891213,-0.299384028,1.71482038,0.02196591,-0.329762667,1.77857137,0.0138797164,-0.286057621,1.70526469,0.05927464,-0.367806345,1.76840007,-0.009356809,0.99993664,0.006259956,0.950171053
7.042652,-0.0468321778,-0.0343428925,2.380633,-0.05336725,0.008899212,2.07643867,-0.05534937,0.06747026,1.76321423,-0.01460474,0.133908361,1.69665027,-0.195630342,0.0310263634,1.87714911,-0.322332144,-0.163523182,1.85355234,-0.084811464,-0.27216202,1.7282387,-0.00140894763,-0.288210422,1.70159006,0.124835327,0.0400829352,1.91515076,0.250981927,-0.153339386,1.92254066,0.2193087,-0.366472244,1.82784534,0.190411747,-0.443957478,1.79758155,-0.131451011,-0.03336906,2.34134364,-0.165575638,-0.448375821,2.088826,-0.259622455,-0.798536,2.21282363,-0.229765892,-0.8178482,2.07277727,0.0393074639,-0.03440636,2.34095168,0.07682422,-0.421661079,2.04229379,0.115722731,-0.765818,2.20298624,0.136672422,-0.7918447,2.06414056,-0.0536555573,0.05286643,1.8443594,0.0630636141,-0.3062504,1.70553231,0.04928154,-0.2584332,1.742,0.1648865,-0.4992092,1.76714611,0.211557314,-0.45959124,1.78259981,-0.009356809,0.99993664,0.006259956,0.950171053
7.076207,-0.08960662,-0.0790122,2.39674449,-0.0675602555,0.00646873657,2.084489,-0.0607079975,0.07619342,1.767071,-0.0250078421,0.143018156,1.7000674,-0.2083641,0.04657757,1.87985778,-0.354027838,-0.13349393,1.8457377,-0.171467081,-0.2606696,1.70277715,-0.08877157,-0.289387763,1.66555262,0.113417611,0.0718956143,1.92134857,0.278549969,-0.08561035,1.94556165,0.331815064,-0.347156256,1.84886074,0.3310835,-0.4132134,1.83281982,-0.169235274,-0.08457237,2.3431263,-0.180334613,-0.491131723,2.07417,-0.259919137,-0.8445892,2.19789052,-0.2239402,-0.8329848,2.054885,-0.007063678,-0.0708571747,2.37156367,0.0568163358,-0.344581366,1.96545684,0.113071263,-0.751421452,2.122989,0.142892271,-0.8036252,2.04662,-0.0609735362,0.05889516,1.84863782,-0.02452004,-0.30840376,1.61897326,-0.08627955,-0.344122559,1.69044447,0.340122581,-0.480464578,1.81305456,0.3597623,-0.424881727,1.839,-0.009356809,0.99993664,0.006259956,0.950171053
7.109787,-0.124910645,-0.0323200524,2.394011,-0.0854401,0.04968936,2.08919978,-0.0480393879,0.134455487,1.77180707,-0.0517899,0.198652491,1.6980058,-0.224633738,0.07798972,1.87462521,-0.3908571,-0.07954719,1.81849337,-0.269400418,-0.22680375,1.67485023,-0.186154112,-0.263829082,1.62907791,0.104006968,0.104193978,1.93845117,0.303691179,0.000592612,1.97587073,0.4261635,-0.208505988,1.91142857,0.451274,-0.293267041,1.8968631,-0.206108764,-0.0373296253,2.34173656,-0.179723367,-0.4033989,2.01329041,-0.241856053,-0.731861949,2.19554758,-0.22370325,-0.7942953,2.07693434,-0.0396268554,-0.026248524,2.36749673,0.0491568819,-0.3454592,1.99973023,0.111744665,-0.7497415,2.12459636,0.140235335,-0.8025658,2.04813123,-0.0576459169,0.114335917,1.853748,-0.138729408,-0.311147124,1.56032932,-0.187273368,-0.321039379,1.65675,0.483398557,-0.347343,1.87095511,0.481978744,-0.326073468,1.88940012,-0.009356809,0.99993664,0.006259956,0.950171053
7.14233351,-0.130957887,-0.008753052,2.39345551,-0.11293824,0.09291046,2.09121823,-0.09215174,0.181721658,1.77622616,-0.06775816,0.247054309,1.704715,-0.229106709,0.123202339,1.87448359,-0.404090166,-0.005888734,1.775054,-0.3064634,-0.170835972,1.62058628,-0.24809444,-0.223022476,1.57961631,0.09753516,0.164004967,1.94994855,0.31175217,0.157201976,2.01694155,0.499351621,-0.07929061,1.99147367,0.5304338,-0.1284136,1.98756468,-0.211449876,-0.0143666146,2.34219551,-0.168795079,-0.3624708,1.99422252,-0.233132318,-0.7095191,2.14233756,-0.22098054,-0.796902239,2.05515122,-0.0462014265,-0.00279529858,2.36591363,0.0455054045,-0.3331857,2.00952148,0.1102862,-0.7508209,2.12568879,0.138676256,-0.802629352,2.04752374,-0.09755796,0.160208941,1.857491,-0.201490536,-0.264432579,1.52952671,-0.2622676,-0.296884924,1.61020017,0.571062,-0.187114358,1.99087346,0.575917542,-0.162903845,1.98827279,-0.009356809,0.99993664,0.006259956,0.950171053
7.175908,-0.1365547,0.0503400937,2.39315414,-0.120731518,0.149602666,2.095548,-0.104128987,0.245348811,1.78490722,-0.0798023,0.311862,1.71242023,-0.2259999,0.189235583,1.869441,-0.415272027,0.131644323,1.73107421,-0.371244073,-0.05274482,1.58520281,-0.3140883,-0.1293877,1.5237205,0.0896576941,0.248979285,1.9536072,0.280668736,0.326560736,2.03605318,0.4783256,0.169489339,2.087239,0.543753147,0.103125691,2.09265327,-0.213256016,0.037544284,2.34206486,-0.1740172,-0.3310401,2.01682115,-0.251739383,-0.766399264,2.107484,-0.2200979,-0.838628054,2.02856255,-0.0553783029,0.06139413,2.36549664,0.04022285,-0.294977129,2.037893,0.109560028,-0.750407338,2.12573624,0.136685848,-0.8028487,2.047636,-0.108428694,0.222092837,1.86505926,-0.280664951,-0.18826896,1.49550354,-0.347225547,-0.167156547,1.53500021,0.5896342,0.0583222471,2.08845234,0.5236275,0.0810616,2.09990478,-0.009356809,0.99993664,0.006259956,0.950171053
