Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
7.800999,-0.09693566,-0.05990996,2.33649135,-0.08527728,0.00545774633,2.058611,-0.07563385,0.05781499,1.77114451,-0.0512871519,0.135392532,1.69925439,-0.2164121,-0.00155236106,1.87297571,-0.138308972,-0.29917717,1.89951181,0.06953654,-0.289420664,1.79343355,0.143021941,-0.305830956,1.81944442,0.09479192,0.0436043069,1.88347948,0.106870726,-0.18230395,1.90573919,-0.008881362,-0.336017519,1.77315867,-0.08810924,-0.371303141,1.81436968,-0.1779539,-0.06924063,2.29705286,-0.217036635,-0.519418359,2.01641583,-0.300944567,-0.8494025,2.13876653,-0.176303238,-0.8509245,2.03104734,-0.0121279219,-0.0492833741,2.30439281,0.0578732565,-0.5230352,2.08035564,0.114488043,-0.869431257,2.17425132,0.154085249,-0.864999652,2.01472,-0.07789529,0.0460311733,1.84505951,0.224396721,-0.313934445,1.81563079,0.157062232,-0.363877952,1.81227791,-0.120152019,-0.4049716,1.78650653,-0.08007465,-0.333895147,1.80651736,0.00174518616,0.99995774,0.00902403053,0.935046256
7.83155155,-0.103865989,-0.197804421,2.31768942,-0.09353732,-0.0755564049,2.04351616,-0.0784202,0.05263346,1.76552689,-0.05678784,0.125231028,1.69099236,-0.219424069,-0.05849843,1.87245214,-0.1325902,-0.338400245,1.89489555,0.0168656651,-0.24672325,1.73734951,0.0977629051,-0.3067395,1.79543293,0.09359935,0.03277992,1.88004017,0.105431281,-0.193217427,1.90132475,-0.00301069673,-0.348083973,1.76375413,-0.07449405,-0.39487043,1.80939794,-0.180697262,-0.208065227,2.27695632,-0.258868963,-0.6119454,1.9684484,-0.292067081,-0.888839066,2.19119835,-0.1918096,-0.859454036,2.05474043,-0.0237979982,-0.181379721,2.28619957,0.06181794,-0.5609658,2.06990886,0.1212218,-0.907773137,2.16003275,0.15385291,-0.8643592,2.014346,-0.08298389,0.0252099745,1.83562493,0.15477322,-0.310430437,1.78654909,0.101133935,-0.325504661,1.7591579,-0.10660252,-0.432125866,1.78399551,-0.0264556389,-0.391489536,1.82440019,0.00174518616,0.99995774,0.00902403053,0.935046256
7.867142,-0.07467281,-0.3404977,2.273,-0.07101234,-0.151132286,2.02328658,-0.07365044,0.0456331521,1.76359594,-0.05993864,0.119799212,1.68955815,-0.219530791,-0.05844813,1.87225282,-0.176370248,-0.348209739,1.87156975,0.0155311031,-0.260476679,1.77031183,0.09787757,-0.293629855,1.8265754,0.0929095,0.021741109,1.876829,0.116134867,-0.202490881,1.9018724,0.007236396,-0.359020263,1.76676238,-0.0465273038,-0.41845414,1.8077004,-0.1441361,-0.337233484,2.240554,-0.270902455,-0.641165733,2.01913118,-0.288176417,-0.9420519,2.21253848,-0.201849669,-0.8804491,2.07425046,-0.002839189,-0.333021373,2.23374915,0.05802684,-0.575423539,2.078341,0.100173645,-0.7901935,2.12215972,0.189027488,-0.8613908,2.01871943,-0.0715754554,-0.00196773419,1.83046877,0.142063081,-0.296101481,1.813041,0.08995438,-0.328978181,1.74723351,-0.08262133,-0.449957639,1.784705,0.007914448,-0.422196627,1.82575,0.00174518616,0.99995774,0.00902403053,0.935046256
7.899696,-0.114247255,-0.152555063,2.34223866,-0.106697135,-0.05711127,2.06409383,-0.0871951059,0.0408457965,1.76920915,-0.0635412,0.113727666,1.69393,-0.225582078,-0.0821961,1.86792862,-0.223741487,-0.310715824,1.83839953,-0.00662880531,-0.3028148,1.75372016,0.04634126,-0.349139661,1.76085758,0.08962495,0.0239907671,1.872662,0.144732416,-0.196806654,1.88439763,0.09820412,-0.399118,1.78065109,0.0525104664,-0.411514759,1.7820667,-0.192287713,-0.174803481,2.29496527,-0.205240771,-0.574664354,1.99229383,-0.320497662,-0.8775068,2.14884162,-0.231488526,-0.8489321,2.00262928,-0.03269408,-0.125600591,2.317184,0.04138078,-0.52127,2.11994123,0.11756108,-0.880627632,2.12268639,0.188863292,-0.85517,2.015336,-0.092859894,0.009495429,1.84386241,0.1308784,-0.3390972,1.73697221,0.04628281,-0.3619777,1.72152734,0.00141764153,-0.479119033,1.78640079,0.0503550433,-0.4493959,1.82916665,0.00174518616,0.99995774,0.00902403053,0.935046256
7.93228436,-0.06708242,-0.08359173,2.34455371,-0.06405121,-0.0145547371,2.06552315,-0.07178989,0.04798734,1.77225268,-0.06406959,0.11394234,1.69405663,-0.240387946,0.007916381,1.87387049,-0.244636714,-0.272010565,1.82737935,-0.0483112037,-0.3541959,1.73240376,0.00361672044,-0.368048519,1.72369385,0.08592783,0.02235466,1.87524533,0.187346816,-0.181640014,1.88345873,0.145926744,-0.3985276,1.81804264,0.07146772,-0.457445532,1.77179122,-0.15291068,-0.08288785,2.31090784,-0.2191065,-0.5017226,1.98559833,-0.29175806,-0.817294,2.14359713,-0.2212412,-0.847923934,1.99503815,0.0208351929,-0.08171071,2.30570149,0.0858153254,-0.473851085,2.082992,0.101681575,-0.8373631,2.12323856,0.183853224,-0.8578112,2.02396035,-0.06765128,0.0312166177,1.84844625,0.07517022,-0.387709558,1.71640348,0.0285342988,-0.402812243,1.663,0.0499452353,-0.544200957,1.77576208,0.100395262,-0.472405434,1.79054558,0.00174518616,0.99995774,0.00902403053,0.935046256
7.96690559,-0.09528234,-0.113702387,2.3457973,-0.06937409,-0.014937982,2.06626987,-0.0646141842,0.0745542347,1.77617848,-0.07066313,0.13510552,1.69654536,-0.241394237,0.0178886466,1.87256563,-0.2785962,-0.22491163,1.80810618,-0.1284894,-0.352158755,1.68133378,-0.0508799,-0.378169447,1.67311549,0.08187873,0.052216582,1.87221611,0.217393935,-0.129429638,1.88961864,0.215330914,-0.394814521,1.8235141,0.1963228,-0.489578784,1.80048072,-0.173464745,-0.1191462,2.30591249,-0.23466289,-0.52283895,2.041434,-0.296304822,-0.873661458,2.11620259,-0.219435483,-0.8473925,1.99543679,-0.0167096965,-0.106814131,2.31366277,0.04755576,-0.5138895,2.01339173,0.131799638,-0.856289566,2.102357,0.193911374,-0.8697079,1.99065828,-0.0671422556,0.0468833223,1.85068417,0.00601638155,-0.402840137,1.632242,-0.04500833,-0.398334384,1.585,0.185189262,-0.5578943,1.78424156,0.222924039,-0.492629617,1.80371439,0.00174518616,0.99995774,0.00902403053,0.935046256
7.99946976,-0.102261528,-0.16425091,2.32226348,-0.09507179,-0.0190497767,2.056466,-0.105952531,0.120307878,1.77106893,-0.087993145,0.1882629,1.69417012,-0.249971464,0.07386091,1.86109412,-0.3810917,-0.107331544,1.79529107,-0.2244217,-0.287180543,1.65079308,-0.151358113,-0.3410794,1.61743975,0.06712437,0.0853806958,1.88675821,0.243635386,-0.0534301624,1.91529894,0.342359245,-0.339196354,1.84589911,0.3569424,-0.3967052,1.83332443,-0.176485211,-0.167922735,2.27559924,-0.230818421,-0.485680938,1.95752013,-0.2810255,-0.808595836,2.11023855,-0.219507709,-0.8476875,1.995333,-0.0248718373,-0.155467138,2.29662943,0.0307555459,-0.4059348,1.98250616,0.108140424,-0.789226651,2.10923433,0.167347,-0.8608844,2.017324,-0.105794117,0.08562319,1.84384942,-0.08838119,-0.381410539,1.58448172,-0.163813308,-0.4064993,1.663,0.392415047,-0.462892175,1.81720734,0.379942626,-0.384419978,1.8428,0.00174518616,0.99995774,0.00902403053,0.935046256
8.033536,-0.107978016,-0.0696768463,2.33680487,-0.108323716,0.0495242476,2.06449628,-0.107551605,0.1612913,1.77914441,-0.103041448,0.23975572,1.70347941,-0.257128239,0.127182379,1.85805607,-0.406761438,-0.0232360177,1.755517,-0.3254996,-0.192300066,1.61403,-0.2535935,-0.256166726,1.55514061,0.06109213,0.150187433,1.892663,0.264379859,0.06573682,1.93833065,0.4235053,-0.170118675,1.91046846,0.4720422,-0.246231943,1.90418434,-0.185359374,-0.0752672,2.29526,-0.217207938,-0.482985616,1.97420955,-0.2805285,-0.8108247,2.11243415,-0.219486132,-0.848611832,1.995873,-0.0272530988,-0.06192671,2.30590415,0.0270850342,-0.388560623,2.000766,0.10621395,-0.782883465,2.11069918,0.142329812,-0.865735531,2.01611042,-0.10805656,0.137302816,1.85346878,-0.200612426,-0.316592,1.51012981,-0.2920987,-0.2932047,1.5682,0.525691867,-0.3046632,1.89657772,0.5255925,-0.2832296,1.90609992,0.00174518616,0.99995774,0.00902403053,0.935046256
8.066606,-0.121842854,0.017086314,2.35067987,-0.117825344,0.122977421,2.07196164,-0.112880781,0.22563751,1.78121936,-0.112726368,0.2977333,1.70237684,-0.256489128,0.18652612,1.85596633,-0.428312123,0.09575524,1.71949208,-0.393635571,-0.0674093962,1.55285263,-0.3308087,-0.1415145,1.4901911,0.059633404,0.212043837,1.90324724,0.2719752,0.208494753,1.96902752,0.49179697,-0.00100903353,2.007506,0.540390253,-0.05524801,2.01752186,-0.1963285,1.99587048E-05,2.30220771,-0.204579711,-0.379965872,1.9815613,-0.293863565,-0.795697749,2.07389975,-0.21593678,-0.8529097,1.99462748,-0.0436235778,0.03362129,2.32669854,0.0304244515,-0.374055475,2.00164461,0.105901994,-0.7825558,2.1103375,0.140033841,-0.8650347,2.014599,-0.114293814,0.2005881,1.856201,-0.290473223,-0.203802332,1.44996607,-0.3764276,-0.178748816,1.51233327,0.600413442,-0.113538906,2.05058336,0.5987852,-0.0787112638,2.04457164,0.00174518616,0.99995774,0.00902403053,0.935046256
8.100163,-0.1283648,0.08595897,2.348025,-0.126238823,0.194402277,2.07041264,-0.123077706,0.2989301,1.78086746,-0.111604162,0.366731972,1.69959152,-0.257783949,0.2590402,1.83715034,-0.44692266,0.219141588,1.69980526,-0.447719246,0.0711930841,1.51562107,-0.398138463,-0.00668033538,1.44163811,0.05942724,0.2959439,1.91271627,0.2695111,0.385264248,2.008044,0.4832219,0.218288943,2.11255336,0.525197864,0.18092677,2.12041426,-0.200186566,0.0653204545,2.29765177,-0.204995841,-0.371188343,1.987664,-0.299298882,-0.7920723,2.07167745,-0.2188554,-0.8550632,1.99396491,-0.0526127368,0.10394042,2.32600713,0.0303904489,-0.330338746,2.02401757,0.09023087,-0.7686334,2.10719681,0.133937135,-0.863626659,2.00735736,-0.124064505,0.273539126,1.8555243,-0.376388848,-0.0671995059,1.37832081,-0.3997844,-0.0417103879,1.37642872,0.5726304,0.137578368,2.13767719,0.573834538,0.178454146,2.0785,0.00174518616,0.99995774,0.00902403053,0.935046256
