Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0210248,0.449101835,-0.0251857862,2.209672,0.6255562,0.187198266,2.07486081,0.7934264,0.3925435,1.92939353,0.930321038,0.465067476,1.90566421,0.597061932,0.3790643,1.91690028,0.3793458,0.3257475,2.00992155,0.27482897,0.12007194,2.01293826,0.28026554,0.03705478,2.03261685,0.8598565,0.191975772,2.01344252,0.9574729,-0.007632706,2.04641032,0.993027151,0.106767431,1.81786358,0.9529679,0.106516719,1.79383862,0.381979465,0.0197213441,2.160344,0.1886284,-0.350508928,2.188372,-0.000406737876,-0.796741545,2.26093,-0.04888375,-0.8735614,2.198772,0.502121,-0.06922055,2.18938065,0.5280021,-0.442202628,2.1401813,0.501881659,-0.8236284,2.17175531,0.5357148,-0.8946229,2.09028769,0.7528624,0.342267781,1.96759677,0.2404439,-0.04281066,2.02852774,0.333712757,0.02451548,2.06023169,0.9420438,0.108238861,1.75340557,0.9556945,0.107472487,1.775,-0.007527905,0.9998584,0.0150517905,0.9254275
0.055601,0.449666083,-0.0253161434,2.20953679,0.626183867,0.18714343,2.07487965,0.7940544,0.3925612,1.92959046,0.9306964,0.465150863,1.90575933,0.5978214,0.379211783,1.91676533,0.379394084,0.325655341,2.0098865,0.275095642,0.119873822,2.01295447,0.281263858,0.03871102,2.03569341,0.8602522,0.192050114,2.01361275,0.9595002,-0.007076993,2.04502487,0.9500259,0.02024757,1.99742138,0.918346047,0.108266048,1.97308207,0.382477283,0.0194808319,2.16011477,0.187675878,-0.3538287,2.1887536,-0.00171072688,-0.7998491,2.26148987,-0.050325498,-0.8759387,2.19759083,0.502757,-0.06924445,2.18934584,0.525399566,-0.4421482,2.13009167,0.5117974,-0.9307017,2.1647048,0.5605049,-0.876930237,2.05462217,0.753495753,0.342268258,1.96775413,0.237145588,-0.03677655,2.036085,0.335165054,0.025079418,2.06174779,0.9289377,0.107025139,1.78748989,0.968001068,0.08055736,1.92800009,-0.007527905,0.9998584,0.0150517905,0.9254275
0.0881451,0.449918449,-0.0248984061,2.20947862,0.6264539,0.187286228,2.07491231,0.794378757,0.392510355,1.92971981,0.931255,0.465251863,1.90623522,0.5980545,0.3792318,1.91683662,0.3796349,0.32535553,2.00999475,0.27540338,0.119527884,2.012861,0.28020075,0.03474228,2.03581357,0.860774755,0.192248985,2.01379013,0.9593138,-0.00731228665,2.04499435,1.00239038,0.112781227,1.80424154,0.93797034,0.102579564,1.719974,0.382543355,0.0195162557,2.160068,0.187402,-0.355976075,2.188976,-0.0026197168,-0.8018716,2.26091075,-0.05132445,-0.8777104,2.1965642,0.5033137,-0.0680114552,2.1893487,0.527114153,-0.4408153,2.129681,0.514128447,-0.9295936,2.16230583,0.561495543,-0.8748939,2.051802,0.7538004,0.342268884,1.96785879,0.236480132,-0.0444750749,2.0478034,0.334533274,0.0239867121,2.06129813,0.9165638,0.101356246,1.69138515,0.933295846,0.102876887,1.70316672,-0.007527905,0.9998584,0.0150517905,0.9254275
0.121714,0.449950576,-0.0248697829,2.209365,0.626552463,0.187330648,2.074891,0.7945957,0.392594874,1.92982054,0.9313859,0.4652398,1.90623879,0.5985285,0.379362255,1.916633,0.379907,0.325481385,2.00947452,0.27564463,0.119703665,2.012882,0.281024218,0.0362849273,2.03396869,0.8608619,0.192314789,2.013815,0.95693934,-0.007441574,2.04928923,1.00179887,0.112011746,1.80669844,0.9494649,0.106415182,1.74910593,0.382589072,0.0195907019,2.159892,0.190660015,-0.352558345,2.1852386,-0.000372128939,-0.797202468,2.26146078,-0.04888841,-0.8738789,2.19895172,0.503324866,-0.0680318549,2.189279,0.532146454,-0.440668672,2.13718462,0.5050541,-0.7989338,2.173892,0.534886062,-0.894673645,2.08774,0.753984034,0.34234193,1.96792221,0.240827352,-0.04300078,2.03291678,0.336285323,0.0221758671,2.05796862,0.9430621,0.103765316,1.73137236,0.9417152,0.0989286155,1.72689319,-0.007527905,0.9998584,0.0150517905,0.9254275
0.1552998,0.4501723,-0.024646949,2.20945764,0.626827657,0.187527463,2.07494974,0.794849336,0.392735749,1.92984593,0.9319541,0.4656252,1.90653288,0.598744333,0.379423,1.916712,0.380069822,0.3255129,2.009396,0.275834233,0.119721219,2.01280856,0.279939115,0.0357628725,2.03516,0.861281,0.192532688,2.013958,0.9594654,-0.00752542634,2.04391551,1.00015664,0.111509681,1.80696619,0.945397556,0.108890153,1.771898,0.3826102,0.0196223278,2.15990281,0.189438552,-0.352229476,2.18567443,-0.0007470549,-0.797382951,2.26148915,-0.04898364,-0.874065757,2.198565,0.503880739,-0.06755058,2.18952727,0.5313746,-0.4403443,2.13798761,0.5009773,-0.8126378,2.16978431,0.536864042,-0.8959218,2.08819914,0.7542496,0.342498451,1.96796,0.239209473,-0.04480467,2.038227,0.335801661,0.03802421,2.06442881,0.93613106,0.109320268,1.7454108,0.930011,0.108605571,1.734,-0.007527905,0.9998584,0.0150517905,0.9254275
0.1888447,0.450230718,-0.02462828,2.20950127,0.6270281,0.187554523,2.07502627,0.795196,0.392754,1.92995489,0.9323035,0.465785354,1.90668273,0.5989527,0.379410475,1.91685832,0.380530566,0.325116545,2.00984335,0.2758653,0.119511344,2.012804,0.279712,0.03581884,2.03544712,0.8617005,0.192568183,2.01418,0.9598013,-0.00753285736,2.04413748,0.9999335,0.111729279,1.80705917,0.9398817,0.103861168,1.722584,0.382752031,0.0197279,2.16000223,0.189339042,-0.355533659,2.18794537,-0.00142823975,-0.7978453,2.262152,-0.0491161235,-0.8743328,2.19784832,0.5038925,-0.067585215,2.18954468,0.5306677,-0.440461963,2.138477,0.50283283,-0.818234146,2.17061234,0.536831737,-0.8959109,2.088191,0.7545634,0.342520356,1.96806562,0.238426134,-0.0426478,2.03832245,0.334784865,0.0279428475,2.06143,0.922552645,0.09976377,1.66382623,0.917755842,0.09900171,1.651,-0.007527905,0.9998584,0.0150517905,0.9254275
0.2218986,0.450163871,-0.0245087817,2.20956755,0.627085149,0.187638208,2.0751462,0.795425951,0.392812163,1.93021953,0.9326509,0.465842873,1.90702939,0.599124,0.379513264,1.91708148,0.380622953,0.325051755,2.009975,0.275933057,0.1194536,2.012852,0.261450022,0.0218660384,2.02117085,0.861955,0.192684844,2.01444817,0.9607913,-0.00736647658,2.042963,0.990920663,0.104324333,1.828144,0.935939133,0.08762348,1.92706454,0.3827058,0.0199644677,2.16006851,0.194002554,-0.3492349,2.18291068,0.000685031468,-0.7928702,2.260523,-0.04695548,-0.8708107,2.2002492,0.503781557,-0.06756531,2.189614,0.5299134,-0.4405237,2.13927174,0.5024767,-0.817537844,2.170578,0.5362822,-0.8954009,2.0886724,0.754744,0.342589438,1.96829212,0.244012073,-0.0577381365,2.03923583,0.304328144,0.0212634038,2.03050017,0.907246768,0.09833955,1.83845007,0.9327209,0.103999019,1.79166675,-0.007527905,0.9998584,0.0150517905,0.9254275
0.2549626,0.450169623,-0.0245113075,2.20957017,0.6271759,0.187644482,2.075189,0.795639753,0.39283964,1.9303546,0.9327759,0.465896249,1.90712738,0.599374354,0.379530221,1.91706264,0.380684018,0.3247618,2.01014948,0.27590102,0.1191972,2.01280332,0.263304919,0.01698793,2.02117825,0.8622,0.19285658,2.014512,0.961283,-0.00721836044,2.04235864,0.9902501,0.103942305,1.82896376,0.956751645,0.105600394,1.80478835,0.3827234,0.0199658126,2.16005659,0.192425579,-0.352050215,2.184214,-0.0007046352,-0.795968533,2.26102614,-0.0484278537,-0.8733447,2.199284,0.503776,-0.0675926059,2.18962669,0.529859066,-0.4405649,2.13966322,0.501792431,-0.8148492,2.17197847,0.536093056,-0.8950591,2.08877778,0.75492835,0.342610776,1.96840417,0.2550655,-0.06553364,2.03116965,0.307489634,0.0205673389,2.03398132,0.961262047,0.108943261,1.73799884,0.976536632,0.104258731,1.73900008,-0.007527905,0.9998584,0.0150517905,0.9254275
0.2885143,0.450157166,-0.0244558584,2.20956564,0.6272585,0.187706,2.075228,0.7958899,0.392904848,1.93048823,0.9330516,0.4660748,1.9072578,0.5996876,0.379671633,1.91704106,0.380639881,0.3249823,2.00991178,0.276014268,0.119353347,2.01281476,0.263968,0.0165617578,2.020545,0.862311959,0.1929395,2.014615,0.961470962,-0.00735530071,2.041321,0.9847193,0.102800563,1.82612264,0.9376886,0.08736476,1.9078573,0.382717967,0.020087678,2.16004658,0.191802725,-0.348163754,2.18650174,0.0004146804,-0.793479,2.260635,-0.0473892279,-0.8714087,2.2006433,0.5037537,-0.0675880238,2.18962216,0.5298395,-0.440570027,2.140058,0.5014384,-0.817321837,2.172035,0.535851061,-0.89502126,2.088854,0.755132854,0.342678219,1.96851265,0.2512514,-0.0646392,2.03373218,0.305254251,0.0119217383,2.02763152,0.932374239,0.0994117856,1.81352091,0.957608342,0.08708985,1.87044442,-0.007527905,0.9998584,0.0150517905,0.9254275
0.321068,0.450240731,-0.02445581,2.20963669,0.6273526,0.187721968,2.07528281,0.795945,0.392924368,1.93051255,0.933249,0.46615994,1.90739608,0.5997947,0.379769534,1.9170295,0.38066265,0.324959934,2.00995,0.276133627,0.119269304,2.0126574,0.264035851,0.0174213611,2.018527,0.8625546,0.19298254,2.0147357,0.9604085,-0.00754595036,2.04345226,0.9801947,0.101772964,1.82856512,0.932836652,0.0880461559,1.88812566,0.382789,0.0200884454,2.16009712,0.192192,-0.346898049,2.18642044,0.0009531368,-0.7924964,2.25952339,0.00196931348,-0.8641113,2.1354754,0.503822148,-0.06761639,2.189703,0.54310286,-0.439033926,2.13729978,0.5170988,-0.928141356,2.16568184,0.558145642,-0.878069,2.04905844,0.7552003,0.3426978,1.96854627,0.25529,-0.06437654,2.02608442,0.304882467,0.010427786,2.02321076,0.9330914,0.106297836,1.79524255,0.9595939,0.09261423,1.85015392,-0.007527905,0.9998584,0.0150517905,0.9254275
