Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0270646,0.474457026,0.00432978151,2.20091653,0.6401031,0.203311041,2.06291723,0.7969885,0.39527145,1.91450369,0.940323532,0.462315917,1.88920176,0.6101515,0.377539247,1.89246273,0.4013223,0.268038929,1.9677825,0.34885788,0.003990906,1.95187628,0.3381653,-0.06327514,1.956807,0.859944,0.201835454,2.00310683,0.9651184,0.0003668227,2.029712,0.9601801,0.0610942319,1.87385368,0.9363445,0.09629777,1.84308374,0.405616969,0.04801895,2.14799666,0.217820868,-0.241648868,2.171069,0.0627456456,-0.6919392,2.25596547,0.06473311,-0.768604159,2.13601947,0.5286259,-0.03955945,2.18578839,0.511242867,-0.384693921,2.13961744,0.4894687,-0.790947,2.1839447,0.449661285,-0.8864538,2.06567216,0.759185851,0.348465323,1.953514,0.352570236,-0.141689852,1.95961428,0.29263407,-0.07240758,2.03887486,0.9102364,0.099586,1.7422452,0.9474533,0.09706991,1.78275,-0.00526991254,0.999948442,0.008678446,0.943222165
0.0601296,0.47351703,0.00505116,2.201212,0.6397635,0.2034019,2.06289864,0.7968394,0.3951226,1.91435194,0.9401597,0.462152034,1.88907075,0.6100297,0.377473176,1.89236319,0.4015199,0.26775983,1.96716511,0.3485365,0.003920715,1.951466,0.337743223,-0.0629685149,1.956296,0.859869242,0.201775789,2.003063,0.964807868,0.000286198367,2.03016973,0.9446358,0.108550809,1.81687212,0.9310509,0.09312168,1.83282745,0.404712051,0.049002815,2.14832163,0.2167596,-0.240824759,2.17024064,0.0633199662,-0.6911846,2.25665116,0.0605976321,-0.819732,2.19437361,0.5276405,-0.03905365,2.18607974,0.510912359,-0.384218931,2.14032078,0.4742887,-0.847032547,2.16959214,0.444396049,-0.8945003,2.05570054,0.7590087,0.34836632,1.953398,0.3510144,-0.140496463,1.9616096,0.2879493,-0.06104257,2.03238487,0.9484619,0.118014343,1.69756913,0.9645264,0.0917823762,1.822,-0.00526991254,0.999948442,0.008678446,0.943222165
0.0936819,0.473369062,0.00354572688,2.20032215,0.639574468,0.202815086,2.062522,0.7967234,0.395014465,1.91426289,0.939957261,0.461926222,1.88884139,0.6099357,0.377349347,1.89222944,0.400910437,0.2669113,1.96661592,0.3483925,0.00397256855,1.95142782,0.338724762,-0.06425114,1.95434809,0.859680355,0.201600075,2.00296068,0.9633733,0.0001877498,2.033393,0.940400541,0.109679706,1.82099259,0.9272349,0.09564627,1.80985212,0.4050073,0.0470128246,2.14746523,0.216346383,-0.242212743,2.16998124,0.0563853048,-0.6911169,2.2519865,0.0602143258,-0.8198785,2.19112825,0.527107,-0.0401791,2.185127,0.510599434,-0.385344744,2.14011168,0.474759281,-0.846226454,2.16959286,0.460804373,-0.8964327,2.05479383,0.758864045,0.3481576,1.953248,0.3525088,-0.141666874,1.95932722,0.29629463,-0.0302738883,2.03627276,0.924559355,0.100364804,1.67410386,0.946734667,0.09278342,1.78185713,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1277537,0.47307843,0.003850856,2.20030355,0.6394283,0.202834845,2.0624826,0.7966157,0.394884735,1.91420913,0.9399059,0.461854845,1.88879645,0.6097592,0.377243936,1.89213073,0.400472045,0.266435832,1.96660268,0.3482154,0.0039062337,1.95123911,0.337464333,-0.06618264,1.95676959,0.85959655,0.201496735,2.002944,0.962658942,0.0002683383,2.035537,0.9439472,0.106054805,1.82084477,0.9319142,0.09349151,1.82989979,0.404482037,0.0475669727,2.14735365,0.237461388,-0.2543876,2.16880584,0.06762484,-0.6979356,2.25776339,0.06960919,-0.7745202,2.137838,0.5269712,-0.040029306,2.18516541,0.510628045,-0.385198385,2.140028,0.4762576,-0.842327237,2.1678462,0.464555264,-0.897718966,2.05694079,0.758747339,0.348059744,1.9531951,0.350715816,-0.144609034,1.96519339,0.28821817,-0.0525159426,2.03286362,0.9176475,0.09852369,1.76575649,0.935623944,0.0968322158,1.7796,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1598085,0.470777184,0.004975055,2.20014048,0.638351,0.203021169,2.06231332,0.796248734,0.394681424,1.91408753,0.93937546,0.4613423,1.88863575,0.6095302,0.3770721,1.89202487,0.3999697,0.266226172,1.96612,0.347108454,0.00325382431,1.95049381,0.335932851,-0.06527022,1.9552381,0.859435,0.201379046,2.002894,0.9612676,0.0001324353,2.0380342,0.9520292,0.0935734138,1.76875973,0.9361049,0.0982575938,1.78454673,0.402167618,0.04883883,2.14669752,0.221789986,-0.245402366,2.16935182,0.0642764047,-0.6934809,2.25749445,0.06249135,-0.8220839,2.19556284,0.524668932,-0.03901796,2.18549037,0.5108574,-0.3842415,2.14007974,0.476314843,-0.841224134,2.16627884,0.450461924,-0.897375643,2.05817962,0.758249938,0.347904742,1.95305657,0.3489208,-0.145469,1.96875036,0.274065524,-0.07438891,2.032,0.9073571,0.101826884,1.62407112,0.9301802,0.09106224,1.74159992,-0.00526991254,0.999948442,0.008678446,0.943222165
0.1963668,0.469543636,0.003742514,2.19993925,0.6376523,0.20244275,2.062148,0.7960353,0.3945132,1.91399729,0.9383501,0.4606711,1.88854194,0.6090249,0.3766718,1.89194107,0.3993366,0.26557982,1.96561539,0.3463681,0.003235322,1.95016146,0.336001575,-0.06690895,1.95417774,0.8591793,0.201160431,2.00283551,0.9631401,-0.00177636638,2.02570319,0.9558518,0.06330048,1.860602,0.92455,0.09631178,1.79629922,0.401313782,0.04735634,2.14666033,0.218006819,-0.245027751,2.169657,0.0624800622,-0.6937162,2.25748563,0.0144399479,-0.8129621,2.19111085,0.523013353,-0.04001192,2.185122,0.5099974,-0.385191023,2.13791347,0.481118441,-0.8335607,2.17239118,0.4685045,-0.8927217,2.06471848,0.7579246,0.3476381,1.95293868,0.350339323,-0.151421621,1.9800539,0.2957924,-0.0315340161,2.04066658,0.921231,0.09902277,1.69628882,0.9494807,0.091848284,1.80783343,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2269268,0.468078077,0.00435098726,2.20021152,0.6369374,0.202471,2.06219339,0.7957994,0.394271761,1.91394722,0.9372282,0.460288554,1.8885417,0.6087946,0.3764268,1.891801,0.39856416,0.2649095,1.96500182,0.3459653,0.00329946424,1.94968772,0.333830565,-0.0677584857,1.9534173,0.858888745,0.200916559,2.00282145,0.9574522,-0.00228064624,2.037227,0.950594962,0.09413501,1.76260638,0.907401443,0.09832352,1.753501,0.399811476,0.0481078662,2.14683557,0.217112765,-0.24540256,2.166213,0.0608921,-0.6932952,2.25604987,0.06295308,-0.7700218,2.13622379,0.521665752,-0.0395458452,2.18549848,0.5099326,-0.384735584,2.13794136,0.4862463,-0.8136393,2.187116,0.4703554,-0.8898832,2.06810737,0.757598937,0.34744,1.952902,0.3435905,-0.143883258,1.96078086,0.2900899,-0.0561494,2.030625,0.889626741,0.0941706,1.73028088,0.903337359,0.0995301455,1.74133337,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2600083,0.466262,0.00383375678,2.20011544,0.6358524,0.202121213,2.06218719,0.79545027,0.3940628,1.91398549,0.936156631,0.459865421,1.88884223,0.6082842,0.376128,1.89179838,0.398190349,0.264680833,1.9649595,0.344968826,0.00239047362,1.94921911,0.334945083,-0.0698753148,1.952783,0.8585033,0.200672135,2.00280833,0.957252264,-0.00210261019,2.03844643,0.9468503,0.0973027349,1.82017279,0.925778449,0.08721269,1.9177388,0.398520529,0.0477133021,2.14681673,0.2162565,-0.245958045,2.16657186,0.0592138022,-0.6933455,2.25693941,0.0613301955,-0.7700163,2.13713622,0.519364,-0.0401629433,2.18532085,0.5101494,-0.385336429,2.13715339,0.4815766,-0.826796353,2.17688966,0.472535342,-0.8897274,2.06731987,0.75708133,0.3471799,1.95293,0.3446292,-0.145926744,1.96435428,0.3006415,-0.023160588,2.03491688,0.90299,0.09831607,1.7715,0.9716049,0.105067626,1.83742869,-0.00526991254,0.999948442,0.008678446,0.943222165
0.2935763,0.453044266,0.009853328,2.204816,0.6311745,0.203463346,2.06376433,0.795004368,0.3937776,1.91413,0.933963656,0.459957659,1.88963079,0.6075462,0.3759149,1.8919189,0.397936583,0.264501065,1.96484768,0.343831927,0.00244235084,1.94886386,0.330719233,-0.0690440238,1.95579982,0.8579162,0.200400263,2.00290823,0.9578021,-0.00215339637,2.03708243,0.9467515,0.09828822,1.81768882,0.915904939,0.09790351,1.77168274,0.390289158,0.0524315462,2.15035248,0.173222646,-0.211203292,2.19292331,0.04393034,-0.670942545,2.26620579,0.04488325,-0.8003812,2.2071476,0.500577867,-0.0329161249,2.19131446,0.5104935,-0.3774904,2.13707924,0.4805565,-0.825008631,2.17834258,0.4735545,-0.88961184,2.06912279,0.7560521,0.347018868,1.9532584,0.342787534,-0.146757364,1.96107543,0.2811296,-0.0583632849,2.0348,0.9173454,0.105520345,1.68413484,0.91685605,0.101335429,1.7190001,-0.00526991254,0.999948442,0.008678446,0.943222165
0.3276743,0.44898,0.0113781188,2.20545149,0.6278246,0.204328552,2.06442952,0.7941666,0.3935353,1.91429794,0.9314351,0.460042417,1.88975155,0.6065837,0.3755207,1.89197385,0.3965653,0.264057815,1.964287,0.3421175,0.00309279864,1.94905114,0.330294728,-0.0740294158,1.951341,0.8570137,0.200083122,2.00295067,0.9606718,-0.00269795768,2.02739286,0.9491486,0.09753716,1.8089503,0.9376538,0.101456717,1.78968072,0.386899143,0.05382834,2.15094852,0.218446016,-0.248513877,2.16613483,0.06453938,-0.6953062,2.262886,0.0183172226,-0.8157308,2.19881964,0.496578664,-0.0314423069,2.19188952,0.510251045,-0.393330365,2.1315918,0.496577233,-0.7781858,2.189405,0.47478646,-0.881195664,2.075633,0.7545951,0.3469554,1.95355082,0.341363639,-0.1508123,1.96552372,0.3968752,-0.0651831552,2.015143,0.92177695,0.100419536,1.67511022,0.9531954,0.107218914,1.76924992,-0.00526991254,0.999948442,0.008678446,0.943222165
