Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
4.92712545,-0.118605584,-0.002719889,2.31882,-0.121806413,0.21012038,2.09119534,-0.1239547,0.416564047,1.85174429,-0.118028857,0.4871526,1.76142359,-0.270384252,0.3558347,1.92250967,-0.478080153,0.3508778,1.802733,-0.457322,0.2297757,1.50422084,-0.4528803,0.201619446,1.47583807,0.0478576981,0.414412,1.988176,0.261796355,0.5087179,2.1499033,0.468479455,0.376509547,2.197415,0.508078456,0.339426428,2.212951,-0.186160922,-0.0102963625,2.27584434,-0.26013124,-0.256834447,2.01344442,-0.3624512,-0.7182613,2.09661579,-0.3297087,-0.8052122,1.99576473,-0.04751194,0.00493678125,2.29240537,0.002764196,-0.242910609,2.004446,0.0274351183,-0.702084363,2.13730383,0.0438223556,-0.830033541,2.082764,-0.123606771,0.366081119,1.91376162,-0.397051,0.162107944,1.41681755,-0.4716316,0.1917608,1.44161284,0.5557957,0.296337634,2.24539042,0.52326256,0.35459134,2.17953825,-0.00526991254,0.999948442,0.008678446,0.943222165
4.959199,-0.109907895,0.06336478,2.3124187,-0.122240514,0.276942641,2.08638215,-0.133317322,0.483509541,1.8487078,-0.105493322,0.553475559,1.75992787,-0.2565706,0.436220169,1.917264,-0.463133782,0.4475058,1.79617774,-0.5166047,0.402125031,1.56557155,-0.483651251,0.323206753,1.46345091,0.0368318558,0.5014389,1.98672962,0.229312614,0.6408858,2.17139244,0.416226983,0.523552954,2.235004,0.450163543,0.488346934,2.24673271,-0.176725462,0.0536980554,2.26999831,-0.269758046,-0.3401297,2.03728461,-0.4194209,-0.7851307,2.12982631,-0.382287681,-0.881031334,2.06107616,-0.0398038067,0.07112917,2.28546381,0.0275392588,-0.203128576,1.98432541,0.009798733,-0.6700655,2.09318542,0.06311506,-0.789876163,2.047519,-0.13077113,0.43309322,1.91023934,-0.470364,0.2959665,1.42833126,-0.5066932,0.304142267,1.44877291,0.493665665,0.454025656,2.26623249,0.476140469,0.5128829,2.23684621,-0.00526991254,0.999948442,0.008678446,0.943222165
4.992778,-0.106801823,0.08197127,2.23420644,-0.113198861,0.317768782,2.04636288,-0.118545093,0.5452835,1.846953,-0.08650822,0.609701633,1.75606513,-0.239244968,0.5120594,1.91295767,-0.453749478,0.5222948,1.80885434,-0.5814279,0.462169379,1.61508691,-0.51842,0.386793345,1.47553825,0.04670731,0.5686216,1.99217784,0.202562511,0.7451032,2.177914,0.372891784,0.623540163,2.271362,0.3988771,0.59808284,2.28450966,-0.17516984,0.0767767057,2.18841028,-0.2672401,-0.3073962,2.07269621,-0.450636178,-0.7454187,2.13979459,-0.410505742,-0.822492063,2.02947521,-0.03513807,0.08462003,2.21064067,0.065619044,-0.16178605,1.95553493,0.00400025444,-0.639325738,1.991767,0.0374625251,-0.716975451,1.88056934,-0.117390536,0.489789635,1.8988781,-0.49010548,0.357527256,1.43775535,-0.54363215,0.356001467,1.46338487,0.431737959,0.5553599,2.30751872,0.435181528,0.627991855,2.28185725,-0.00526991254,0.999948442,0.008678446,0.943222165
5.02688026,-0.169817939,0.370181531,2.36527371,-0.144416183,0.48654297,2.10753441,-0.118435115,0.596728,1.83897781,-0.0722189546,0.6459969,1.75034571,-0.207925469,0.5636534,1.90389585,-0.433324844,0.5739866,1.83271563,-0.5521715,0.4631962,1.594229,-0.5665416,0.4194178,1.51509964,0.06705756,0.6390485,1.99070871,0.197483823,0.823771954,2.18571877,0.352163672,0.705592334,2.30372381,0.3700765,0.682749,2.31989479,-0.244803473,0.349340647,2.31306243,-0.250703752,-0.08277837,2.150243,-0.417458177,-0.5366651,2.124911,-0.375300556,-0.6397127,2.05451059,-0.08995079,0.380297661,2.348996,0.001798444,-0.00176572648,2.05758572,-0.05090754,-0.5625252,2.085411,-0.0142867751,-0.664902,2.01457763,-0.1250416,0.5703046,1.90815854,-0.5499376,0.386390328,1.47160912,-0.5985037,0.4020387,1.5130713,0.392968684,0.6369259,2.363103,0.395403832,0.7126787,2.299875,-0.00526991254,0.999948442,0.008678446,0.943222165
5.05943727,-0.151378125,0.4767223,2.3875072,-0.121927239,0.5562877,2.1125133,-0.09590629,0.6252248,1.82859862,-0.0363449343,0.6741655,1.73891354,-0.193555743,0.593564332,1.89976883,-0.437545925,0.6256752,1.84147263,-0.60591346,0.5218678,1.70928538,-0.633269131,0.455788881,1.60504818,0.07098047,0.636987448,1.99100852,0.207102656,0.8186125,2.18521047,0.3641195,0.746962368,2.34731436,0.389855862,0.7277616,2.37066674,-0.2329847,0.4597626,2.340659,-0.2735965,0.0181357935,2.14573026,-0.412778229,-0.443796128,2.17522764,-0.3819269,-0.554673851,2.11644125,-0.0654818863,0.480096281,2.366326,0.00307347043,0.07884676,2.09569287,-0.04940748,-0.475403517,2.05445766,-0.0239516888,-0.5853047,1.99531,-0.1005054,0.611228764,1.9005667,-0.639431655,0.3982701,1.55372345,-0.6773824,0.439664185,1.60300016,0.405355334,0.683992,2.43046618,0.414818972,0.756736457,2.349889,-0.00526991254,0.999948442,0.008678446,0.943222165
5.095498,-0.11450728,0.532826066,2.39647436,-0.0795260444,0.574341357,2.11101532,-0.0392418019,0.612923861,1.81468213,-0.009331592,0.676472962,1.72733271,-0.187074929,0.6005417,1.90102136,-0.434837759,0.6142385,1.86892891,-0.635266,0.5383023,1.77027333,-0.683510542,0.479505658,1.703335,0.08658809,0.638732255,1.98696446,0.233145162,0.8087331,2.183992,0.3821028,0.761669934,2.34858227,0.426131248,0.7442989,2.39656615,-0.196299881,0.5120067,2.351897,-0.263442546,0.08340814,2.132381,-0.396825969,-0.378590524,2.1806283,-0.372691751,-0.493649125,2.13384962,-0.0294997133,0.538574,2.37327933,0.0302593037,0.124695987,2.12095714,-0.07460779,-0.21772854,2.13712573,-0.0877032,-0.3451304,2.05190539,-0.0486086272,0.604559243,1.89078844,-0.7171793,0.411811382,1.65215254,-0.7274379,0.4658355,1.70333338,0.437041759,0.695166051,2.45797443,0.4605617,0.759815037,2.3933847,-0.00526991254,0.999948442,0.008678446,0.943222165
5.127049,-0.114070527,0.545561969,2.393618,-0.0716164857,0.5821545,2.10913968,-0.0243452415,0.616105735,1.81351185,0.00544100953,0.672956169,1.72079873,-0.181252733,0.607333839,1.89963663,-0.440732062,0.6220689,1.902946,-0.650625169,0.5461179,1.83041394,-0.723133147,0.4824737,1.78606844,0.101468526,0.6378364,1.986327,0.27791667,0.7617641,2.19325233,0.4525097,0.733573139,2.37068772,0.480740726,0.7201444,2.410715,-0.196016043,0.5273729,2.34955382,-0.281492025,0.115892977,2.10239148,-0.4161452,-0.461254448,2.173175,-0.39527145,-0.5757196,2.12811017,-0.0289504938,0.548674762,2.37010241,0.0297195558,0.1337718,2.11927962,-0.08215072,-0.1528408,2.29008865,-0.06511755,-0.2403664,2.14833784,-0.0366273858,0.6086672,1.88950133,-0.756597459,0.414105922,1.75549769,-0.7389481,0.5143466,1.78883338,0.518148,0.700495541,2.44529247,0.490037262,0.7509774,2.38086963,-0.00526991254,0.999948442,0.008678446,0.943222165
5.15962029,-0.111432664,0.5484208,2.39229965,-0.0650929362,0.5854557,2.1055634,-0.0162959937,0.6178187,1.80781233,0.01681805,0.6705265,1.71180522,-0.177796245,0.608975351,1.89856851,-0.437861025,0.631156564,1.93135262,-0.658014834,0.5647745,1.89493835,-0.7431671,0.5032645,1.86909831,0.109889045,0.6272285,1.98251057,0.296854377,0.729285061,2.19244671,0.4687456,0.6969968,2.3461926,0.512411237,0.670550346,2.39659548,-0.193534225,0.531966865,2.3487258,-0.2617691,0.1311208,2.076971,-0.3850073,-0.384759367,2.15782571,-0.409482062,-0.5099948,2.08176875,-0.0260105114,0.550134659,2.36823726,0.0613539927,0.267294645,1.9731127,-0.01535346,-0.158380613,2.1818223,0.00486503,-0.274796754,2.07427073,-0.0286283419,0.610819757,1.884282,-0.779850841,0.435787976,1.84912074,-0.761975169,0.532722652,1.87223089,0.5539814,0.6354049,2.458759,0.5425792,0.690118432,2.37890029,-0.00526991254,0.999948442,0.008678446,0.943222165
5.19470263,-0.09824311,0.559660137,2.39041185,-0.0617412776,0.5895127,2.102616,-0.0180775058,0.61897,1.80367494,0.0216982048,0.6672036,1.70804453,-0.173037589,0.6119667,1.89661634,-0.446482927,0.6450956,1.97207773,-0.67341423,0.6030775,1.96071827,-0.7258194,0.5682205,1.93508,0.114913777,0.6172224,1.97800326,0.302497149,0.7070353,2.171807,0.484150946,0.63715744,2.32589555,0.5287061,0.59859246,2.3670032,-0.180382669,0.5487465,2.34793377,-0.267231554,0.120720647,2.13432765,-0.3071272,-0.203644887,2.26855731,-0.331578135,-0.316812634,2.16009641,-0.0129722217,0.5562906,2.365433,0.0685068443,0.239158571,1.99695957,0.0163593553,-0.239848554,2.12938762,0.03095816,-0.3710708,2.0567944,-0.0291099269,0.6123697,1.88092458,-0.7953563,0.5210308,1.92663431,-0.7388089,0.5880566,1.93020022,0.564399242,0.544742346,2.413458,0.5550782,0.6158582,2.35275,-0.00526991254,0.999948442,0.008678446,0.943222165
5.227258,-0.109238707,0.54674226,2.38660979,-0.0618071258,0.5865907,2.099288,-0.0139917927,0.6181143,1.7978797,0.0284895673,0.665410757,1.70221579,-0.1694918,0.6140819,1.89808989,-0.445281655,0.6797276,2.01330948,-0.67223537,0.638659537,1.99305809,-0.7329059,0.572306633,1.97658014,0.1221814,0.6133193,1.97564971,0.311855823,0.7108711,2.17034554,0.480816573,0.590485156,2.27321982,0.52443254,0.5274465,2.30827427,-0.190550432,0.5379471,2.34402728,-0.267364264,0.108750626,2.12829351,-0.299080372,-0.23713778,2.20516539,-0.322107941,-0.360068053,2.1151793,-0.0252872258,0.5397126,2.36141968,0.0247273482,0.2277275,1.98240626,0.0267154314,-0.219850913,2.15864635,0.04268801,-0.3551336,2.1034584,-0.0262278728,0.6110105,1.87578416,-0.775361955,0.527102053,1.96946275,-0.7272121,0.628541946,1.974,0.5529649,0.460315734,2.33463216,0.560719252,0.539180636,2.29817653,-0.00526991254,0.999948442,0.008678446,0.943222165
