Time,SpineBase_x,SpineBase_y,SpineBase_z,SpineMid_x,SpineMid_y,SpineMid_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,SpineShoulder_x,SpineShoulder_y,SpineShoulder_z,HandTipLeft_x,HandTipLeft_y,HandTipLeft_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,HandTipRight_x,HandTipRight_y,HandTipRight_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,Floor_x,Floor_y,Floor_z,Floor_w
0.0050013,0.5065877,0.0149522377,2.32646251,0.6710246,0.214091033,2.1677258,0.8251475,0.4061497,1.99705744,0.9490701,0.492705256,1.962255,0.6259197,0.404683977,2.00916958,0.4298243,0.3700074,2.12668848,0.3186867,0.174529225,2.16090441,0.30220446,0.0958893,2.18060112,0.901322,0.215521649,2.06612778,1.00283122,0.01999334,2.09409118,0.8470646,0.0187622942,1.91797769,0.7968353,0.0183866862,1.86288691,0.431440145,0.07047014,2.280453,0.3465501,-0.384076029,2.28176332,0.265433,-0.8638642,2.353775,0.262515068,-0.8637822,2.20327425,0.565860868,-0.0410190448,2.30025983,0.5980325,-0.378330678,2.239528,0.566807449,-0.8063096,2.26481986,0.591410935,-0.883828163,2.16224885,0.788111567,0.359118134,2.04168248,0.240305588,0.02862486,2.20442533,0.3612543,0.09025292,2.22374368,0.8411861,0.05018236,1.781087,0.8009172,0.0343005061,1.88017857,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.0400856,0.505726635,0.0150483809,2.32587028,0.6706442,0.21418716,2.16751957,0.825115442,0.40622434,1.99709666,0.949047565,0.4924577,1.96214616,0.625828,0.404666483,2.008812,0.428583,0.3707183,2.12422824,0.3187916,0.155330136,2.16152334,0.3023316,0.0741076842,2.18568587,0.901162,0.215448752,2.06600642,1.00351465,0.0194210634,2.08968544,0.846260548,0.0190827474,1.91491413,0.7955384,0.019004222,1.860269,0.430348665,0.07013119,2.2790885,0.345170379,-0.3849019,2.274503,0.2650014,-0.864368558,2.35396743,0.2613505,-0.864110947,2.20344782,0.5651267,-0.04061599,2.300248,0.5973035,-0.3778477,2.23807383,0.5668543,-0.8068687,2.264625,0.590797365,-0.8836871,2.16088343,0.7880371,0.3591924,2.04168844,0.249436677,0.0107797412,2.193556,0.360906959,0.08500632,2.22313738,0.839890659,0.05079707,1.77846837,0.8001973,0.0345289558,1.87872028,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.072179,0.5051918,0.0152124539,2.32566929,0.6703055,0.2143214,2.16737413,0.8250604,0.4063124,1.99709272,0.9489825,0.492377222,1.96207738,0.62575686,0.404579759,2.00857067,0.427966774,0.3710365,2.12219119,0.318980455,0.152558044,2.16161346,0.302376926,0.07236364,2.18738818,0.90108943,0.215373576,2.065971,1.01186907,0.02257012,2.08042669,0.84734863,0.0272159148,1.9126581,0.794218,0.0288069583,1.86033857,0.429865927,0.07048093,2.27917862,0.3456189,-0.384023517,2.282021,0.253339648,-0.878199339,2.34053659,0.2566799,-0.8705192,2.18978357,0.5645357,-0.04062369,2.2998302,0.596791267,-0.377901077,2.23850584,0.5692427,-0.8020868,2.26412249,0.591124356,-0.880914867,2.16194963,0.7879288,0.35929653,2.04166,0.252925,0.00264925719,2.19807768,0.3619277,0.0790689662,2.22440362,0.8385758,0.06055182,1.77853537,0.7992784,0.04019931,1.878544,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.1047415,0.5035524,0.0153567614,2.32520366,0.6696304,0.214333251,2.16720366,0.825026333,0.406308383,1.99711919,0.948909938,0.4921389,1.96194351,0.6255314,0.4044651,2.008311,0.4276582,0.371402651,2.120899,0.318012327,0.148523122,2.16056371,0.3023239,0.06868268,2.185288,0.9009005,0.2152758,2.065853,1.0118053,0.0225985982,2.08059025,0.847372651,0.0269926339,1.91272724,0.7942712,0.0284996778,1.86037624,0.4284561,0.07085274,2.27914381,0.3450148,-0.3836985,2.282878,0.252917528,-0.875722945,2.342891,0.2561614,-0.8694316,2.19217753,0.562810063,-0.04072099,2.299075,0.5960715,-0.377787679,2.236351,0.5693298,-0.800625265,2.26501131,0.590615749,-0.878747642,2.16164351,0.787812233,0.35929513,2.04167271,0.249386132,0.00471697049,2.19700027,0.35916236,0.0740788355,2.219397,0.838628769,0.06024604,1.77857316,0.799403548,0.0398334339,1.8786602,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.1408154,0.5027314,0.0148701584,2.32445073,0.669168055,0.214141071,2.16708326,0.824838042,0.406273842,1.99745286,0.948652744,0.4916561,1.96208251,0.625367463,0.4044323,2.00815558,0.426708221,0.370349079,2.12008572,0.316646755,0.145810932,2.16041756,0.300657153,0.06599669,2.18596745,0.900680959,0.215180919,2.06573868,1.00880361,0.0222870447,2.08820939,0.8483219,0.0251318272,1.91646886,0.7965305,0.0261210352,1.86283,0.427821726,0.07023726,2.27880263,0.343592674,-0.384008378,2.28407764,0.278657973,-0.759572864,2.33876371,0.2673563,-0.8142294,2.2074008,0.561877668,-0.0409807,2.29799318,0.598079443,-0.37745744,2.23238468,0.569262266,-0.8008057,2.265011,0.5576908,-0.871069133,2.147486,0.787583649,0.359239548,2.04186368,0.251598746,-0.00171126577,2.195106,0.357822478,0.0394988842,2.21714282,0.840882361,0.0578788929,1.78102922,0.8006436,0.03783527,1.879946,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.173386,0.5013342,0.0147118056,2.32448435,0.668272734,0.21390143,2.16723,0.824543655,0.406064451,1.99780142,0.948264658,0.4912091,1.96232665,0.625054359,0.4043476,2.007921,0.420094043,0.362633765,2.12108445,0.315452754,0.144832686,2.159607,0.3011897,0.0665577948,2.18691039,0.900189,0.214854389,2.06568885,1.00826323,0.0225061029,2.09075546,0.8493139,0.0218351614,1.91754842,0.7980318,0.0216509886,1.8634218,0.42661792,0.0701836,2.27943563,0.32955426,-0.383629978,2.260611,0.2613338,-0.8635938,2.35105085,0.259258,-0.8642132,2.20063186,0.5601688,-0.0412642471,2.29748034,0.599035144,-0.384987235,2.22869,0.569138,-0.8005982,2.26428771,0.592219949,-0.8805658,2.1641295,0.78715235,0.3590297,2.042163,0.2484485,-0.004831396,2.19641542,0.361258835,0.0497946925,2.20894456,0.8423782,0.0534306355,1.78162336,0.801072657,0.0367297679,1.88013434,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2049803,0.499213159,0.0135819577,2.32422686,0.6665221,0.212947786,2.16649127,0.8236335,0.4054561,1.99704719,0.9471159,0.49085483,1.96264017,0.624596,0.4042874,2.007784,0.419347823,0.3635902,2.12029123,0.3138986,0.1426395,2.15923953,0.299143881,0.06670511,2.185878,0.8994805,0.214593977,2.06564021,1.00645852,0.0210342519,2.08823323,0.847035944,0.02134704,1.91546857,0.7955949,0.0214887373,1.86149,0.4246485,0.06845148,2.27970624,0.336103857,-0.385407537,2.28102255,0.258700877,-0.8646868,2.35116315,0.257470548,-0.864237547,2.20064878,0.557971537,-0.0418182276,2.29686,0.5994661,-0.382966,2.229979,0.5691658,-0.8006916,2.2642293,0.5919182,-0.8800806,2.16314721,0.7859975,0.35833627,2.04138374,0.245507509,-0.00321081327,2.194685,0.357752144,0.04592851,2.19773555,0.8399487,0.05326935,1.77968872,0.800375164,0.03666752,1.87957311,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2410874,0.497242838,0.0134422155,2.32393765,0.6643341,0.212878942,2.166854,0.821448863,0.405503452,1.99837649,0.944786251,0.49029085,1.96335924,0.6240249,0.404308766,2.00759244,0.418987066,0.364257932,2.11976457,0.312335849,0.142771855,2.15936947,0.297344357,0.06443748,2.187573,0.8982933,0.214222863,2.065589,1.00566816,0.02074652,2.087461,0.846215,0.01942841,1.91473,0.794763,0.0190251246,1.86076283,0.422798872,0.06832785,2.279788,0.332843333,-0.386084139,2.27180457,0.258611083,-0.8638256,2.35148025,0.259339273,-0.8637138,2.20105124,0.5560699,-0.04193725,2.29629326,0.598453164,-0.3833716,2.230081,0.568369031,-0.7985701,2.26257586,0.541265965,-0.867922843,2.146202,0.7837603,0.3583586,2.04245424,0.239454985,-0.002277871,2.19564462,0.360359639,0.0341912843,2.19775,0.8391194,0.0508178659,1.7789607,0.799660265,0.0346430466,1.8788588,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.2726541,0.49165538,0.0148154572,2.32449627,0.6602816,0.213466719,2.167803,0.818966269,0.405542225,1.99969471,0.9418657,0.4904243,1.964106,0.622871041,0.4042971,2.007581,0.416311681,0.365877181,2.11941671,0.3006862,0.134368256,2.159189,0.269625038,0.0581178553,2.17063046,0.89695853,0.213956445,2.06570625,1.00447166,0.0187177863,2.07748222,0.841452539,0.01944182,1.908166,0.788814545,0.0197168458,1.85533488,0.4172406,0.0698808,2.28067136,0.322316051,-0.384166151,2.264475,0.255481958,-0.860916734,2.35208368,0.198221862,-0.8676152,2.215549,0.550778866,-0.040755,2.29664969,0.5974159,-0.383127779,2.23121524,0.56781,-0.798092961,2.26240063,0.550073147,-0.868588746,2.145541,0.7808743,0.358521,2.04370332,0.241822213,-0.0148856342,2.19106078,0.312369078,0.04023339,2.16623068,0.833187938,0.0515066944,1.77352631,0.7929602,0.0331404135,1.87258255,-0.00640165,0.9999795,-0.000190254781,0.9629589
0.3052411,0.4899517,0.0142640537,2.32495546,0.657064,0.213545024,2.16871238,0.8141284,0.406626433,2.00140262,0.935773134,0.492348433,1.96567786,0.619657338,0.404246747,2.00871944,0.4065812,0.360769868,2.122669,0.2954783,0.132527456,2.15913868,0.2659139,0.05752844,2.16990161,0.8896586,0.21482873,2.06909966,1.0048362,0.0234889928,2.07498646,0.8386541,0.0168431923,1.90896618,0.784961939,0.0146662742,1.85723257,0.4152889,0.0692455843,2.28168368,0.318082452,-0.2874209,2.25549364,0.248081118,-0.7947246,2.3554945,0.230015472,-0.8363934,2.21761,0.5493241,-0.04121714,2.29670763,0.59636724,-0.3829156,2.2317338,0.56836313,-0.7957151,2.2634604,0.5899916,-0.8748876,2.16149521,0.776398838,0.359333217,2.045191,0.237863854,-0.0164953209,2.18809128,0.306950331,0.03918052,2.16312981,0.8293553,0.04648095,1.77541709,0.7891535,0.0281488225,1.87446022,-0.00640165,0.9999795,-0.000190254781,0.9629589
